date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
23/Sep/2016,19:45,Exeter,41,Bristol,17,Ashton Gate,Tom Foley,58,W,N,19,Fri,Sep,2016,2016-17,1,0,5,5,2,0,3,1,0,0
24/Sep/2016,15:00,Gloucester,13,Newcastle,18,Kingsholm,David Sainsbury,31,L,N,15,Sat,Sep,2016,2016-17,1,0,1,1,2,0,2,1,2,0
24/Sep/2016,15:00,Newcastle,18,Gloucester,13,Kingsholm,David Sainsbury,31,W,N,15,Sat,Sep,2016,2016-17,0,1,2,1,2,0,1,1,2,0
24/Sep/2016,15:00,Harlequins,17,Saracens,10,Twickenham Stoop,Craig Maxwell-Keys,27,W,N,15,Sat,Sep,2016,2016-17,0,1,2,2,1,0,1,1,1,0
24/Sep/2016,15:00,Saracens,10,Harlequins,17,Twickenham Stoop,Craig Maxwell-Keys,27,L,N,15,Sat,Sep,2016,2016-17,1,0,1,1,1,0,2,2,1,0
24/Sep/2016,15:00,Northampton,15,Wasps,20,Franklin's Gardens,Luke Pearce,35,L,N,15,Sat,Sep,2016,2016-17,1,0,2,1,1,0,2,2,2,0
24/Sep/2016,15:00,Wasps,20,Northampton,15,Franklin's Gardens,Luke Pearce,35,W,N,15,Sat,Sep,2016,2016-17,0,1,2,2,2,0,2,1,1,0
24/Sep/2016,15:00,Worcester,34,Sale,34,Sixways,JP Doyle,68,D,N,15,Sat,Sep,2016,2016-17,1,1,5,3,1,0,4,4,2,0
24/Sep/2016,15:00,Sale,34,Worcester,34,Sixways,JP Doyle,68,D,N,15,Sat,Sep,2016,2016-17,1,1,4,4,2,0,5,3,1,0
25/Sep/2016,15:00,Leicester,34,Bath,14,Welford Road,Matthew Carley,48,W,N,15,Sun,Sep,2016,2016-17,0,0,3,2,5,0,2,2,0,0
25/Sep/2016,15:00,Bath,14,Leicester,34,Welford Road,Matthew Carley,48,L,N,15,Sun,Sep,2016,2016-17,0,0,2,2,0,0,3,2,5,0
30/Sep/2016,19:45,Bristol,0,Saracens,39,Ashton Gate,Ian Tempest,39,L,N,19,Fri,Sep,2016,2016-17,0,1,0,0,0,0,5,4,2,0
30/Sep/2016,19:45,Saracens,39,Bristol,0,Ashton Gate,Ian Tempest,39,W,N,19,Fri,Sep,2016,2016-17,1,0,5,4,2,0,0,0,0,0
30/Sep/2016,19:45,Northampton,20,Exeter,19,Franklin's Gardens,Matthew Carley,39,W,N,19,Fri,Sep,2016,2016-17,0,1,2,2,2,0,1,1,4,0
30/Sep/2016,19:45,Exeter,19,Northampton,20,Franklin's Gardens,Matthew Carley,39,L,N,19,Fri,Sep,2016,2016-17,1,0,1,1,4,0,2,2,2,0
01/Oct/2016,14:30,Sale,34,Leicester,30,AJ Bell Stadium,Craig Maxwell-Keys,64,W,N,14,Sat,Oct,2016,2016-17,1,1,4,4,2,0,3,3,3,0
01/Oct/2016,14:30,Leicester,30,Sale,34,AJ Bell Stadium,Craig Maxwell-Keys,64,L,N,14,Sat,Oct,2016,2016-17,1,1,3,3,3,0,4,4,2,0
01/Oct/2016,15:00,Gloucester,6,Bath,15,Kingsholm,JP Doyle,21,L,N,15,Sat,Oct,2016,2016-17,0,0,0,0,2,0,2,1,0,1
01/Oct/2016,15:00,Bath,15,Gloucester,6,Kingsholm,JP Doyle,21,W,N,15,Sat,Oct,2016,2016-17,0,0,2,1,0,1,0,0,2,0
02/Oct/2016,14:30,Wasps,47,Harlequins,18,Ricoh Arena,Greg Garner,65,W,N,14,Sun,Oct,2016,2016-17,1,0,7,6,0,0,2,1,2,0
02/Oct/2016,14:30,Harlequins,18,Wasps,47,Ricoh Arena,Greg Garner,65,L,N,14,Sun,Oct,2016,2016-17,0,1,2,1,2,0,7,6,0,0
02/Oct/2016,15:00,Worcester,11,Newcastle,9,Sixways,Tom Foley,20,W,N,15,Sun,Oct,2016,2016-17,0,1,1,0,2,0,0,0,3,0
02/Oct/2016,15:00,Newcastle,9,Worcester,11,Sixways,Tom Foley,20,L,N,15,Sun,Oct,2016,2016-17,1,0,0,0,3,0,1,0,2,0
07/Oct/2016,19:45,Bath,30,Sale,3,Recreation Ground,Tom Foley,33,W,N,19,Fri,Oct,2016,2016-17,0,0,3,3,3,0,0,0,1,0
07/Oct/2016,19:45,Sale,3,Bath,30,Recreation Ground,Tom Foley,33,L,N,19,Fri,Oct,2016,2016-17,0,0,0,0,1,0,3,3,3,0
08/Oct/2016,15:00,Exeter,27,Gloucester,27,Sandy Park,Greg Garner,54,D,N,15,Sat,Oct,2016,2016-17,1,0,4,2,1,0,3,3,2,0
08/Oct/2016,15:00,Gloucester,27,Exeter,27,Sandy Park,Greg Garner,54,D,N,15,Sat,Oct,2016,2016-17,0,1,3,3,2,0,4,2,1,0
08/Oct/2016,15:00,Harlequins,20,Northampton,9,Twickenham Stoop,Ian Tempest,29,W,N,15,Sat,Oct,2016,2016-17,0,0,1,0,5,0,0,0,3,0
08/Oct/2016,15:00,Northampton,9,Harlequins,20,Twickenham Stoop,Ian Tempest,29,L,N,15,Sat,Oct,2016,2016-17,0,0,0,0,3,0,1,0,5,0
08/Oct/2016,15:00,Leicester,34,Worcester,13,Welford Road,Tim Wigglesworth,47,W,N,15,Sat,Oct,2016,2016-17,1,0,4,4,2,0,1,1,2,0
08/Oct/2016,15:00,Worcester,13,Leicester,34,Welford Road,Tim Wigglesworth,47,L,N,15,Sat,Oct,2016,2016-17,0,1,1,1,2,0,4,4,2,0
08/Oct/2016,15:00,Newcastle,19,Bristol,14,Kingston Park,Wayne Barnes,33,W,N,15,Sat,Oct,2016,2016-17,0,1,3,2,0,0,2,2,0,0
08/Oct/2016,15:00,Bristol,14,Newcastle,19,Kingston Park,Wayne Barnes,33,L,N,15,Sat,Oct,2016,2016-17,1,0,2,2,0,0,3,2,0,0
09/Oct/2016,15:00,Saracens,30,Wasps,14,Allianz Park,Matthew Carley,44,W,N,15,Sun,Oct,2016,2016-17,1,0,4,2,2,0,1,0,3,0
09/Oct/2016,15:00,Wasps,14,Saracens,30,Allianz Park,Matthew Carley,44,L,N,15,Sun,Oct,2016,2016-17,0,1,1,0,3,0,4,2,2,0
28/Oct/2016,19:45,Northampton,23,Gloucester,20,Franklin's Gardens,Tom Foley,43,W,N,19,Fri,Oct,2016,2016-17,0,1,2,2,3,0,2,2,2,0
28/Oct/2016,19:45,Gloucester,20,Northampton,23,Franklin's Gardens,Tom Foley,43,L,N,19,Fri,Oct,2016,2016-17,1,0,2,2,2,0,2,2,3,0
29/Oct/2016,15:00,Harlequins,36,Worcester,14,Twickenham Stoop,Luke Pearce,50,W,N,15,Sat,Oct,2016,2016-17,1,0,5,3,1,0,2,2,0,0
29/Oct/2016,15:00,Worcester,14,Harlequins,36,Twickenham Stoop,Luke Pearce,50,L,N,15,Sat,Oct,2016,2016-17,0,1,2,2,0,0,5,3,1,0
29/Oct/2016,15:00,Saracens,24,Leicester,10,Allianz Park,Wayne Barnes,34,W,N,15,Sat,Oct,2016,2016-17,0,0,3,3,1,0,1,1,1,0
