date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,winner,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
20/Nov/2020,19:45,Harlequins,3,Exeter,33,Twickenham Stoop,Christophe Ridley,36,A,N,19,Fri,Nov,2020,2020-21,0,1,0,0,1,0,5,4,0,0
20/Nov/2020,19:45,Exeter,33,Harlequins,3,Twickenham Stoop,Christophe Ridley,36,A,N,19,Fri,Nov,2020,2020-21,1,0,5,4,0,0,0,0,1,0
20/Nov/2020,20:00,Sale,32,Northampton,23,AJ Bell Stadium,Ian Tempest,55,H,N,20,Fri,Nov,2020,2020-21,1,0,4,3,2,0,2,2,3,0
20/Nov/2020,20:00,Northampton,23,Sale,32,AJ Bell Stadium,Ian Tempest,55,H,N,20,Fri,Nov,2020,2020-21,0,1,2,2,3,0,4,3,2,0
21/Nov/2020,12:30,Bath,12,Newcastle,19,Recreation Ground,Craig Maxwell-Keys,31,A,N,12,Sat,Nov,2020,2020-21,1,0,2,1,0,0,3,2,0,0
21/Nov/2020,12:30,Newcastle,19,Bath,12,Recreation Ground,Craig Maxwell-Keys,31,A,N,12,Sat,Nov,2020,2020-21,0,1,3,2,0,0,2,1,0,0
21/Nov/2020,15:00,Leicester,38,Gloucester,15,Welford Road,Jack Makepeace,53,H,N,15,Sat,Nov,2020,2020-21,1,0,4,3,4,0,2,1,1,0
21/Nov/2020,15:00,Gloucester,15,Leicester,38,Welford Road,Jack Makepeace,53,H,N,15,Sat,Nov,2020,2020-21,0,1,2,1,1,0,4,3,4,0
21/Nov/2020,15:00,Worcester,11,London Irish,10,Sixways,Adam Leal,21,H,N,15,Sat,Nov,2020,2020-21,0,1,1,0,2,0,1,1,1,0
21/Nov/2020,15:00,London Irish,10,Worcester,11,Sixways,Adam Leal,21,H,N,15,Sat,Nov,2020,2020-21,1,0,1,1,1,0,1,0,2,0
22/Nov/2020,13:00,Wasps,23,Bristol,20,Ricoh Arena,Tom Foley,43,H,N,13,Sun,Nov,2020,2020-21,0,1,2,2,3,0,2,2,2,0
22/Nov/2020,13:00,Bristol,20,Wasps,23,Ricoh Arena,Tom Foley,43,H,N,13,Sun,Nov,2020,2020-21,1,0,2,2,2,0,2,2,3,0
27/Nov/2020,19:45,Newcastle,15,Sale,13,Kingston Park,Wayne Barnes,28,H,N,19,Fri,Nov,2020,2020-21,0,1,2,1,1,0,1,1,2,0
27/Nov/2020,19:45,Sale,13,Newcastle,15,Kingston Park,Wayne Barnes,28,H,N,19,Fri,Nov,2020,2020-21,1,0,1,1,2,0,2,1,1,0
28/Nov/2020,14:00,Northampton,29,Harlequins,49,Franklin's Gardens,Tom Foley,78,A,N,14,Sat,Nov,2020,2020-21,1,1,4,3,1,0,6,5,3,0
28/Nov/2020,14:00,Harlequins,49,Northampton,29,Franklin's Gardens,Tom Foley,78,A,N,14,Sat,Nov,2020,2020-21,1,1,6,5,3,0,4,3,1,0
28/Nov/2020,15:00,Bristol,30,Worcester,13,Ashton Gate,Ian Tempest,43,H,N,15,Sat,Nov,2020,2020-21,1,0,4,1,2,0,2,0,1,0
28/Nov/2020,15:00,Worcester,13,Bristol,30,Ashton Gate,Ian Tempest,43,H,N,15,Sat,Nov,2020,2020-21,0,1,2,0,1,0,4,1,2,0
28/Nov/2020,15:00,Gloucester,40,Wasps,24,Kingsholm,Hamish Smales,64,H,N,15,Sat,Nov,2020,2020-21,1,1,5,3,3,0,4,2,0,0
28/Nov/2020,15:00,Wasps,24,Gloucester,40,Kingsholm,Hamish Smales,64,H,N,15,Sat,Nov,2020,2020-21,1,1,4,2,0,0,5,3,3,0
28/Nov/2020,17:30,Exeter,40,Bath,3,Sandy Park,Christophe Ridley,43,H,N,17,Sat,Nov,2020,2020-21,1,0,6,4,0,0,0,0,1,0
28/Nov/2020,17:30,Bath,3,Exeter,40,Sandy Park,Christophe Ridley,43,H,N,17,Sat,Nov,2020,2020-21,0,1,0,0,1,0,6,4,0,0
29/Nov/2020,16:15,London Irish,22,Leicester,9,Brentford Community Stadium,Karl Dickson,31,H,N,16,Sun,Nov,2020,2020-21,0,0,1,1,5,0,0,0,3,0
29/Nov/2020,16:15,Leicester,9,London Irish,22,Brentford Community Stadium,Karl Dickson,31,H,N,16,Sun,Nov,2020,2020-21,0,0,0,0,3,0,1,1,5,0
04/Dec/2020,19:45,Bristol,18,Northampton,17,Ashton Gate,Luke Pearce,35,H,N,19,Fri,Dec,2020,2020-21,0,1,2,1,2,0,2,2,1,0
04/Dec/2020,19:45,Northampton,17,Bristol,18,Ashton Gate,Luke Pearce,35,H,N,19,Fri,Dec,2020,2020-21,1,0,2,2,1,0,2,1,2,0
05/Dec/2020,15:00,Leicester,13,Exeter,35,Welford Road,Craig Maxwell-Keys,48,A,N,15,Sat,Dec,2020,2020-21,0,1,1,1,2,0,5,5,0,0
05/Dec/2020,15:00,Exeter,35,Leicester,13,Welford Road,Craig Maxwell-Keys,48,A,N,15,Sat,Dec,2020,2020-21,1,0,5,5,0,0,1,1,2,0
05/Dec/2020,15:00,Wasps,17,Newcastle,27,Ricoh Arena,Andrew Jackson,44,A,N,15,Sat,Dec,2020,2020-21,0,0,3,1,0,0,3,3,2,0
05/Dec/2020,15:00,Newcastle,27,Wasps,17,Ricoh Arena,Andrew Jackson,44,A,N,15,Sat,Dec,2020,2020-21,0,0,3,3,2,0,3,1,0,0
05/Dec/2020,15:00,Worcester,17,Bath,33,Sixways,Tom Foley,50,A,N,15,Sat,Dec,2020,2020-21,0,1,2,2,1,0,5,4,0,0
05/Dec/2020,15:00,Bath,33,Worcester,17,Sixways,Tom Foley,50,A,N,15,Sat,Dec,2020,2020-21,1,0,5,4,0,0,2,2,1,0
06/Dec/2020,14:30,London Irish,13,Sale,21,Brentford Community Stadium,Christophe Ridley,34,A,N,14,Sun,Dec,2020,2020-21,0,0,1,1,2,0,2,1,3,0
06/Dec/2020,14:30,Sale,21,London Irish,13,Brentford Community Stadium,Christophe Ridley,34,A,N,14,Sun,Dec,2020,2020-21,0,0,2,1,3,0,1,1,2,0
06/Dec/2020,16:15,Gloucester,24,Harlequins,34,Kingsholm,Ian Tempest,58,A,N,16,Sun,Dec,2020,2020-21,0,1,3,3,1,0,4,4,1,1
06/Dec/2020,16:15,Harlequins,34,Gloucester,24,Kingsholm,Ian Tempest,58,A,N,16,Sun,Dec,2020,2020-21,1,0,4,4,1,1,3,3,1,0
26/Dec/2020,14:00,Bath,Cancelled,London Irish,Cancelled,Recreation Ground,Unknown,N/A,N/A,N,14,Sat,Dec,2020,2020-21,0,0,0,0,0,0,0,0,0,0
26/Dec/2020,14:00,London Irish,Cancelled,Bath,Cancelled,Recreation Ground,Unknown,N/A,N/A,N,14,Sat,Dec,2020,2020-21,0,0,0,0,0,0,0,0,0,0
26/Dec/2020,14:00,Harlequins,19,Bristol,27,Twickenham Stoop,Matthew Carley,46,A,N,14,Sat,Dec,2020,2020-21,0,1,1,1,4,0,4,2,1,0
