date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
18/Oct/2019,19:45,Bristol,43,Bath,16,Ashton Gate,Tom Foley,59,W,N,19,Fri,Oct,2019,2019-20,1,0,7,4,0,0,1,1,3,0
18/Oct/2019,19:45,Bath,16,Bristol,43,Ashton Gate,Tom Foley,59,L,N,19,Fri,Oct,2019,2019-20,0,1,1,1,3,0,7,4,0,0
19/Oct/2019,15:00,Exeter,22,Harlequins,19,Sandy Park,Christophe Ridley,41,W,N,15,Sat,Oct,2019,2019-20,0,1,1,1,5,0,2,0,3,0
19/Oct/2019,15:00,Harlequins,19,Exeter,22,Sandy Park,Christophe Ridley,41,L,N,15,Sat,Oct,2019,2019-20,1,0,2,0,3,0,1,1,5,0
19/Oct/2019,15:00,Saracens,25,Northampton,27,Allianz Park,Ian Tempest,52,L,N,15,Sat,Oct,2019,2019-20,1,0,1,1,6,0,3,3,2,0
19/Oct/2019,15:00,Northampton,27,Saracens,25,Allianz Park,Ian Tempest,52,W,N,15,Sat,Oct,2019,2019-20,0,1,3,3,2,0,1,1,6,0
19/Oct/2019,15:00,Worcester,24,Leicester,16,Sixways,Craig Maxwell-Keys,40,W,N,15,Sat,Oct,2019,2019-20,0,0,2,1,4,0,1,1,3,0
19/Oct/2019,15:00,Leicester,16,Worcester,24,Sixways,Craig Maxwell-Keys,40,L,N,15,Sat,Oct,2019,2019-20,0,0,1,1,3,0,2,1,4,0
19/Oct/2019,15:00,Sale,16,Gloucester,18,AJ Bell Stadium,Andrew Jackson,34,L,N,15,Sat,Oct,2019,2019-20,1,0,1,1,3,0,2,1,2,0
19/Oct/2019,15:00,Gloucester,18,Sale,16,AJ Bell Stadium,Andrew Jackson,34,W,N,15,Sat,Oct,2019,2019-20,0,1,2,1,2,0,1,1,3,0
20/Oct/2019,15:00,Wasps,26,London Irish,29,Ricoh Arena,JP Doyle,55,L,N,15,Sun,Oct,2019,2019-20,1,0,3,1,3,0,3,1,4,0
20/Oct/2019,15:00,London Irish,29,Wasps,26,Ricoh Arena,JP Doyle,55,W,N,15,Sun,Oct,2019,2019-20,0,1,3,1,4,0,3,1,3,0
25/Oct/2019,19:45,Bath,13,Exeter,10,Recreation Ground,JP Doyle,23,W,N,19,Fri,Oct,2019,2019-20,0,1,1,1,2,0,1,1,1,0
25/Oct/2019,19:45,Exeter,10,Bath,13,Recreation Ground,JP Doyle,23,L,N,19,Fri,Oct,2019,2019-20,1,0,1,1,1,0,1,1,2,0
26/Oct/2019,14:00,Northampton,35,Worcester,16,Franklin's Gardens,Jack Makepeace,51,W,N,14,Sat,Oct,2019,2019-20,1,0,5,2,2,0,1,1,3,0
26/Oct/2019,14:00,Worcester,16,Northampton,35,Franklin's Gardens,Jack Makepeace,51,L,N,14,Sat,Oct,2019,2019-20,0,1,1,1,3,0,5,2,2,0
26/Oct/2019,15:00,London Irish,7,Sale,41,Madejski Stadium,Craig Maxwell-Keys,48,L,N,15,Sat,Oct,2019,2019-20,0,1,1,1,0,0,6,4,0,1
26/Oct/2019,15:00,Sale,41,London Irish,7,Madejski Stadium,Craig Maxwell-Keys,48,W,N,15,Sat,Oct,2019,2019-20,1,0,6,4,0,1,1,1,0,0
26/Oct/2019,15:00,Gloucester,25,Wasps,9,Kingsholm,Christophe Ridley,34,W,N,15,Sat,Oct,2019,2019-20,1,0,4,1,1,0,0,0,3,0
26/Oct/2019,15:00,Wasps,9,Gloucester,25,Kingsholm,Christophe Ridley,34,L,N,15,Sat,Oct,2019,2019-20,0,1,0,0,3,0,4,1,1,0
26/Oct/2019,15:00,Harlequins,22,Bristol,17,Twickenham Stoop,Ian Tempest,39,W,N,15,Sat,Oct,2019,2019-20,0,1,1,1,5,0,1,0,4,0
26/Oct/2019,15:00,Bristol,17,Harlequins,22,Twickenham Stoop,Ian Tempest,39,L,N,15,Sat,Oct,2019,2019-20,1,0,1,0,4,0,1,1,5,0
27/Oct/2019,15:00,Leicester,10,Saracens,24,Welford Road,Tom Foley,34,L,N,15,Sun,Oct,2019,2019-20,0,0,1,1,1,0,3,3,1,0
27/Oct/2019,15:00,Saracens,24,Leicester,10,Welford Road,Tom Foley,34,W,N,15,Sun,Oct,2019,2019-20,0,0,3,3,1,0,1,1,1,0
01/Nov/2019,19:45,Bristol,16,Sale,10,Ashton Gate,Christophe Ridley,26,W,N,19,Fri,Nov,2019,2019-20,0,1,1,1,3,0,1,1,1,0
01/Nov/2019,19:45,Sale,10,Bristol,16,Ashton Gate,Christophe Ridley,26,L,N,19,Fri,Nov,2019,2019-20,1,0,1,1,1,0,1,1,3,0
01/Nov/2019,19:45,Northampton,40,Harlequins,22,Franklin's Gardens,JP Doyle,62,W,N,19,Fri,Nov,2019,2019-20,1,0,5,3,2,1,3,2,1,0
01/Nov/2019,19:45,Harlequins,22,Northampton,40,Franklin's Gardens,JP Doyle,62,L,N,19,Fri,Nov,2019,2019-20,0,1,3,2,1,0,5,3,2,1
02/Nov/2019,15:00,Wasps,30,Bath,22,Ricoh Arena,Anthony Woodthorpe,52,W,N,15,Sat,Nov,2019,2019-20,0,0,3,3,3,0,1,1,5,0
02/Nov/2019,15:00,Bath,22,Wasps,30,Ricoh Arena,Anthony Woodthorpe,52,L,N,15,Sat,Nov,2019,2019-20,0,0,1,1,5,0,3,3,3,0
02/Nov/2019,15:00,Leicester,16,Gloucester,13,Welford Road,Ian Tempest,29,W,N,15,Sat,Nov,2019,2019-20,0,1,1,1,3,0,1,1,2,0
02/Nov/2019,15:00,Gloucester,13,Leicester,16,Welford Road,Ian Tempest,29,L,N,15,Sat,Nov,2019,2019-20,1,0,1,1,2,0,1,1,3,0
02/Nov/2019,15:00,Saracens,16,London Irish,13,Allianz Park,Adam Leal,29,W,N,15,Sat,Nov,2019,2019-20,0,1,2,0,2,0,1,1,2,0
02/Nov/2019,15:00,London Irish,13,Saracens,16,Allianz Park,Adam Leal,29,L,N,15,Sat,Nov,2019,2019-20,1,0,1,1,2,0,2,0,2,0
03/Nov/2019,15:00,Worcester,20,Exeter,24,Sixways,Tom Foley,44,L,N,15,Sun,Nov,2019,2019-20,1,0,2,2,2,0,3,3,1,0
03/Nov/2019,15:00,Exeter,24,Worcester,20,Sixways,Tom Foley,44,W,N,15,Sun,Nov,2019,2019-20,0,1,3,3,1,0,2,2,2,0
08/Nov/2019,19:45,Sale,28,Wasps,18,AJ Bell Stadium,Tom Foley,46,W,N,19,Fri,Nov,2019,2019-20,0,0,1,1,7,0,2,1,2,0
08/Nov/2019,19:45,Wasps,18,Sale,28,AJ Bell Stadium,Tom Foley,46,L,N,19,Fri,Nov,2019,2019-20,0,0,2,1,2,0,1,1,7,0
09/Nov/2019,15:00,Bath,22,Northampton,13,Recreation Ground,Ian Tempest,35,W,N,15,Sat,Nov,2019,2019-20,0,0,3,2,1,0,2,0,1,0
09/Nov/2019,15:00,Northampton,13,Bath,22,Recreation Ground,Ian Tempest,35,L,N,15,Sat,Nov,2019,2019-20,0,0,2,0,1,0,3,2,1,0
09/Nov/2019,15:00,Gloucester,12,Saracens,21,Kingsholm,Craig Maxwell-Keys,33,L,N,15,Sat,Nov,2019,2019-20,0,0,2,1,0,0,2,1,3,0
09/Nov/2019,15:00,Saracens,21,Gloucester,12,Kingsholm,Craig Maxwell-Keys,33,W,N,15,Sat,Nov,2019,2019-20,0,0,2,1,3,0,2,1,0,0
09/Nov/2019,15:00,Harlequins,14,Worcester,19,Twickenham Stoop,Matthew Carley,33,L,N,15,Sat,Nov,2019,2019-20,1,0,2,2,0,0,1,1,4,0
09/Nov/2019,15:00,Worcester,19,Harlequins,14,Twickenham Stoop,Matthew Carley,33,W,N,15,Sat,Nov,2019,2019-20,0,1,1,1,4,0,2,2,0,0
10/Nov/2019,14:30,London Irish,36,Leicester,11,Madejski Stadium,JP Doyle,47,W,N,14,Sun,Nov,2019,2019-20,1,0,5,4,1,0,1,0,2,0
10/Nov/2019,14:30,Leicester,11,London Irish,36,Madejski Stadium,JP Doyle,47,L,N,14,Sun,Nov,2019,2019-20,0,1,1,0,2,0,5,4,1,0
10/Nov/2019,15:00,Exeter,17,Bristol,20,Sandy Park,Karl Dickson,37,L,N,15,Sun,Nov,2019,2019-20,1,0,2,2,1,0,2,2,2,0
10/Nov/2019,15:00,Bristol,20,Exeter,17,Sandy Park,Karl Dickson,37,W,N,15,Sun,Nov,2019,2019-20,0,1,2,2,2,0,2,2,1,0
29/Nov/2019,19:45,Bath,12,Saracens,25,Recreation Ground,Karl Dickson,37,L,N,19,Fri,Nov,2019,2019-20,0,0,0,0,4,0,1,1,6,0
29/Nov/2019,19:45,Saracens,25,Bath,12,Recreation Ground,Karl Dickson,37,W,N,19,Fri,Nov,2019,2019-20,0,0,1,1,6,0,0,0,4,0
30/Nov/2019,15:00,Exeter,38,Wasps,3,Sandy Park,Ian Tempest,41,W,N,15,Sat,Nov,2019,2019-20,1,0,5,4,1,0,0,0,1,0
30/Nov/2019,15:00,Wasps,3,Exeter,38,Sandy Park,Ian Tempest,41,L,N,15,Sat,Nov,2019,2019-20,0,1,0,0,1,0,5,4,1,0
30/Nov/2019,15:00,Northampton,36,Leicester,13,Franklin's Gardens,Matthew Carley,49,W,N,15,Sat,Nov,2019,2019-20,1,0,5,4,1,0,1,1,2,0
30/Nov/2019,15:00,Leicester,13,Northampton,36,Franklin's Gardens,Matthew Carley,49,L,N,15,Sat,Nov,2019,2019-20,0,1,1,1,2,0,5,4,1,0
