date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
06/Sep/2013,19:45,Newcastle,0,0,Bath,21,0,Kingston Park,Wayne Barnes,21,A,N,19,Fri,Sep,2013,2013-14
06/Sep/2013,19:45,Bath,21,0,Newcastle,0,0,Kingston Park,Wayne Barnes,21,A,N,19,Fri,Sep,2013,2013-14
07/Sep/2013,14:00,London Irish,20,0,Saracens,42,0,Twickenham Stadium,Greg Garner,62,A,N,14,Sat,Sep,2013,2013-14
07/Sep/2013,14:00,Saracens,42,0,London Irish,20,0,Twickenham Stadium,Greg Garner,62,A,N,14,Sat,Sep,2013,2013-14
07/Sep/2013,15:00,Gloucester,16,0,Sale,22,0,Kingsholm,Andrew Small,38,A,N,15,Sat,Sep,2013,2013-14
07/Sep/2013,15:00,Sale,22,0,Gloucester,16,0,Kingsholm,Andrew Small,38,A,N,15,Sat,Sep,2013,2013-14
07/Sep/2013,15:00,Northampton,38,0,Exeter,11,0,Franklin's Gardens,JP Doyle,49,H,N,15,Sat,Sep,2013,2013-14
07/Sep/2013,15:00,Exeter,11,0,Northampton,38,0,Franklin's Gardens,JP Doyle,49,H,N,15,Sat,Sep,2013,2013-14
07/Sep/2013,16:30,Wasps,15,0,Harlequins,16,0,Twickenham Stadium,Tim Wigglesworth,31,A,N,16,Sat,Sep,2013,2013-14
07/Sep/2013,16:30,Harlequins,16,0,Wasps,15,0,Twickenham Stadium,Tim Wigglesworth,31,A,N,16,Sat,Sep,2013,2013-14
08/Sep/2013,14:00,Leicester,32,0,Worcester,15,0,Welford Road,Luke Pearce,47,H,N,14,Sun,Sep,2013,2013-14
08/Sep/2013,14:00,Worcester,15,0,Leicester,32,0,Welford Road,Luke Pearce,47,H,N,14,Sun,Sep,2013,2013-14
13/Sep/2013,19:45,Harlequins,6,0,Northampton,13,0,Twickenham Stoop,Andrew Small,19,A,N,19,Fri,Sep,2013,2013-14
13/Sep/2013,19:45,Northampton,13,0,Harlequins,6,0,Twickenham Stoop,Andrew Small,19,A,N,19,Fri,Sep,2013,2013-14
13/Sep/2013,20:00,Sale,14,0,Newcastle,15,0,Salford City Stadium,Luke Pearce,29,A,N,20,Fri,Sep,2013,2013-14
13/Sep/2013,20:00,Newcastle,15,0,Sale,14,0,Salford City Stadium,Luke Pearce,29,A,N,20,Fri,Sep,2013,2013-14
14/Sep/2013,15:00,Exeter,30,0,Wasps,26,0,Sandy Park,Martin Fox,56,H,N,15,Sat,Sep,2013,2013-14
14/Sep/2013,15:00,Wasps,26,0,Exeter,30,0,Sandy Park,Martin Fox,56,H,N,15,Sat,Sep,2013,2013-14
14/Sep/2013,15:00,Worcester,18,0,London Irish,20,0,Sixways,Tim Wigglesworth,38,A,N,15,Sat,Sep,2013,2013-14
14/Sep/2013,15:00,London Irish,20,0,Worcester,18,0,Sixways,Tim Wigglesworth,38,A,N,15,Sat,Sep,2013,2013-14
14/Sep/2013,15:15,Bath,27,0,Leicester,20,0,The Recreation Ground,Greg Garner,47,H,N,15,Sat,Sep,2013,2013-14
14/Sep/2013,15:15,Leicester,20,0,Bath,27,0,The Recreation Ground,Greg Garner,47,H,N,15,Sat,Sep,2013,2013-14
15/Sep/2013,14:00,Saracens,44,0,Gloucester,12,0,Allianz Park,Wayne Barnes,56,H,N,14,Sun,Sep,2013,2013-14
15/Sep/2013,14:00,Gloucester,12,0,Saracens,44,0,Allianz Park,Wayne Barnes,56,H,N,14,Sun,Sep,2013,2013-14
20/Sep/2013,19:45,Worcester,13,0,Harlequins,37,0,Sixways,Wayne Barnes,50,A,N,19,Fri,Sep,2013,2013-14
20/Sep/2013,19:45,Harlequins,37,0,Worcester,13,0,Sixways,Wayne Barnes,50,A,N,19,Fri,Sep,2013,2013-14
20/Sep/2013,20:00,Sale,26,0,Wasps,22,0,Salford City Stadium,Tim Wigglesworth,48,H,N,20,Fri,Sep,2013,2013-14
20/Sep/2013,20:00,Wasps,22,0,Sale,26,0,Salford City Stadium,Tim Wigglesworth,48,H,N,20,Fri,Sep,2013,2013-14
21/Sep/2013,15:00,Leicester,31,0,Newcastle,6,0,Welford Road,David Rose,37,H,N,15,Sat,Sep,2013,2013-14
21/Sep/2013,15:00,Newcastle,6,0,Leicester,31,0,Welford Road,David Rose,37,H,N,15,Sat,Sep,2013,2013-14
21/Sep/2013,15:00,London Irish,23,0,Exeter,29,0,Madejski Stadium,Andrew Small,52,A,N,15,Sat,Sep,2013,2013-14
21/Sep/2013,15:00,Exeter,29,0,London Irish,23,0,Madejski Stadium,Andrew Small,52,A,N,15,Sat,Sep,2013,2013-14
21/Sep/2013,15:15,Gloucester,26,0,Northampton,24,0,Kingsholm,Martin Fox,50,H,N,15,Sat,Sep,2013,2013-14
21/Sep/2013,15:15,Northampton,24,0,Gloucester,26,0,Kingsholm,Martin Fox,50,H,N,15,Sat,Sep,2013,2013-14
22/Sep/2013,14:00,Saracens,31,0,Bath,17,0,Allianz Park,JP Doyle,48,H,N,14,Sun,Sep,2013,2013-14
22/Sep/2013,14:00,Bath,17,0,Saracens,31,0,Allianz Park,JP Doyle,48,H,N,14,Sun,Sep,2013,2013-14
27/Sep/2013,19:45,Northampton,33,0,Sale,14,0,Franklin's Gardens,David Rose,47,H,N,19,Fri,Sep,2013,2013-14
27/Sep/2013,19:45,Sale,14,0,Northampton,33,0,Franklin's Gardens,David Rose,47,H,N,19,Fri,Sep,2013,2013-14
28/Sep/2013,15:00,Bath,33,0,London Irish,18,0,The Recreation Ground,Luke Pearce,51,H,N,15,Sat,Sep,2013,2013-14
28/Sep/2013,15:00,London Irish,18,0,Bath,33,0,The Recreation Ground,Luke Pearce,51,H,N,15,Sat,Sep,2013,2013-14
28/Sep/2013,15:00,Wasps,32,0,Worcester,16,0,Adams Park,Gregory Garner,48,H,N,15,Sat,Sep,2013,2013-14
28/Sep/2013,15:00,Worcester,16,0,Wasps,32,0,Adams Park,Gregory Garner,48,H,N,15,Sat,Sep,2013,2013-14
28/Sep/2013,15:15,Harlequins,12,0,Saracens,22,0,Twickenham Stoop,Martin Fox,34,A,N,15,Sat,Sep,2013,2013-14
28/Sep/2013,15:15,Saracens,22,0,Harlequins,12,0,Twickenham Stoop,Martin Fox,34,A,N,15,Sat,Sep,2013,2013-14
29/Sep/2013,14:00,Exeter,9,0,Leicester,21,0,Sandy Park,Tim Wigglesworth,30,A,N,14,Sun,Sep,2013,2013-14
29/Sep/2013,14:00,Leicester,21,0,Exeter,9,0,Sandy Park,Tim Wigglesworth,30,A,N,14,Sun,Sep,2013,2013-14
29/Sep/2013,15:00,Newcastle,16,0,Gloucester,22,0,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2013,2013-14
