date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
07/Oct/2017,15:00,Leicester,28,0,London Irish,27,1,Madejski Stadium,JP Doyle,55,A,N,15,Sat,Oct,2017,2017-18,3,2,3,0,3,3,2,0
08/Oct/2017,15:00,Saracens,38,1,Wasps,19,0,Allianz Park,Ian Tempest,57,H,N,15,Sun,Oct,2017,2017-18,4,3,4,0,3,2,0,0
08/Oct/2017,15:00,Wasps,19,0,Saracens,38,1,Allianz Park,Ian Tempest,57,H,N,15,Sun,Oct,2017,2017-18,3,2,0,0,4,3,4,0
27/Oct/2017,19:45,Sale,6,1,Exeter,10,0,AJ Bell Stadium,Craig Maxwell-Keys,16,A,N,19,Fri,Oct,2017,2017-18,0,0,2,0,1,1,1,0
27/Oct/2017,19:45,Exeter,10,0,Sale,6,1,AJ Bell Stadium,Craig Maxwell-Keys,16,A,N,19,Fri,Oct,2017,2017-18,1,1,1,0,0,0,2,0
28/Oct/2017,15:00,Northampton,22,0,Wasps,38,1,Franklin's Gardens,Luke Pearce,60,A,N,15,Sat,Oct,2017,2017-18,2,0,4,0,4,3,4,0
28/Oct/2017,15:00,Wasps,38,1,Northampton,22,0,Franklin's Gardens,Luke Pearce,60,A,N,15,Sat,Oct,2017,2017-18,4,3,4,0,2,0,4,0
28/Oct/2017,15:00,Harlequins,41,1,Worcester,35,2,Twickenham Stoop,JP Doyle,76,H,N,15,Sat,Oct,2017,2017-18,5,5,2,0,6,1,1,0
28/Oct/2017,15:00,Worcester,35,2,Harlequins,41,1,Twickenham Stoop,JP Doyle,76,H,N,15,Sat,Oct,2017,2017-18,6,1,1,0,5,5,2,0
28/Oct/2017,15:00,Saracens,44,1,London Irish,13,0,Allianz Park,Andrew Jackson,57,H,N,15,Sat,Oct,2017,2017-18,6,4,2,0,1,1,2,0
28/Oct/2017,15:00,London Irish,13,0,Saracens,44,1,Allianz Park,Andrew Jackson,57,H,N,15,Sat,Oct,2017,2017-18,1,1,2,0,6,4,2,0
29/Oct/2017,15:00,Newcastle,13,0,Leicester,30,0,Kingston Park,Wayne Barnes,43,A,N,15,Sun,Oct,2017,2017-18,1,1,2,0,3,3,3,0
29/Oct/2017,15:00,Leicester,30,0,Newcastle,13,0,Kingston Park,Wayne Barnes,43,A,N,15,Sun,Oct,2017,2017-18,3,3,3,0,1,1,2,0
29/Oct/2017,15:00,Bath,21,1,Gloucester,22,0,Recreation Ground,Tom Foley,43,A,N,15,Sun,Oct,2017,2017-18,2,1,3,0,3,2,1,0
29/Oct/2017,15:00,Gloucester,22,0,Bath,21,1,Recreation Ground,Tom Foley,43,A,N,15,Sun,Oct,2017,2017-18,3,2,1,0,2,1,3,0
17/Nov/2017,19:45,Gloucester,23,0,Saracens,17,1,Kingsholm,Karl Dickson,40,H,N,19,Fri,Nov,2017,2017-18,2,2,3,0,1,0,4,0
17/Nov/2017,19:45,Saracens,17,1,Gloucester,23,0,Kingsholm,Karl Dickson,40,H,N,19,Fri,Nov,2017,2017-18,1,0,4,0,2,2,3,0
18/Nov/2017,13:00,Worcester,30,1,Northampton,15,0,Sixways,Andrew Jackson,45,H,N,13,Sat,Nov,2017,2017-18,4,2,2,0,2,1,1,0
18/Nov/2017,13:00,Northampton,15,0,Worcester,30,1,Sixways,Andrew Jackson,45,H,N,13,Sat,Nov,2017,2017-18,2,1,1,0,4,2,2,0
18/Nov/2017,17:15,Wasps,40,1,Newcastle,10,0,Ricoh Arena,Matthew O'Grady,50,H,N,17,Sat,Nov,2017,2017-18,6,5,0,0,1,1,1,0
18/Nov/2017,17:15,Newcastle,10,0,Wasps,40,1,Ricoh Arena,Matthew O'Grady,50,H,N,17,Sat,Nov,2017,2017-18,1,1,1,0,6,5,0,0
19/Nov/2017,15:00,Exeter,31,1,Harlequins,17,0,Sandy Park,JP Doyle,48,H,N,15,Sun,Nov,2017,2017-18,4,4,1,0,2,2,1,0
19/Nov/2017,15:00,Harlequins,17,0,Exeter,31,1,Sandy Park,JP Doyle,48,H,N,15,Sun,Nov,2017,2017-18,2,2,1,0,4,4,1,0
19/Nov/2017,15:00,Leicester,35,1,Sale,27,1,Welford Road,Luke Pearce,62,H,N,15,Sun,Nov,2017,2017-18,4,2,3,0,4,2,1,0
19/Nov/2017,15:00,Sale,27,1,Leicester,35,1,Welford Road,Luke Pearce,62,H,N,15,Sun,Nov,2017,2017-18,4,2,1,0,4,2,3,0
19/Nov/2017,15:00,London Irish,18,1,Bath,22,0,Madejski Stadium,Tom Foley,40,A,N,15,Sun,Nov,2017,2017-18,2,1,2,0,1,1,4,1
19/Nov/2017,15:00,Bath,22,0,London Irish,18,1,Madejski Stadium,Tom Foley,40,A,N,15,Sun,Nov,2017,2017-18,1,1,4,1,2,1,2,0
24/Nov/2017,19:45,Newcastle,7,0,Gloucester,29,1,Kingston Park,JP Doyle,36,A,N,19,Fri,Nov,2017,2017-18,1,1,0,0,4,3,1,0
24/Nov/2017,19:45,Gloucester,29,1,Newcastle,7,0,Kingston Park,JP Doyle,36,A,N,19,Fri,Nov,2017,2017-18,4,3,1,0,1,1,0,0
25/Nov/2017,12:15,Bath,38,1,Harlequins,14,0,Recreation Ground,Craig Maxwell-Keys,52,H,N,12,Sat,Nov,2017,2017-18,4,3,4,0,2,2,0,0
25/Nov/2017,12:15,Harlequins,14,0,Bath,38,1,Recreation Ground,Craig Maxwell-Keys,52,H,N,12,Sat,Nov,2017,2017-18,2,2,0,0,4,3,4,0
25/Nov/2017,15:00,Leicester,27,1,Worcester,31,1,Welford Road,Greg MacDonald,58,A,N,15,Sat,Nov,2017,2017-18,3,3,2,0,5,3,0,0
25/Nov/2017,15:00,Worcester,31,1,Leicester,27,1,Welford Road,Greg MacDonald,58,A,N,15,Sat,Nov,2017,2017-18,5,3,0,0,3,3,2,0
25/Nov/2017,17:30,Sale,18,0,Northampton,15,1,AJ Bell Stadium,Karl Dickson,33,H,N,17,Sat,Nov,2017,2017-18,2,1,2,0,2,1,1,0
25/Nov/2017,17:30,Northampton,15,1,Sale,18,0,AJ Bell Stadium,Karl Dickson,33,H,N,17,Sat,Nov,2017,2017-18,2,1,1,0,2,1,2,0
26/Nov/2017,15:00,London Irish,13,1,Wasps,17,0,Madejski Stadium,Christophe Ridley,30,A,N,15,Sun,Nov,2017,2017-18,1,1,2,0,3,1,0,0
26/Nov/2017,15:00,Wasps,17,0,London Irish,13,1,Madejski Stadium,Christophe Ridley,30,A,N,15,Sun,Nov,2017,2017-18,3,1,0,0,1,1,2,0
26/Nov/2017,15:00,Saracens,18,1,Exeter,20,0,Allianz Park,Ian Tempest,38,A,N,15,Sun,Nov,2017,2017-18,2,1,2,0,2,2,2,0
26/Nov/2017,15:00,Exeter,20,0,Saracens,18,1,Allianz Park,Ian Tempest,38,A,N,15,Sun,Nov,2017,2017-18,2,2,2,0,2,1,2,0
01/Dec/2017,19:45,Northampton,22,1,Newcastle,24,0,Franklin's Gardens,Craig Maxwell-Keys,46,A,N,19,Fri,Dec,2017,2017-18,3,1,1,0,3,3,1,0
01/Dec/2017,19:45,Newcastle,24,0,Northampton,22,1,Franklin's Gardens,Craig Maxwell-Keys,46,A,N,19,Fri,Dec,2017,2017-18,3,3,1,0,3,1,1,0
01/Dec/2017,19:45,Worcester,14,1,Sale,18,0,Sixways,Matthew Carley,32,A,N,19,Fri,Dec,2017,2017-18,1,0,3,0,2,1,2,0
01/Dec/2017,19:45,Sale,18,0,Worcester,14,1,Sixways,Matthew Carley,32,A,N,19,Fri,Dec,2017,2017-18,2,1,2,0,1,0,3,0
02/Dec/2017,14:00,Exeter,42,1,Bath,29,1,Sandy Park,JP Doyle,71,H,N,14,Sat,Dec,2017,2017-18,6,6,0,0,4,3,1,0
02/Dec/2017,14:00,Bath,29,1,Exeter,42,1,Sandy Park,JP Doyle,71,H,N,14,Sat,Dec,2017,2017-18,4,3,1,0,6,6,0,0
02/Dec/2017,15:00,Gloucester,39,1,London Irish,15,0,Kingsholm,Ian Tempest,54,H,N,15,Sat,Dec,2017,2017-18,5,4,2,0,2,1,1,0
02/Dec/2017,15:00,London Irish,15,0,Gloucester,39,1,Kingsholm,Ian Tempest,54,H,N,15,Sat,Dec,2017,2017-18,2,1,1,0,5,4,2,0
02/Dec/2017,16:30,Wasps,32,1,Leicester,25,1,Ricoh Arena,Thomas Foley,57,H,N,16,Sat,Dec,2017,2017-18,4,3,2,0,3,2,2,0
02/Dec/2017,16:30,Leicester,25,1,Wasps,32,1,Ricoh Arena,Thomas Foley,57,H,N,16,Sat,Dec,2017,2017-18,3,2,2,0,4,3,2,0
03/Dec/2017,15:00,Harlequins,20,0,Saracens,19,1,Twickenham Stoop,Luke Pearce,39,H,N,15,Sun,Dec,2017,2017-18,3,1,1,0,1,1,4,0
03/Dec/2017,15:00,Saracens,19,1,Harlequins,20,0,Twickenham Stoop,Luke Pearce,39,H,N,15,Sun,Dec,2017,2017-18,1,1,4,0,3,1,1,0
22/Dec/2017,19:45,Worcester,23,0,London Irish,8,0,Sixways,Wayne Barnes,31,H,N,19,Fri,Dec,2017,2017-18,2,2,3,0,1,0,1,0
22/Dec/2017,19:45,London Irish,8,0,Worcester,23,0,Sixways,Wayne Barnes,31,H,N,19,Fri,Dec,2017,2017-18,1,0,1,0,2,2,3,0
23/Dec/2017,15:00,Newcastle,11,0,Harlequins,10,1,Kingston Park,Luke Pearce,21,H,N,15,Sat,Dec,2017,2017-18,1,0,2,0,1,1,1,0
23/Dec/2017,15:00,Harlequins,10,1,Newcastle,11,0,Kingston Park,Luke Pearce,21,H,N,15,Sat,Dec,2017,2017-18,1,1,1,0,1,0,2,0
23/Dec/2017,15:00,Northampton,14,0,Exeter,35,1,Franklin's Gardens,Thomas Foley,49,A,N,15,Sat,Dec,2017,2017-18,2,2,0,0,4,3,3,0
23/Dec/2017,15:00,Exeter,35,1,Northampton,14,0,Franklin's Gardens,Thomas Foley,49,A,N,15,Sat,Dec,2017,2017-18,4,3,3,0,2,2,0,0
23/Dec/2017,15:00,Sale,32,1,Bath,9,0,AJ Bell Stadium,Ian Tempest,41,H,N,15,Sat,Dec,2017,2017-18,4,3,2,0,0,0,3,0
23/Dec/2017,15:00,Bath,9,0,Sale,32,1,AJ Bell Stadium,Ian Tempest,41,H,N,15,Sat,Dec,2017,2017-18,0,0,3,0,4,3,2,0
23/Dec/2017,15:00,Wasps,49,1,Gloucester,24,1,Ricoh Arena,Craig Maxwell-Keys,73,H,N,15,Sat,Dec,2017,2017-18,6,4,3,0,4,2,0,0
23/Dec/2017,15:00,Gloucester,24,1,Wasps,49,1,Ricoh Arena,Craig Maxwell-Keys,73,H,N,15,Sat,Dec,2017,2017-18,4,2,0,0,6,4,3,0
24/Dec/2017,15:00,Leicester,17,0,Saracens,29,0,Welford Road,Matthew Carley,46,A,N,15,Sun,Dec,2017,2017-18,2,1,1,0,2,1,4,1
24/Dec/2017,15:00,Saracens,29,0,Leicester,17,0,Welford Road,Matthew Carley,46,A,N,15,Sun,Dec,2017,2017-18,2,1,4,1,2,1,1,0
29/Dec/2017,19:45,Bath,26,2,Wasps,31,1,Recreation Ground,Luke Pearce,57,A,N,19,Fri,Dec,2017,2017-18,4,3,0,0,5,3,0,0
29/Dec/2017,19:45,Wasps,31,1,Bath,26,2,Recreation Ground,Luke Pearce,57,A,N,19,Fri,Dec,2017,2017-18,5,3,0,0,4,3,0,0
30/Dec/2017,15:00,Gloucester,20,0,Sale,16,1,Kingsholm,Andrew Jackson,36,H,N,15,Sat,Dec,2017,2017-18,2,2,2,0,1,1,3,0
30/Dec/2017,15:00,Sale,16,1,Gloucester,20,0,Kingsholm,Andrew Jackson,36,H,N,15,Sat,Dec,2017,2017-18,1,1,3,0,2,2,2,0
30/Dec/2017,15:00,London Irish,15,1,Newcastle,20,0,Madejski Stadium,Tom Foley,35,A,N,15,Sat,Dec,2017,2017-18,0,0,5,0,3,1,1,0
30/Dec/2017,15:00,Newcastle,20,0,London Irish,15,1,Madejski Stadium,Tom Foley,35,A,N,15,Sat,Dec,2017,2017-18,3,1,1,0,0,0,5,0
30/Dec/2017,15:00,Saracens,46,1,Worcester,31,1,Allianz Park,Christophe Ridley,77,H,N,15,Sat,Dec,2017,2017-18,6,5,2,0,4,4,1,0
30/Dec/2017,15:00,Worcester,31,1,Saracens,46,1,Allianz Park,Christophe Ridley,77,H,N,15,Sat,Dec,2017,2017-18,4,4,1,0,6,5,2,0
30/Dec/2017,16:00,Harlequins,50,1,Northampton,21,0,Twickenham Stadium,JP Doyle,71,H,N,16,Sat,Dec,2017,2017-18,7,6,1,0,3,3,0,0
30/Dec/2017,16:00,Northampton,21,0,Harlequins,50,1,Twickenham Stadium,JP Doyle,71,H,N,16,Sat,Dec,2017,2017-18,3,3,0,0,7,6,1,0
31/Dec/2017,15:00,Exeter,30,1,Leicester,6,0,Sandy Park,Craig Maxwell-Keys,36,H,N,15,Sun,Dec,2017,2017-18,4,2,2,0,0,0,2,0
31/Dec/2017,15:00,Leicester,6,0,Exeter,30,1,Sandy Park,Craig Maxwell-Keys,36,H,N,15,Sun,Dec,2017,2017-18,0,0,2,0,4,2,2,0
05/Jan/2018,19:45,Worcester,25,0,Bath,46,1,Sixways,JP Doyle,71,A,N,19,Fri,Jan,2018,2017-18,3,2,2,0,6,5,2,0
05/Jan/2018,19:45,Bath,46,1,Worcester,25,0,Sixways,JP Doyle,71,A,N,19,Fri,Jan,2018,2017-18,6,5,2,0,3,2,2,0
06/Jan/2018,15:00,Leicester,19,0,London Irish,15,1,Welford Road,Karl Dickson,34,H,N,15,Sat,Jan,2018,2017-18,3,2,0,0,2,1,1,0
06/Jan/2018,15:00,London Irish,15,1,Leicester,19,0,Welford Road,Karl Dickson,34,H,N,15,Sat,Jan,2018,2017-18,2,1,1,0,3,2,0,0
06/Jan/2018,15:00,Northampton,22,0,Gloucester,19,1,Franklin's Gardens,Ian Tempest,41,H,N,15,Sat,Jan,2018,2017-18,3,1,1,0,3,1,0,0
06/Jan/2018,15:00,Gloucester,19,1,Northampton,22,0,Franklin's Gardens,Ian Tempest,41,H,N,15,Sat,Jan,2018,2017-18,3,1,0,0,3,1,1,0
06/Jan/2018,15:00,Sale,30,0,Harlequins,29,2,AJ Bell Stadium,Matthew Carley,59,H,N,15,Sat,Jan,2018,2017-18,3,3,3,0,4,3,1,0
06/Jan/2018,15:00,Harlequins,29,2,Sale,30,0,AJ Bell Stadium,Matthew Carley,59,H,N,15,Sat,Jan,2018,2017-18,4,3,1,0,3,3,3,0
07/Jan/2018,15:00,Newcastle,28,0,Exeter,20,0,Kingston Park,Andrew Jackson,48,H,N,15,Sun,Jan,2018,2017-18,3,2,3,0,3,1,1,0
07/Jan/2018,15:00,Exeter,20,0,Newcastle,28,0,Kingston Park,Andrew Jackson,48,H,N,15,Sun,Jan,2018,2017-18,3,1,1,0,3,2,3,0
07/Jan/2018,15:00,Wasps,15,0,Saracens,38,1,Ricoh Arena,Wayne Barnes,53,A,N,15,Sun,Jan,2018,2017-18,2,0,1,0,5,2,3,0
07/Jan/2018,15:00,Saracens,38,1,Wasps,15,0,Ricoh Arena,Wayne Barnes,53,A,N,15,Sun,Jan,2018,2017-18,5,2,3,0,2,0,1,0
