date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
01/Sep/2017,19:45,Gloucester,28,1,Exeter,21,1,Kingsholm,Matthew Carley,49,H,N,19,Fri,Sep,2017,2017-18,4,4,0,0,3,3,0,0
01/Sep/2017,19:45,Exeter,21,1,Gloucester,28,1,Kingsholm,Matthew Carley,49,H,N,19,Fri,Sep,2017,2017-18,3,3,0,0,4,4,0,0
01/Sep/2017,19:45,Newcastle,35,1,Worcester,8,0,Kingston Park,Wayne Barnes,43,H,N,19,Fri,Sep,2017,2017-18,4,3,3,0,1,0,1,0
01/Sep/2017,19:45,Worcester,8,0,Newcastle,35,1,Kingston Park,Wayne Barnes,43,H,N,19,Fri,Sep,2017,2017-18,1,0,1,0,4,3,3,0
02/Sep/2017,14:00,Saracens,55,1,Northampton,24,0,Twickenham Stadium,Craig Maxwell-Keys,79,H,N,14,Sat,Sep,2017,2017-18,9,5,0,0,3,3,1,0
02/Sep/2017,14:00,Northampton,24,0,Saracens,55,1,Twickenham Stadium,Craig Maxwell-Keys,79,H,N,14,Sat,Sep,2017,2017-18,3,3,1,0,9,5,0,0
02/Sep/2016,15:00,Wasps,50,1,Sale,35,1,Ricoh Arena,JP Doyle,85,H,N,15,Fri,Sep,2016,2017-18,7,6,1,0,5,5,0,0
02/Sep/2016,15:00,Sale,35,1,Wasps,50,1,Ricoh Arena,JP Doyle,85,H,N,15,Fri,Sep,2016,2017-18,5,5,0,0,7,6,1,0
02/Sep/2017,16:45,London Irish,39,1,Harlequins,29,1,Twickenham Stadium,Tom Foley,68,H,N,16,Sat,Sep,2017,2017-18,4,2,5,0,4,3,1,0
02/Sep/2017,16:45,Harlequins,29,1,London Irish,39,1,Twickenham Stadium,Tom Foley,68,H,N,16,Sat,Sep,2017,2017-18,4,3,1,0,4,2,5,0
03/Sep/2017,15:00,Leicester,23,1,Bath,27,0,Welford Road,Luke Pearce,50,A,N,15,Sun,Sep,2017,2017-18,3,1,2,0,3,3,2,0
03/Sep/2017,15:00,Bath,27,0,Leicester,23,1,Welford Road,Luke Pearce,50,A,N,15,Sun,Sep,2017,2017-18,3,3,2,0,3,1,2,0
08/Sep/2017,19:45,Sale,12,1,Newcastle,13,0,AJ Bell Stadium,Andrew Jackson,25,A,N,19,Fri,Sep,2017,2017-18,0,0,4,0,1,0,2,0
08/Sep/2017,19:45,Newcastle,13,0,Sale,12,1,AJ Bell Stadium,Andrew Jackson,25,A,N,19,Fri,Sep,2017,2017-18,1,0,2,0,0,0,4,0
09/Sep/2017,14:00,Bath,31,0,Saracens,21,0,Recreation Ground,Wayne Barnes,52,H,N,14,Sat,Sep,2017,2017-18,3,2,2,2,2,0,3,0
09/Sep/2017,14:00,Saracens,21,0,Bath,31,0,Recreation Ground,Wayne Barnes,52,H,N,14,Sat,Sep,2017,2017-18,2,0,3,0,3,2,2,2
09/Sep/2017,15:00,Exeter,37,1,London Irish,7,0,Sandy Park,Craig Maxwell-Keys,44,H,N,15,Sat,Sep,2017,2017-18,5,2,2,0,1,1,0,0
09/Sep/2017,15:00,London Irish,7,0,Exeter,37,1,Sandy Park,Craig Maxwell-Keys,44,H,N,15,Sat,Sep,2017,2017-18,1,1,0,0,5,2,2,0
09/Sep/2017,15:00,Harlequins,28,0,Gloucester,17,0,Twickenham Stoop,Luke Pearce,45,H,N,15,Sat,Sep,2017,2017-18,3,2,3,0,2,2,1,0
09/Sep/2017,15:00,Gloucester,17,0,Harlequins,28,0,Twickenham Stoop,Luke Pearce,45,H,N,15,Sat,Sep,2017,2017-18,2,2,1,0,3,2,3,0
09/Sep/2017,16:30,Northampton,24,0,Leicester,11,0,Franklin's Gardens,JP Doyle,35,H,N,16,Sat,Sep,2017,2017-18,3,3,1,0,1,0,2,0
09/Sep/2017,16:30,Leicester,11,0,Northampton,24,0,Franklin's Gardens,JP Doyle,35,H,N,16,Sat,Sep,2017,2017-18,1,0,2,0,3,3,1,0
10/Sep/2017,15:00,Worcester,10,0,Wasps,24,0,Sixways,Tom Foley,34,A,N,15,Sun,Sep,2017,2017-18,1,1,1,0,3,3,1,0
10/Sep/2017,15:00,Wasps,24,0,Worcester,10,0,Sixways,Tom Foley,34,A,N,15,Sun,Sep,2017,2017-18,3,3,1,0,1,1,1,0
15/Sep/2017,19:45,Northampton,24,1,Bath,6,0,Franklin's Gardens,Tom Foley,30,H,N,19,Fri,Sep,2017,2017-18,4,2,0,0,0,0,2,0
15/Sep/2017,19:45,Bath,6,0,Northampton,24,1,Franklin's Gardens,Tom Foley,30,H,N,19,Fri,Sep,2017,2017-18,0,0,2,0,4,2,0,0
15/Sep/2017,19:45,Worcester,10,0,Exeter,41,1,Sixways,Ian Tempest,51,A,N,19,Fri,Sep,2017,2017-18,1,1,1,0,5,5,2,0
15/Sep/2017,19:45,Exeter,41,1,Worcester,10,0,Sixways,Ian Tempest,51,A,N,19,Fri,Sep,2017,2017-18,5,5,2,0,1,1,1,0
15/Sep/2017,20:00,Sale,36,1,London Irish,7,0,AJ Bell Stadium,Wayne Barnes,43,H,N,20,Fri,Sep,2017,2017-18,5,4,1,0,1,0,0,0
15/Sep/2017,20:00,London Irish,7,0,Sale,36,1,AJ Bell Stadium,Wayne Barnes,43,H,N,20,Fri,Sep,2017,2017-18,1,0,0,0,5,4,1,0
16/Sep/2017,15:00,Leicester,24,0,Gloucester,10,0,Welford Road,Craig Maxwell-Keys,34,H,N,15,Sat,Sep,2017,2017-18,3,3,1,0,1,1,1,0
16/Sep/2017,15:00,Gloucester,10,0,Leicester,24,0,Welford Road,Craig Maxwell-Keys,34,H,N,15,Sat,Sep,2017,2017-18,1,1,1,0,3,3,1,0
16/Sep/2017,17:10,Newcastle,7,0,Saracens,29,0,Talen Energy Stadium,JP Doyle,36,A,N,17,Sat,Sep,2017,2017-18,1,1,0,0,2,1,5,0
16/Sep/2017,17:10,Saracens,29,0,Newcastle,7,0,Talen Energy Stadium,JP Doyle,36,A,N,17,Sat,Sep,2017,2017-18,2,1,5,0,1,1,0,0
17/Sep/2017,15:00,Wasps,21,1,Harlequins,24,0,Ricoh Arena,Andrew Jackson,45,A,N,15,Sun,Sep,2017,2017-18,2,1,3,0,2,1,4,0
17/Sep/2017,15:00,Harlequins,24,0,Wasps,21,1,Ricoh Arena,Andrew Jackson,45,A,N,15,Sun,Sep,2017,2017-18,2,1,4,0,2,1,3,0
22/Sep/2017,19:45,Gloucester,24,0,Worcester,19,1,Kingsholm,Wayne Barnes,43,H,N,19,Fri,Sep,2017,2017-18,3,3,1,0,2,0,3,0
22/Sep/2017,19:45,Worcester,19,1,Gloucester,24,0,Kingsholm,Wayne Barnes,43,H,N,19,Fri,Sep,2017,2017-18,2,0,3,0,3,3,1,0
23/Sep/2017,15:00,Bath,32,2,Newcastle,33,1,Recreation Ground,Craig Maxwell-Keys,65,A,N,15,Sat,Sep,2017,2017-18,4,3,2,0,5,4,0,0
23/Sep/2017,15:00,Newcastle,33,1,Bath,32,2,Recreation Ground,Craig Maxwell-Keys,65,A,N,15,Sat,Sep,2017,2017-18,5,4,0,0,4,3,2,0
23/Sep/2017,15:00,Harlequins,28,1,Leicester,31,0,Twickenham Stoop,Ian Tempest,59,A,N,15,Sat,Sep,2017,2017-18,3,2,3,0,3,2,4,0
23/Sep/2017,15:00,Leicester,31,0,Harlequins,28,1,Twickenham Stoop,Ian Tempest,59,A,N,15,Sat,Sep,2017,2017-18,3,2,4,0,3,2,3,0
23/Sep/2017,15:00,Saracens,41,1,Sale,13,0,Allianz Park,Tom Foley,54,H,N,15,Sat,Sep,2017,2017-18,5,5,2,0,2,0,1,0
23/Sep/2017,15:00,Sale,13,0,Saracens,41,1,Allianz Park,Tom Foley,54,H,N,15,Sat,Sep,2017,2017-18,2,0,1,0,5,5,2,0
24/Sep/2017,15:00,Exeter,31,1,Wasps,17,0,Sandy Park,JP Doyle,48,H,N,15,Sun,Sep,2017,2017-18,5,3,0,0,2,2,1,0
24/Sep/2017,15:00,Wasps,17,0,Exeter,31,1,Sandy Park,JP Doyle,48,H,N,15,Sun,Sep,2017,2017-18,2,2,1,0,5,3,0,0
24/Sep/2017,15:00,London Irish,25,0,Northampton,40,1,Madejski Stadium,Matthew Carley,65,A,N,15,Sun,Sep,2017,2017-18,3,2,2,0,6,5,0,0
24/Sep/2017,15:00,Northampton,40,1,London Irish,25,0,Madejski Stadium,Matthew Carley,65,A,N,15,Sun,Sep,2017,2017-18,6,5,0,0,3,2,2,0
29/Sep/2017,19:45,Newcastle,29,0,London Irish,17,0,Kingston Park,Ian Tempest,46,H,N,19,Fri,Sep,2017,2017-18,4,3,1,0,2,2,1,0
29/Sep/2017,19:45,London Irish,17,0,Newcastle,29,0,Kingston Park,Ian Tempest,46,H,N,19,Fri,Sep,2017,2017-18,2,2,1,0,4,3,1,0
29/Sep/2017,19:45,Worcester,3,0,Saracens,25,0,Sixways,Craig Maxwell-Keys,28,A,N,19,Fri,Sep,2017,2017-18,0,0,1,0,3,2,2,0
29/Sep/2017,19:45,Saracens,25,0,Worcester,3,0,Sixways,Craig Maxwell-Keys,28,A,N,19,Fri,Sep,2017,2017-18,3,2,2,0,0,0,1,0
29/Sep/2017,20:00,Sale,57,1,Gloucester,10,0,AJ Bell Stadium,JP Doyle,67,H,N,20,Fri,Sep,2017,2017-18,8,7,1,0,1,1,1,0
29/Sep/2017,20:00,Gloucester,10,0,Sale,57,1,AJ Bell Stadium,JP Doyle,67,H,N,20,Fri,Sep,2017,2017-18,1,1,1,0,8,7,1,0
30/Sep/2017,15:00,Leicester,20,0,Exeter,13,1,Welford Road,Tom Foley,33,H,N,15,Sat,Sep,2017,2017-18,2,2,1,1,1,0,2,0
30/Sep/2017,15:00,Exeter,13,1,Leicester,20,0,Welford Road,Tom Foley,33,H,N,15,Sat,Sep,2017,2017-18,1,0,2,0,2,2,1,1
30/Sep/2017,15:00,Northampton,30,1,Harlequins,22,0,Franklin's Gardens,Luke Pearce,52,H,N,15,Sat,Sep,2017,2017-18,4,2,2,0,3,2,1,0
30/Sep/2017,15:00,Harlequins,22,0,Northampton,30,1,Franklin's Gardens,Luke Pearce,52,H,N,15,Sat,Sep,2017,2017-18,3,2,1,0,4,2,2,0
01/Oct/2017,15:00,Wasps,9,0,Bath,25,0,Ricoh Arena,Matthew Carley,34,A,N,15,Sun,Oct,2017,2017-18,0,0,3,0,1,1,5,1
01/Oct/2017,15:00,Bath,25,0,Wasps,9,0,Ricoh Arena,Matthew Carley,34,A,N,15,Sun,Oct,2017,2017-18,1,1,5,1,0,0,3,0
06/Oct/2017,19:45,Harlequins,42,1,Sale,26,1,Twickenham Stoop,Matthew Carley,68,H,N,19,Fri,Oct,2017,2017-18,5,4,3,0,4,3,0,0
06/Oct/2017,19:45,Sale,26,1,Harlequins,42,1,Twickenham Stoop,Matthew Carley,68,H,N,19,Fri,Oct,2017,2017-18,4,3,0,0,5,4,3,0
07/Oct/2017,15:00,Bath,29,1,Worcester,13,0,Recreation Ground,Luke Pearce,42,H,N,15,Sat,Oct,2017,2017-18,4,3,1,0,2,0,1,0
07/Oct/2017,15:00,Worcester,13,0,Bath,29,1,Recreation Ground,Luke Pearce,42,H,N,15,Sat,Oct,2017,2017-18,2,0,1,0,4,3,1,0
07/Oct/2017,15:00,Exeter,34,1,Newcastle,24,1,Sandy Park,Andrew Jackson,58,H,N,15,Sat,Oct,2017,2017-18,4,3,2,0,4,2,0,0
07/Oct/2017,15:00,Newcastle,24,1,Exeter,34,1,Sandy Park,Andrew Jackson,58,H,N,15,Sat,Oct,2017,2017-18,4,2,0,0,4,3,2,0
07/Oct/2017,15:00,Gloucester,29,1,Northampton,24,1,Kingsholm,Wayne Barnes,53,H,N,15,Sat,Oct,2017,2017-18,5,2,0,0,3,3,1,0
07/Oct/2017,15:00,Northampton,24,1,Gloucester,29,1,Kingsholm,Wayne Barnes,53,H,N,15,Sat,Oct,2017,2017-18,3,3,1,0,5,2,0,0
07/Oct/2017,15:00,London Irish,27,1,Leicester,28,0,Madejski Stadium,JP Doyle,55,A,N,15,Sat,Oct,2017,2017-18,3,3,2,0,3,2,3,0
