date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
16/Oct/2015,19:45,Harlequins,26,Wasps,21,Twickenham Stoop,Luke Pearce,47,W,N,19,Fri,Oct,2015,2015-16,0,1,2,2,4,0,2,1,3,0
16/Oct/2015,19:45,Wasps,21,Harlequins,26,Twickenham Stoop,Luke Pearce,47,L,N,19,Fri,Oct,2015,2015-16,1,0,2,1,3,0,2,2,4,0
16/Oct/2015,19:45,Worcester,13,Northampton,12,Sixways,Greg Garner,25,W,N,19,Fri,Oct,2015,2015-16,0,1,1,1,1,1,0,0,4,0
16/Oct/2015,19:45,Northampton,12,Worcester,13,Sixways,Greg Garner,25,L,N,19,Fri,Oct,2015,2015-16,1,0,0,0,4,0,1,1,1,1
16/Oct/2015,20:00,Newcastle,27,Gloucester,39,Kingston Park,Thomas Foley,66,L,N,20,Fri,Oct,2015,2015-16,0,0,3,3,2,0,2,1,9,0
16/Oct/2015,20:00,Gloucester,39,Newcastle,27,Kingston Park,Thomas Foley,66,W,N,20,Fri,Oct,2015,2015-16,0,0,2,1,9,0,3,3,2,0
17/Oct/2015,14:00,Bath,19,Exeter,17,The Recreation Ground,Tim Wigglesworth,36,W,N,14,Sat,Oct,2015,2015-16,0,1,1,1,4,0,1,0,4,0
17/Oct/2015,14:00,Exeter,17,Bath,19,The Recreation Ground,Tim Wigglesworth,36,L,N,14,Sat,Oct,2015,2015-16,1,0,1,0,4,0,1,1,4,0
17/Oct/2015,14:00,Saracens,41,Sale,3,Allianz Park,Dean Richards,44,W,N,14,Sat,Oct,2015,2015-16,1,0,5,5,2,0,0,0,1,0
17/Oct/2015,14:00,Sale,3,Saracens,41,Allianz Park,Dean Richards,44,L,N,14,Sat,Oct,2015,2015-16,0,1,0,0,1,0,5,5,2,0
18/Oct/2015,15:15,London Irish,16,Leicester,28,Madejski Stadium,Matthew Carley,44,L,N,15,Sun,Oct,2015,2015-16,0,0,1,1,3,0,1,1,7,0
18/Oct/2015,15:15,Leicester,28,London Irish,16,Madejski Stadium,Matthew Carley,44,W,N,15,Sun,Oct,2015,2015-16,0,0,1,1,7,0,1,1,3,0
23/Oct/2015,19:45,Gloucester,15,Saracens,17,Kingsholm,Matthew Carley,32,L,N,19,Fri,Oct,2015,2015-16,1,0,0,0,5,0,1,0,4,0
23/Oct/2015,19:45,Saracens,17,Gloucester,15,Kingsholm,Matthew Carley,32,W,N,19,Fri,Oct,2015,2015-16,0,1,1,0,4,0,0,0,5,0
23/Oct/2015,20:00,Sale,27,Worcester,13,AJ Bell Stadium,Luke Pearce,40,W,N,20,Fri,Oct,2015,2015-16,1,0,4,2,1,0,1,1,2,0
23/Oct/2015,20:00,Worcester,13,Sale,27,AJ Bell Stadium,Luke Pearce,40,L,N,20,Fri,Oct,2015,2015-16,0,1,1,1,2,0,4,2,1,0
24/Oct/2015,13:45,Northampton,42,Newcastle,16,Stadium mk,Dean Richards,58,W,N,13,Sat,Oct,2015,2015-16,1,0,5,4,3,0,1,1,3,0
24/Oct/2015,13:45,Newcastle,16,Northampton,42,Stadium mk,Dean Richards,58,L,N,13,Sat,Oct,2015,2015-16,0,1,1,1,3,0,5,4,3,0
24/Oct/2015,14:00,Wasps,16,Bath,9,Ricoh Arena,Craig Maxwell-Keys,25,W,N,14,Sat,Oct,2015,2015-16,0,1,1,1,3,0,0,0,3,0
24/Oct/2015,14:00,Bath,9,Wasps,16,Ricoh Arena,Craig Maxwell-Keys,25,L,N,14,Sat,Oct,2015,2015-16,1,0,0,0,3,0,1,1,3,0
24/Oct/2015,18:00,Exeter,38,London Irish,11,Sandy Park,Andrew Small,49,W,N,18,Sat,Oct,2015,2015-16,1,0,6,4,0,0,1,0,2,0
24/Oct/2015,18:00,London Irish,11,Exeter,38,Sandy Park,Andrew Small,49,L,N,18,Sat,Oct,2015,2015-16,0,1,1,0,2,0,6,4,0,0
25/Oct/2015,14:00,Leicester,22,Harlequins,19,Welford Road,Thomas Foley,41,W,N,14,Sun,Oct,2015,2015-16,0,1,1,1,5,0,1,1,4,0
25/Oct/2015,14:00,Harlequins,19,Leicester,22,Welford Road,Thomas Foley,41,L,N,14,Sun,Oct,2015,2015-16,1,0,1,1,4,0,1,1,5,0
31/Oct/2015,13:00,Saracens,24,London Irish,14,Allianz Park,Greg Garner,38,W,N,13,Sat,Oct,2015,2015-16,0,0,2,1,4,0,2,2,0,0
31/Oct/2015,13:00,London Irish,14,Saracens,24,Allianz Park,Greg Garner,38,L,N,13,Sat,Oct,2015,2015-16,0,0,2,2,0,0,2,1,4,0
31/Oct/2015,13:30,Bath,28,Harlequins,38,The Recreation Ground,Matthew Carley,66,L,N,13,Sat,Oct,2015,2015-16,0,0,3,2,3,0,2,2,8,0
31/Oct/2015,13:30,Harlequins,38,Bath,28,The Recreation Ground,Matthew Carley,66,W,N,13,Sat,Oct,2015,2015-16,0,0,2,2,8,0,3,2,3,0
31/Oct/2015,14:00,Gloucester,24,Worcester,22,Kingsholm,Craig Maxwell-Keys,46,W,N,14,Sat,Oct,2015,2015-16,0,1,3,0,3,0,3,2,1,0
31/Oct/2015,14:00,Worcester,22,Gloucester,24,Kingsholm,Craig Maxwell-Keys,46,L,N,14,Sat,Oct,2015,2015-16,1,0,3,2,1,0,3,0,3,0
01/Nov/2015,13:00,Newcastle,3,Exeter,41,Kingston Park,Ian Tempest,44,L,N,13,Sun,Nov,2015,2015-16,0,1,0,0,1,0,6,4,1,0
01/Nov/2015,13:00,Exeter,41,Newcastle,3,Kingston Park,Ian Tempest,44,W,N,13,Sun,Nov,2015,2015-16,1,0,6,4,1,0,0,0,1,0
01/Nov/2015,14:30,Sale,20,Northampton,13,AJ Bell Stadium,Andrew Small,33,W,N,14,Sun,Nov,2015,2015-16,0,1,2,2,2,0,1,1,2,0
01/Nov/2015,14:30,Northampton,13,Sale,20,AJ Bell Stadium,Andrew Small,33,L,N,14,Sun,Nov,2015,2015-16,1,0,1,1,2,0,2,2,2,0
01/Nov/2015,15:15,Leicester,24,Wasps,16,Welford Road,Tim Wigglesworth,40,W,N,15,Sun,Nov,2015,2015-16,0,0,2,1,4,0,1,1,3,0
01/Nov/2015,15:15,Wasps,16,Leicester,24,Welford Road,Tim Wigglesworth,40,L,N,15,Sun,Nov,2015,2015-16,0,0,1,1,3,0,2,1,4,0
06/Nov/2015,19:45,Harlequins,16,Sale,14,Twickenham Stoop,Tim Wigglesworth,30,W,N,19,Fri,Nov,2015,2015-16,0,1,1,1,3,0,2,2,0,0
06/Nov/2015,19:45,Sale,14,Harlequins,16,Twickenham Stoop,Tim Wigglesworth,30,L,N,19,Fri,Nov,2015,2015-16,1,0,2,2,0,0,1,1,3,0
07/Nov/2015,15:00,London Irish,14,Bath,45,Madejski Stadium,Thomas Foley,59,L,N,15,Sat,Nov,2015,2015-16,0,1,2,2,0,0,6,6,1,0
07/Nov/2015,15:00,Bath,45,London Irish,14,Madejski Stadium,Thomas Foley,59,W,N,15,Sat,Nov,2015,2015-16,1,0,6,6,1,0,2,2,0,0
07/Nov/2015,15:00,Worcester,28,Newcastle,20,Sixways,JP Doyle,48,W,N,15,Sat,Nov,2015,2015-16,1,0,4,4,0,0,2,2,2,0
