date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
03/Sep/2011,14:00,London Irish,24,Harlequins,29,Twickenham Stadium,Greg Garner,53,A,N,14,Sat,Sep,2011,2011-12
03/Sep/2011,14:00,Harlequins,29,London Irish,24,Twickenham Stadium,Greg Garner,53,A,N,14,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Leicester,28,Exeter,30,Welford Road,Tim Wigglesworth,58,A,N,15,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Exeter,30,Leicester,28,Welford Road,Tim Wigglesworth,58,A,N,15,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Worcester,17,Sale,12,Sixways,Unknown,29,H,N,15,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Sale,12,Worcester,17,Sixways,Unknown,29,H,N,15,Sat,Sep,2011,2011-12
03/Sep/2011,16:30,Saracens,15,Wasps,20,Twickenham Stadium,Unknown,35,A,N,16,Sat,Sep,2011,2011-12
03/Sep/2011,16:30,Wasps,20,Saracens,15,Twickenham Stadium,Unknown,35,A,N,16,Sat,Sep,2011,2011-12
03/Sep/2011,18:30,Newcastle,9,Bath,22,Kingston Park,Martin Fox,31,A,N,18,Sat,Sep,2011,2011-12
03/Sep/2011,18:30,Bath,22,Newcastle,9,Kingston Park,Martin Fox,31,A,N,18,Sat,Sep,2011,2011-12
04/Sep/2011,15:30,Northampton,26,Gloucester,24,Franklin's Gardens,Andrew Small,50,H,N,15,Sun,Sep,2011,2011-12
04/Sep/2011,15:30,Gloucester,24,Northampton,26,Franklin's Gardens,Andrew Small,50,H,N,15,Sun,Sep,2011,2011-12
09/Sep/2011,19:45,Harlequins,26,Northampton,13,Twickenham Stoop,Greg Garner,39,H,N,19,Fri,Sep,2011,2011-12
09/Sep/2011,19:45,Northampton,13,Harlequins,26,Twickenham Stoop,Greg Garner,39,H,N,19,Fri,Sep,2011,2011-12
09/Sep/2011,19:45,Sale,30,London Irish,29,Edgeley Park,Sean Davey,59,H,N,19,Fri,Sep,2011,2011-12
