date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,winner,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
17/Sep/2021,19:45,Bristol,9,Saracens,26,Ashton Gate,Wayne Barnes,35,A,N,19,Fri,Sep,2021,2021-22,0,0,0,0,3,0,1,0,7,0
17/Sep/2021,19:45,Saracens,26,Bristol,9,Ashton Gate,Wayne Barnes,35,A,N,19,Fri,Sep,2021,2021-22,0,0,1,0,7,0,0,0,3,0
18/Sep/2021,15:00,Leicester,34,Exeter,19,Welford Road,Ian Tempest,53,H,N,15,Sat,Sep,2021,2021-22,1,0,5,3,1,0,3,1,0,0
18/Sep/2021,15:00,Exeter,19,Leicester,34,Welford Road,Ian Tempest,53,H,N,15,Sat,Sep,2021,2021-22,0,1,3,1,0,0,5,3,1,0
18/Sep/2021,15:00,Northampton,34,Gloucester,20,Franklin's Gardens,Karl Dickson,54,H,N,15,Sat,Sep,2021,2021-22,1,0,4,3,2,0,3,1,1,0
18/Sep/2021,15:00,Gloucester,20,Northampton,34,Franklin's Gardens,Karl Dickson,54,H,N,15,Sat,Sep,2021,2021-22,0,1,3,1,1,0,4,3,2,0
18/Sep/2021,15:00,Worcester,36,London Irish,24,Sixways,Craig Maxwell-Keys,60,H,N,15,Sat,Sep,2021,2021-22,1,1,5,4,1,0,4,2,0,0
18/Sep/2021,15:00,London Irish,24,Worcester,36,Sixways,Craig Maxwell-Keys,60,H,N,15,Sat,Sep,2021,2021-22,1,1,4,2,0,0,5,4,1,0
18/Sep/2021,17:00,Sale,20,Bath,19,AJ Bell Stadium,Christophe Ridley,39,H,N,17,Sat,Sep,2021,2021-22,0,1,2,2,2,0,1,1,4,0
18/Sep/2021,17:00,Bath,19,Sale,20,AJ Bell Stadium,Christophe Ridley,39,H,N,17,Sat,Sep,2021,2021-22,1,0,1,1,4,0,2,2,2,0
19/Sep/2021,15:00,Newcastle,20,Harlequins,26,Kingston Park,Tom Foley,46,A,N,15,Sun,Sep,2021,2021-22,1,1,3,1,1,0,4,2,0,0
19/Sep/2021,15:00,Harlequins,26,Newcastle,20,Kingston Park,Tom Foley,46,A,N,15,Sun,Sep,2021,2021-22,1,1,4,2,0,0,3,1,1,0
24/Sep/2021,19:45,Gloucester,26,Leicester,33,Kingsholm,Tom Foley,59,A,N,19,Fri,Sep,2021,2021-22,2,1,4,3,0,0,4,2,3,0
24/Sep/2021,19:45,Leicester,33,Gloucester,26,Kingsholm,Tom Foley,59,A,N,19,Fri,Sep,2021,2021-22,1,2,4,2,3,0,4,3,0,0
25/Sep/2021,15:00,Bath,13,Newcastle,20,Recreation Ground,Craig Maxwell-Keys,33,A,N,15,Sat,Sep,2021,2021-22,1,0,1,1,2,0,3,1,1,0
25/Sep/2021,15:00,Newcastle,20,Bath,13,Recreation Ground,Craig Maxwell-Keys,33,A,N,15,Sat,Sep,2021,2021-22,0,1,3,1,1,0,1,1,2,0
25/Sep/2021,15:00,Exeter,24,Northampton,26,Sandy Park,Christophe Ridley,50,A,N,15,Sat,Sep,2021,2021-22,1,0,3,3,1,0,2,2,4,0
25/Sep/2021,15:00,Northampton,26,Exeter,24,Sandy Park,Christophe Ridley,50,A,N,15,Sat,Sep,2021,2021-22,0,1,2,2,4,0,3,3,1,0
25/Sep/2021,15:00,Harlequins,35,Worcester,29,Twickenham Stoop,Sara Cox,64,H,N,15,Sat,Sep,2021,2021-22,1,2,5,5,0,0,4,3,1,0
25/Sep/2021,15:00,Worcester,29,Harlequins,35,Twickenham Stoop,Sara Cox,64,H,N,15,Sat,Sep,2021,2021-22,2,1,4,3,1,0,5,5,0,0
25/Sep/2021,15:00,Wasps,44,Bristol,8,Coventry Building Society Arena,Karl Dickson,52,H,N,15,Sat,Sep,2021,2021-22,1,0,6,4,2,0,1,0,1,0
25/Sep/2021,15:00,Bristol,8,Wasps,44,Coventry Building Society Arena,Karl Dickson,52,H,N,15,Sat,Sep,2021,2021-22,0,1,1,0,1,0,6,4,2,0
26/Sep/2021,15:00,London Irish,31,Sale,31,Brentford Community Stadium,Wayne Barnes,62,D,N,15,Sun,Sep,2021,2021-22,1,1,5,3,0,0,4,4,1,0
26/Sep/2021,15:00,Sale,31,London Irish,31,Brentford Community Stadium,Wayne Barnes,62,D,N,15,Sun,Sep,2021,2021-22,1,1,4,4,1,0,5,3,0,0
01/Oct/2021,19:45,Bristol,25,Bath,20,Ashton Gate,Ian Tempest,45,H,N,19,Fri,Oct,2021,2021-22,0,1,3,1,2,0,3,1,1,0
01/Oct/2021,19:45,Bath,20,Bristol,25,Ashton Gate,Ian Tempest,45,H,N,19,Fri,Oct,2021,2021-22,1,0,3,1,1,0,3,1,2,0
02/Oct/2021,14:00,Northampton,23,London Irish,21,Franklin's Gardens,Tom Foley,44,H,N,14,Sat,Oct,2021,2021-22,0,0,2,2,3,0,3,2,0,0
02/Oct/2021,14:00,London Irish,21,Northampton,23,Franklin's Gardens,Tom Foley,44,H,N,14,Sat,Oct,2021,2021-22,0,0,3,2,0,0,2,2,3,0
02/Oct/2021,15:00,Leicester,13,Saracens,12,Welford Road,Christophe Ridley,25,H,N,15,Sat,Oct,2021,2021-22,0,1,1,0,2,0,0,0,4,0
02/Oct/2021,15:00,Saracens,12,Leicester,13,Welford Road,Christophe Ridley,25,H,N,15,Sat,Oct,2021,2021-22,1,0,0,0,4,0,1,0,2,0
02/Oct/2021,15:00,Newcastle,18,Wasps,14,Kingston Park,Anthony Woodthorpe,32,H,N,15,Sat,Oct,2021,2021-22,0,1,2,1,2,0,2,2,0,0
02/Oct/2021,15:00,Wasps,14,Newcastle,18,Kingston Park,Anthony Woodthorpe,32,H,N,15,Sat,Oct,2021,2021-22,1,0,2,2,0,0,2,1,2,0
02/Oct/2021,15:00,Worcester,23,Gloucester,31,Sixways,Andrew Jackson,54,A,N,15,Sat,Oct,2021,2021-22,0,0,2,2,3,0,3,2,4,0
02/Oct/2021,15:00,Gloucester,31,Worcester,23,Sixways,Andrew Jackson,54,A,N,15,Sat,Oct,2021,2021-22,0,0,3,2,4,0,2,2,3,0
03/Oct/2021,15:00,Sale,15,Exeter,25,AJ Bell Stadium,Craig Maxwell-Keys,40,A,N,15,Sun,Oct,2021,2021-22,0,0,2,1,1,0,3,2,2,0
03/Oct/2021,15:00,Exeter,25,Sale,15,AJ Bell Stadium,Craig Maxwell-Keys,40,A,N,15,Sun,Oct,2021,2021-22,0,0,3,2,2,0,2,1,1,0
08/Oct/2021,19:45,Harlequins,52,Bristol,24,Twickenham Stoop,Wayne Barnes,76,H,N,19,Fri,Oct,2021,2021-22,1,0,8,6,0,0,3,3,1,0
08/Oct/2021,19:45,Bristol,24,Harlequins,52,Twickenham Stoop,Wayne Barnes,76,H,N,19,Fri,Oct,2021,2021-22,0,1,3,3,1,0,8,6,0,0
09/Oct/2021,15:00,Exeter,42,Worcester,5,Sandy Park,Tom Foley,47,H,N,15,Sat,Oct,2021,2021-22,1,0,6,6,0,0,1,0,0,0
09/Oct/2021,15:00,Worcester,5,Exeter,42,Sandy Park,Tom Foley,47,H,N,15,Sat,Oct,2021,2021-22,0,1,1,0,0,0,6,6,0,0
09/Oct/2021,15:00,Gloucester,33,Sale,32,Kingsholm,Christophe Ridley,65,H,N,15,Sat,Oct,2021,2021-22,1,2,4,2,2,1,5,2,1,0
09/Oct/2021,15:00,Sale,32,Gloucester,33,Kingsholm,Christophe Ridley,65,H,N,15,Sat,Oct,2021,2021-22,2,1,5,2,1,0,4,2,2,1
09/Oct/2021,15:00,London Irish,16,Leicester,21,Brentford Community Stadium,Adam Leal,37,A,N,15,Sat,Oct,2021,2021-22,1,0,1,1,3,0,2,1,3,0
09/Oct/2021,15:00,Leicester,21,London Irish,16,Brentford Community Stadium,Adam Leal,37,A,N,15,Sat,Oct,2021,2021-22,0,1,2,1,3,0,1,1,3,0
09/Oct/2021,15:00,Saracens,37,Newcastle,23,StoneX Stadium,Ian Tempest,60,H,N,15,Sat,Oct,2021,2021-22,1,0,4,3,3,0,2,2,3,0
09/Oct/2021,15:00,Newcastle,23,Saracens,37,StoneX Stadium,Ian Tempest,60,H,N,15,Sat,Oct,2021,2021-22,0,1,2,2,3,0,4,3,3,0
10/Oct/2021,15:00,Wasps,26,Northampton,20,Coventry Building Society Arena,Craig Maxwell-Keys,46,H,N,15,Sun,Oct,2021,2021-22,0,1,2,2,4,0,3,1,1,0
10/Oct/2021,15:00,Northampton,20,Wasps,26,Coventry Building Society Arena,Craig Maxwell-Keys,46,H,N,15,Sun,Oct,2021,2021-22,1,0,3,1,1,0,2,2,4,0
15/Oct/2021,19:45,Sale,28,Harlequins,22,AJ Bell Stadium,Tom Foley,50,H,N,19,Fri,Oct,2021,2021-22,0,1,3,2,3,0,3,2,1,0
15/Oct/2021,19:45,Harlequins,22,Sale,28,AJ Bell Stadium,Tom Foley,50,H,N,19,Fri,Oct,2021,2021-22,1,0,3,2,1,0,3,2,3,0
16/Oct/2021,15:00,Newcastle,13,Bristol,5,Kingston Park,Christophe Ridley,18,H,N,15,Sat,Oct,2021,2021-22,0,0,1,1,2,0,1,0,0,0
16/Oct/2021,15:00,Bristol,5,Newcastle,13,Kingston Park,Christophe Ridley,18,H,N,15,Sat,Oct,2021,2021-22,0,0,1,0,0,0,1,1,2,0
16/Oct/2021,15:00,Wasps,23,Exeter,27,Coventry Building Society Arena,Wayne Barnes,50,A,N,15,Sat,Oct,2021,2021-22,1,1,2,2,3,0,4,2,1,0
16/Oct/2021,15:00,Exeter,27,Wasps,23,Coventry Building Society Arena,Wayne Barnes,50,A,N,15,Sat,Oct,2021,2021-22,1,1,4,2,1,0,2,2,3,0
16/Oct/2021,15:00,Worcester,3,Leicester,48,Sixways,Luke Pearce,51,A,N,15,Sat,Oct,2021,2021-22,0,1,0,0,1,0,7,5,1,0
16/Oct/2021,15:00,Leicester,48,Worcester,3,Sixways,Luke Pearce,51,A,N,15,Sat,Oct,2021,2021-22,1,0,7,5,1,0,0,0,1,0
17/Oct/2021,15:00,Bath,17,Saracens,71,Recreation Ground,Jack Makepeace,88,A,N,15,Sun,Oct,2021,2021-22,0,1,3,1,0,0,10,9,1,0
17/Oct/2021,15:00,Saracens,71,Bath,17,Recreation Ground,Jack Makepeace,88,A,N,15,Sun,Oct,2021,2021-22,1,0,10,9,1,0,3,1,0,0
17/Oct/2021,15:00,London Irish,25,Gloucester,25,Brentford Community Stadium,Karl Dickson,50,D,N,15,Sun,Oct,2021,2021-22,0,0,3,2,2,0,3,2,2,0
17/Oct/2021,15:00,Gloucester,25,London Irish,25,Brentford Community Stadium,Karl Dickson,50,D,N,15,Sun,Oct,2021,2021-22,0,0,3,2,2,0,3,2,2,0
22/Oct/2021,19:45,Northampton,66,Worcester,10,Franklin's Gardens,Ian Tempest,76,H,N,19,Fri,Oct,2021,2021-22,1,0,10,8,0,0,1,1,1,0
22/Oct/2021,19:45,Worcester,10,Northampton,66,Franklin's Gardens,Ian Tempest,76,H,N,19,Fri,Oct,2021,2021-22,0,1,1,1,1,0,10,8,0,0
23/Oct/2021,15:00,Exeter,21,London Irish,33,Sandy Park,Hamish Smales,54,A,N,15,Sat,Oct,2021,2021-22,0,1,3,3,0,0,5,4,0,0
23/Oct/2021,15:00,London Irish,33,Exeter,21,Sandy Park,Hamish Smales,54,A,N,15,Sat,Oct,2021,2021-22,1,0,5,4,0,0,3,3,0,0
23/Oct/2021,15:00,Gloucester,29,Newcastle,20,Kingsholm,Wayne Barnes,49,H,N,15,Sat,Oct,2021,2021-22,0,0,2,2,5,0,2,2,2,0
23/Oct/2021,15:00,Newcastle,20,Gloucester,29,Kingsholm,Wayne Barnes,49,H,N,15,Sat,Oct,2021,2021-22,0,0,2,2,2,0,2,2,5,0
23/Oct/2021,15:00,Harlequins,31,Bath,17,Twickenham Stoop,Luke Pearce,48,H,N,15,Sat,Oct,2021,2021-22,1,0,5,3,0,0,2,2,1,0
23/Oct/2021,15:00,Bath,17,Harlequins,31,Twickenham Stoop,Luke Pearce,48,H,N,15,Sat,Oct,2021,2021-22,0,1,2,2,1,0,5,3,0,0
23/Oct/2021,15:00,Leicester,19,Sale,11,Welford Road,Karl Dickson,30,H,N,15,Sat,Oct,2021,2021-22,0,0,1,1,4,0,1,0,2,0
23/Oct/2021,15:00,Sale,11,Leicester,19,Welford Road,Karl Dickson,30,H,N,15,Sat,Oct,2021,2021-22,0,0,1,0,2,0,1,1,4,0
24/Oct/2021,15:00,Saracens,56,Wasps,15,StoneX Stadium,Matthew Carley,71,H,N,15,Sun,Oct,2021,2021-22,1,0,8,5,2,0,2,1,1,0
24/Oct/2021,15:00,Wasps,15,Saracens,56,StoneX Stadium,Matthew Carley,71,H,N,15,Sun,Oct,2021,2021-22,0,1,2,1,1,0,8,5,2,0
29/Oct/2021,19:45,Gloucester,13,Exeter,16,Kingsholm,Christophe Ridley,29,A,N,19,Fri,Oct,2021,2021-22,1,0,1,1,2,0,2,0,2,0
29/Oct/2021,19:45,Exeter,16,Gloucester,13,Kingsholm,Christophe Ridley,29,A,N,19,Fri,Oct,2021,2021-22,0,1,2,0,2,0,1,1,2,0
30/Oct/2021,15:00,Bath,17,Wasps,27,Recreation Ground,Ian Tempest,44,A,N,15,Sat,Oct,2021,2021-22,0,0,2,2,1,0,3,3,2,0
30/Oct/2021,15:00,Wasps,27,Bath,17,Recreation Ground,Ian Tempest,44,A,N,15,Sat,Oct,2021,2021-22,0,0,3,3,2,0,2,2,1,0
30/Oct/2021,15:00,London Irish,33,Bristol,45,Brentford Community Stadium,Matthew Carley,78,A,N,15,Sat,Oct,2021,2021-22,1,1,5,4,0,0,5,4,4,0
30/Oct/2021,15:00,Bristol,45,London Irish,33,Brentford Community Stadium,Matthew Carley,78,A,N,15,Sat,Oct,2021,2021-22,1,1,5,4,4,0,5,4,0,0
30/Oct/2021,15:00,Northampton,26,Leicester,55,Franklin's Gardens,Tom Foley,81,A,N,15,Sat,Oct,2021,2021-22,1,1,4,3,0,0,7,4,3,1
30/Oct/2021,15:00,Leicester,55,Northampton,26,Franklin's Gardens,Tom Foley,81,A,N,15,Sat,Oct,2021,2021-22,1,1,7,4,3,1,4,3,0,0
30/Oct/2021,15:00,Worcester,27,Sale,14,Sixways,Luke Pearce,41,H,N,15,Sat,Oct,2021,2021-22,1,0,4,2,1,0,2,2,0,0
30/Oct/2021,15:00,Sale,14,Worcester,27,Sixways,Luke Pearce,41,H,N,15,Sat,Oct,2021,2021-22,0,1,2,2,0,0,4,2,1,0
31/Oct/2021,15:00,Harlequins,22,Saracens,29,Twickenham Stoop,Craig Maxwell-Keys,51,A,N,15,Sun,Oct,2021,2021-22,1,0,3,2,0,1,2,2,5,0
31/Oct/2021,15:00,Saracens,29,Harlequins,22,Twickenham Stoop,Craig Maxwell-Keys,51,A,N,15,Sun,Oct,2021,2021-22,0,1,2,2,5,0,3,2,0,1
05/Nov/2021,19:45,Leicester,40,Bath,23,Welford Road,Matthew Carley,63,H,N,19,Fri,Nov,2021,2021-22,1,0,4,4,4,0,2,2,3,0
05/Nov/2021,19:45,Bath,23,Leicester,40,Welford Road,Matthew Carley,63,H,N,19,Fri,Nov,2021,2021-22,0,1,2,2,3,0,4,4,4,0
06/Nov/2021,15:00,Bristol,27,Worcester,5,Ashton Gate,Craig Maxwell-Keys,32,H,N,15,Sat,Nov,2021,2021-22,1,0,4,2,1,0,1,0,0,0
