date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
01/Sep/2012,14:00,Wasps,40,0,Harlequins,42,0,Twickenham Stadium,Unknown,82,A,N,14,Sat,Sep,2012,2012-13
01/Sep/2012,14:00,Harlequins,42,0,Wasps,40,0,Twickenham Stadium,Unknown,82,A,N,14,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Exeter,43,0,Sale,6,0,Sandy Park,Unknown,49,H,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Sale,6,0,Exeter,43,0,Sandy Park,Unknown,49,H,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Gloucester,19,0,Northampton,24,0,Kingsholm,Unknown,43,A,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Northampton,24,0,Gloucester,19,0,Kingsholm,Unknown,43,A,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Worcester,23,0,Bath,24,0,Sixways,Unknown,47,A,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,15:00,Bath,24,0,Worcester,23,0,Sixways,Unknown,47,A,N,15,Sat,Sep,2012,2012-13
01/Sep/2012,16:30,Saracens,40,0,London Irish,3,0,Twickenham Stadium,Unknown,43,H,N,16,Sat,Sep,2012,2012-13
01/Sep/2012,16:30,London Irish,3,0,Saracens,40,0,Twickenham Stadium,Unknown,43,H,N,16,Sat,Sep,2012,2012-13
02/Sep/2012,14:00,London Welsh,13,0,Leicester,38,0,Kassam Stadium,Unknown,51,A,N,14,Sun,Sep,2012,2012-13
02/Sep/2012,14:00,Leicester,38,0,London Welsh,13,0,Kassam Stadium,Unknown,51,A,N,14,Sun,Sep,2012,2012-13
07/Sep/2012,19:45,Harlequins,40,0,London Welsh,3,0,Twickenham Stoop,Unknown,43,H,N,19,Fri,Sep,2012,2012-13
07/Sep/2012,19:45,London Welsh,3,0,Harlequins,40,0,Twickenham Stoop,Unknown,43,H,N,19,Fri,Sep,2012,2012-13
08/Sep/2012,14:15,Bath,30,0,Wasps,23,0,The Recreation Ground,Unknown,53,H,N,14,Sat,Sep,2012,2012-13
08/Sep/2012,14:15,Wasps,23,0,Bath,30,0,The Recreation Ground,Unknown,53,H,N,14,Sat,Sep,2012,2012-13
