date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,day,month,year,season
16/Oct/2015,19:45,Harlequins,26,Wasps,21,Twickenham Stoop,Luke Pearce,47,H,N,Fri,Oct,2015,2015-16
16/Oct/2015,19:45,Worcester,13,Northampton,12,Sixways,Greg Garner,25,H,N,Fri,Oct,2015,2015-16
16/Oct/2015,20:00,Newcastle,27,Gloucester,39,Kingston Park,Thomas Foley,66,A,N,Fri,Oct,2015,2015-16
17/Oct/2015,14:00,Bath,19,Exeter,17,The Recreation Ground,Tim Wigglesworth,36,H,N,Sat,Oct,2015,2015-16
17/Oct/2015,14:00,Saracens,41,Sale,3,Allianz Park,Dean Richards,44,H,N,Sat,Oct,2015,2015-16
18/Oct/2015,15:15,London Irish,16,Leicester,28,Madejski Stadium,Matthew Carley,44,A,N,Sun,Oct,2015,2015-16
23/Oct/2015,19:45,Gloucester,15,Saracens,17,Kingsholm,Matthew Carley,32,A,N,Fri,Oct,2015,2015-16
23/Oct/2015,20:00,Sale,27,Worcester,13,AJ Bell Stadium,Luke Pearce,40,H,N,Fri,Oct,2015,2015-16
24/Oct/2015,13:45,Northampton,42,Newcastle,16,Stadium mk,Dean Richards,58,H,N,Sat,Oct,2015,2015-16
24/Oct/2015,14:00,Wasps,16,Bath,9,Ricoh Arena,Craig Maxwell-Keys,25,H,N,Sat,Oct,2015,2015-16
24/Oct/2015,18:00,Exeter,38,London Irish,11,Sandy Park,Andrew Small,49,H,N,Sat,Oct,2015,2015-16
25/Oct/2015,14:00,Leicester,22,Harlequins,19,Welford Road,Thomas Foley,41,H,N,Sun,Oct,2015,2015-16
31/Oct/2015,13:00,Saracens,24,London Irish,14,Allianz Park,Greg Garner,38,H,N,Sat,Oct,2015,2015-16
31/Oct/2015,13:30,Bath,28,Harlequins,38,The Recreation Ground,Matthew Carley,66,A,N,Sat,Oct,2015,2015-16
31/Oct/2015,14:00,Gloucester,24,Worcester,22,Kingsholm,Craig Maxwell-Keys,46,H,N,Sat,Oct,2015,2015-16
01/Nov/2015,13:00,Newcastle,3,Exeter,41,Kingston Park,Ian Tempest,44,A,N,Sun,Nov,2015,2015-16
01/Nov/2015,14:30,Sale,20,Northampton,13,AJ Bell Stadium,Andrew Small,33,H,N,Sun,Nov,2015,2015-16
01/Nov/2015,15:15,Leicester,24,Wasps,16,Welford Road,Tim Wigglesworth,40,H,N,Sun,Nov,2015,2015-16
06/Nov/2015,19:45,Harlequins,16,Sale,14,Twickenham Stoop,Tim Wigglesworth,30,H,N,Fri,Nov,2015,2015-16
07/Nov/2015,15:00,London Irish,14,Bath,45,Madejski Stadium,Thomas Foley,59,A,N,Sat,Nov,2015,2015-16
07/Nov/2015,15:00,Worcester,28,Newcastle,20,Sixways,JP Doyle,48,H,N,Sat,Nov,2015,2015-16
07/Nov/2015,15:15,Northampton,6,Saracens,12,Franklin's Gardens,Luke Pearce,18,A,N,Sat,Nov,2015,2015-16
07/Nov/2015,17:30,Exeter,19,Leicester,6,Sandy Park,Greg Garner,25,H,N,Sat,Nov,2015,2015-16
08/Nov/2015,15:00,Wasps,23,Gloucester,3,Ricoh Arena,Ian Tempest,26,H,N,Sun,Nov,2015,2015-16
27/Nov/2015,19:45,Northampton,15,Gloucester,3,Franklin's Gardens,Greg Garner,18,H,N,Fri,Nov,2015,2015-16
28/Nov/2015,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,N,Sat,Nov,2015,2015-16
28/Nov/2015,15:00,Exeter,26,Harlequins,25,Sandy Park,Matthew Carley,51,H,N,Sat,Nov,2015,2015-16
28/Nov/2015,15:15,Saracens,48,Worcester,18,Twickenham Stadium,Ian Tempest,66,H,N,Sat,Nov,2015,2015-16
28/Nov/2015,17:30,London Irish,15,Wasps,33,Twickenham Stadium,Wayne Barnes,48,A,N,Sat,Nov,2015,2015-16
29/Nov/2015,15:00,Leicester,21,Bath,11,Welford Road,JP Doyle,32,H,N,Sun,Nov,2015,2015-16
04/Dec/2015,19:45,Gloucester,23,Sale,19,Kingsholm,JP Doyle,42,H,N,Fri,Dec,2015,2015-16
05/Dec/2015,15:00,Harlequins,38,London Irish,7,Twickenham Stoop,Luke Pearce,45,H,N,Sat,Dec,2015,2015-16
05/Dec/2015,15:00,Worcester,20,Leicester,29,Sixways,Wayne Barnes,49,A,N,Sat,Dec,2015,2015-16
05/Dec/2015,15:15,Bath,11,Northampton,13,The Recreation Ground,Craig Maxwell-Keys,24,A,N,Sat,Dec,2015,2015-16
05/Dec/2015,17:30,Wasps,27,Exeter,41,Ricoh Arena,Greg Garner,68,A,N,Sat,Dec,2015,2015-16
06/Dec/2015,15:00,Newcastle,3,Saracens,38,Kingston Park,Andrew Small,41,A,N,Sun,Dec,2015,2015-16
26/Dec/2015,14:30,London Irish,25,Northampton,23,Madejski Stadium,Ian Tempest,48,H,N,Sat,Dec,2015,2015-16
26/Dec/2015,15:00,Exeter,33,Sale,17,Sandy Park,Dean Richards,50,H,N,Sat,Dec,2015,2015-16
26/Dec/2015,15:00,Leicester,22,Newcastle,10,Welford Road,Tim Wigglesworth,32,H,N,Sat,Dec,2015,2015-16
27/Dec/2015,14:00,Wasps,16,Saracens,26,Ricoh Arena,JP Doyle,42,A,N,Sun,Dec,2015,2015-16
27/Dec/2015,14:30,Bath,21,Worcester,14,The Recreation Ground,Thomas Foley,35,H,N,Sun,Dec,2015,2015-16
27/Dec/2015,16:30,Harlequins,39,Gloucester,39,Twickenham Stadium,Wayne Barnes,78,D,N,Sun,Dec,2015,2015-16
01/Jan/2016,15:00,Northampton,8,Exeter,3,Franklin's Gardens,JP Doyle,11,H,N,Fri,Jan,2016,2015-16
