date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,day,month,year,season
03/Sep/2011,14:00,London Irish,24,Harlequins,29,Twickenham Stadium,Greg Garner,53,A,N,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Leicester,28,Exeter,30,Welford Road,Tim Wigglesworth,58,A,N,Sat,Sep,2011,2011-12
03/Sep/2011,15:00,Worcester,17,Sale,12,Sixways,N/A,29,H,N,Sat,Sep,2011,2011-12
03/Sep/2011,16:30,Saracens,15,Wasps,20,Twickenham Stadium,N/A,35,A,N,Sat,Sep,2011,2011-12
03/Sep/2011,18:30,Newcastle,9,Bath,22,Kingston Park,Martin Fox,31,A,N,Sat,Sep,2011,2011-12
04/Sep/2011,15:30,Northampton,26,Gloucester,24,Franklin's Gardens,Andrew Small,50,H,N,Sun,Sep,2011,2011-12
09/Sep/2011,19:45,Harlequins,26,Northampton,13,Twickenham Stoop,Greg Garner,39,H,N,Fri,Sep,2011,2011-12
09/Sep/2011,19:45,Sale,30,London Irish,29,Edgeley Park,Sean Davey,59,H,N,Fri,Sep,2011,2011-12
10/Sep/2011,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,N,Sat,Sep,2011,2011-12
10/Sep/2011,15:00,Gloucester,29,Worcester,8,Kingsholm,N/A,37,H,N,Sat,Sep,2011,2011-12
10/Sep/2011,15:15,Bath,26,Saracens,28,Recreation Ground,Greg Garner,54,A,N,Sat,Sep,2011,2011-12
11/Sep/2011,14:15,Wasps,35,Leicester,29,Adams Park,Andrew Small,64,H,N,Sun,Sep,2011,2011-12
17/Sep/2011,15:00,Harlequins,42,Gloucester,6,Twickenham Stoop,Tim Wigglesworth,48,H,N,Sat,Sep,2011,2011-12
17/Sep/2011,15:00,Wasps,18,Sale,29,Adams Park,Greg Garner,47,A,N,Sat,Sep,2011,2011-12
17/Sep/2011,15:00,Northampton,13,London Irish,14,Franklin's Gardens,Martin Fox,27,A,N,Sat,Sep,2011,2011-12
