date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
10/Sep/2022,15:00,Exeter,24,Leicester,20,Sandy Park,Christophe Ridley,44,H,N,15,Sat,Sep,2022,2022-23
10/Sep/2022,15:00,London Irish,45,Worcester,14,Gtech Community Stadium,Wayne Barnes,59,H,N,15,Sat,Sep,2022,2022-23
10/Sep/2022,15:00,Newcastle,31,Harlequins,40,Kingston Park,Luke Pearce,71,A,N,15,Sat,Sep,2022,2022-23
10/Sep/2022,17:30,Bristol,31,Bath,29,Ashton Gate,Matthew Carley,60,H,N,17,Sat,Sep,2022,2022-23
11/Sep/2022,15:00,Sale,29,Northampton,22,AJ Bell Stadium,Tom Foley,51,H,N,15,Sun,Sep,2022,2022-23
11/Sep/2022,15:00,Gloucester,27,Wasps,21,Kingsholm,Anthony Woodthorpe,48,H,N,15,Sun,Sep,2022,2022-23
17/Sep/2022,14:00,Northampton,38,London Irish,22,Franklin's Gardens,Luke Pearce,60,H,N,14,Sat,Sep,2022,2022-23
17/Sep/2022,15:00,Bath,20,Sale,37,Recreation Ground,Christophe Ridley,57,A,N,15,Sat,Sep,2022,2022-23
17/Sep/2022,15:00,Harlequins,27,Saracens,30,Twickenham Stoop,Tom Foley,57,A,N,15,Sat,Sep,2022,2022-23
17/Sep/2022,15:00,Leicester,36,Newcastle,21,Welford Road,Craig Maxwell-Keys,57,H,N,15,Sat,Sep,2022,2022-23
17/Sep/2022,15:00,Wasps,8,Bristol,23,Coventry Building Society Arena,Karl Dickson,31,A,N,15,Sat,Sep,2022,2022-23
18/Sep/2022,15:00,Worcester,21,Exeter,36,Sixways,Matthew Carley,57,A,N,15,Sun,Sep,2022,2022-23
23/Sep/2022,19:45,Bath,31,Wasps,39,Recreation Ground,Wayne Barnes,70,A,N,19,Fri,Sep,2022,2022-23
24/Sep/2022,15:00,Bristol,40,London Irish,36,Ashton Gate,Tom Foley,76,H,N,15,Sat,Sep,2022,2022-23
24/Sep/2022,15:00,Northampton,21,Leicester,41,Franklin's Gardens,Karl Dickson,62,A,N,15,Sat,Sep,2022,2022-23
24/Sep/2022,15:00,Saracens,41,Gloucester,39,StoneX Stadium,Craig Maxwell-Keys,80,H,N,15,Sat,Sep,2022,2022-23
24/Sep/2022,15:00,Worcester,39,Newcastle,5,Sixways,Adam Leal,44,H,N,15,Sat,Sep,2022,2022-23
25/Sep/2022,15:00,Exeter,43,Harlequins,42,Sandy Park,Ian Tempest,85,H,N,15,Sun,Sep,2022,2022-23
30/Sep/2022,19:45,Newcastle,30,Bristol,15,Kingston Park,Luke Pearce,45,H,N,19,Fri,Sep,2022,2022-23
01/Oct/2022,15:00,London Irish,47,Bath,38,Gtech Community Stadium,Karl Dickson,85,H,N,15,Sat,Oct,2022,2022-23
01/Oct/2022,15:00,Sale,28,Exeter,20,AJ Bell Stadium,Wayne Barnes,48,H,N,15,Sat,Oct,2022,2022-23
01/Oct/2022,15:00,Saracens,51,Leicester,18,StoneX Stadium,Matthew Carley,69,H,N,15,Sat,Oct,2022,2022-23
02/Oct/2022,15:00,Harlequins,35,Northampton,29,Twickenham Stoop,Christophe Ridley,64,H,N,15,Sun,Oct,2022,2022-23
07/Oct/2022,19:45,Bristol,14,Exeter,50,Ashton Gate,Christophe Ridley,64,A,N,19,Fri,Oct,2022,2022-23
08/Oct/2022,15:00,Bath,17,Gloucester,21,Recreation Ground,Tom Foley,38,A,N,15,Sat,Oct,2022,2022-23
08/Oct/2022,15:00,Leicester,16,Sale,26,Welford Road,Luke Pearce,42,A,N,15,Sat,Oct,2022,2022-23
09/Oct/2022,15:00,Newcastle,14,Saracens,34,Kingston Park,Wayne Barnes,48,A,N,15,Sun,Oct,2022,2022-23
09/Oct/2022,15:00,Wasps,36,Northampton,40,Coventry Building Society Arena,Adam Leal,76,A,N,15,Sun,Oct,2022,2022-23
14/Oct/2022,19:45,Sale,37,London Irish,14,AJ Bell Stadium,Karl Dickson,51,H,N,19,Fri,Oct,2022,2022-23
15/Oct/2022,15:00,Exeter,Cancelled,Wasps,Cancelled,Sandy Park,N/A,N/A,N/A,N,15,Sat,Oct,2022,2022-23
15/Oct/2022,15:00,Gloucester,31,Bristol,28,Kingsholm,Wayne Barnes,59,H,N,15,Sat,Oct,2022,2022-23
15/Oct/2022,15:00,Northampton,32,Newcastle,31,Franklin's Gardens,Jack Makepeace,63,H,N,15,Sat,Oct,2022,2022-23
15/Oct/2022,15:00,Saracens,37,Bath,31,StoneX Stadium,Luke Pearce,68,H,N,15,Sat,Oct,2022,2022-23
16/Oct/2022,15:00,Harlequins,19,Leicester,27,Twickenham Stoop,Adam Leal,46,A,N,15,Sun,Oct,2022,2022-23
21/Oct/2022,19:45,London Irish,21,Gloucester,22,Gtech Community Stadium,Matthew Carley,43,A,N,19,Fri,Oct,2022,2022-23
22/Oct/2022,15:00,Bath,27,Northampton,14,Recreation Ground,Anthony Woodthorpe,41,H,N,15,Sat,Oct,2022,2022-23
22/Oct/2022,15:00,Exeter,20,Saracens,22,Sandy Park,Tom Foley,42,A,N,15,Sat,Oct,2022,2022-23
23/Oct/2022,15:00,Leicester,Cancelled,Wasps,Cancelled,Welford Road,N/A,N/A,N/A,N,15,Sun,Oct,2022,2022-23
23/Oct/2022,15:00,Sale,13,Harlequins,29,AJ Bell Stadium,Christophe Ridley,42,A,N,15,Sun,Oct,2022,2022-23
28/Oct/2022,19:45,Gloucester,38,Exeter,22,Kingsholm,Adam Leal,60,H,N,19,Fri,Oct,2022,2022-23
29/Oct/2022,15:00,Harlequins,26,London Irish,24,Twickenham Stoop,Craig Maxwell-Keys,50,H,N,15,Sat,Oct,2022,2022-23
29/Oct/2022,15:00,Northampton,45,Bristol,31,Franklin's Gardens,Hamish Smales,76,H,N,15,Sat,Oct,2022,2022-23
30/Oct/2022,15:00,Saracens,33,Sale,22,StoneX Stadium,Wayne Barnes,55,H,N,15,Sun,Oct,2022,2022-23
04/Nov/2022,19:45,Northampton,26,Exeter,19,Franklin's Gardens,Craig Maxwell-Keys,45,H,N,19,Fri,Nov,2022,2022-23
05/Nov/2022,13:00,Sale,27,Gloucester,17,AJ Bell Stadium,Andrew Jackson,44,H,N,13,Sat,Nov,2022,2022-23
05/Nov/2022,15:00,Newcastle,10,Bath,17,Kingston Park,Hamish Smales,27,A,N,15,Sat,Nov,2022,2022-23
05/Nov/2022,17:00,Bristol,10,Saracens,25,Ashton Gate,Jack Makepeace,35,A,N,17,Sat,Nov,2022,2022-23
11/Nov/2022,19:45,Bath,19,Leicester,18,Recreation Ground,Tom Foley,37,H,N,19,Fri,Nov,2022,2022-23
12/Nov/2022,15:00,Gloucester,21,Newcastle,27,Kingsholm,Anthony Woodthorpe,48,A,N,15,Sat,Nov,2022,2022-23
12/Nov/2022,17:00,Exeter,22,London Irish,17,Sandy Park,Hamish Smales,39,H,N,17,Sat,Nov,2022,2022-23
13/Nov/2022,12:15,Saracens,45,Northampton,39,StoneX Stadium,Andrew Jackson,84,H,N,12,Sun,Nov,2022,2022-23
25/Nov/2022,19:45,Harlequins,21,Gloucester,12,Twickenham Stoop,Wayne Barnes,33,H,N,19,Fri,Nov,2022,2022-23
25/Nov/2022,19:45,Newcastle,24,Exeter,21,Kingston Park,Karl Dickson,45,H,N,19,Fri,Nov,2022,2022-23
26/Nov/2022,13:00,Sale,25,Bristol,20,AJ Bell Stadium,Adam Leal,45,H,N,13,Sat,Nov,2022,2022-23
27/Nov/2022,15:00,Leicester,33,London Irish,31,Welford Road,Anthony Woodthorpe,64,H,N,15,Sun,Nov,2022,2022-23
02/Dec/2022,19:45,Bath,13,Harlequins,19,Recreation Ground,Andrew Brace,32,A,N,19,Fri,Dec,2022,2022-23
03/Dec/2022,15:00,London Irish,39,Newcastle,17,Gtech Community Stadium,Wayne Barnes,56,H,N,15,Sat,Dec,2022,2022-23
03/Dec/2022,17:30,Gloucester,34,Northampton,19,Kingsholm,Ian Tempest,53,H,N,17,Sat,Dec,2022,2022-23
03/Dec/2022,20:00,Bristol,26,Leicester,26,Ashton Gate,Craig Maxwell-Keys,52,D,N,20,Sat,Dec,2022,2022-23
23/Dec/2022,19:45,London Irish,Upcoming,Saracens,Upcoming,Gtech Community Stadium,N/A,N/A,N/A,N,19,Fri,Dec,2022,2022-23
23/Dec/2022,19:45,Newcastle,Upcoming,Sale,Upcoming,Kingston Park,N/A,N/A,N/A,N,19,Fri,Dec,2022,2022-23
24/Dec/2022,15:00,Exeter,Upcoming,Bath,Upcoming,Sandy Park,N/A,N/A,N/A,N,15,Sat,Dec,2022,2022-23
24/Dec/2022,15:00,Leicester,Upcoming,Gloucester,Upcoming,Welford Road,N/A,N/A,N/A,N,15,Sat,Dec,2022,2022-23
27/Dec/2022,16:15,Harlequins,Upcoming,Bristol,Upcoming,Twickenham Stoop,N/A,N/A,N/A,N,16,Tue,Dec,2022,2022-23
30/Dec/2022,19:45,Sale,Upcoming,Leicester,Upcoming,AJ Bell Stadium,N/A,N/A,N/A,N,19,Fri,Dec,2022,2022-23
31/Dec/2022,15:00,Bath,Upcoming,Newcastle,Upcoming,Recreation Ground,N/A,N/A,N/A,N,15,Sat,Dec,2022,2022-23
31/Dec/2022,15:00,Saracens,Upcoming,Exeter,Upcoming,StoneX Stadium,N/A,N/A,N/A,N,15,Sat,Dec,2022,2022-23
31/Dec/2022,15:00,Gloucester,Upcoming,London Irish,Upcoming,Kingsholm,N/A,N/A,N/A,N,15,Sat,Dec,2022,2022-23
01/Jan/2023,15:00,Northampton,Upcoming,Harlequins,Upcoming,Franklin's Gardens,N/A,N/A,N/A,N,15,Sun,Jan,2023,2022-23
06/Jan/2023,19:45,Gloucester,Upcoming,Saracens,Upcoming,Kingsholm,N/A,N/A,N/A,N,19,Fri,Jan,2023,2022-23
07/Jan/2023,14:00,Newcastle,Upcoming,Leicester,Upcoming,Kingston Park,N/A,N/A,N/A,N,14,Sat,Jan,2023,2022-23
07/Jan/2023,16:30,Exeter,Upcoming,Northampton,Upcoming,Sandy Park,N/A,N/A,N/A,N,16,Sat,Jan,2023,2022-23
08/Jan/2023,15:00,Harlequins,Upcoming,Sale,Upcoming,Twickenham Stoop,N/A,N/A,N/A,N,15,Sun,Jan,2023,2022-23
08/Jan/2023,15:00,London Irish,Upcoming,Bristol,Upcoming,Gtech Community Stadium,N/A,N/A,N/A,N,15,Sun,Jan,2023,2022-23
27/Jan/2023,19:45,Sale,Upcoming,Bath,Upcoming,AJ Bell Stadium,N/A,N/A,N/A,N,19,Fri,Jan,2023,2022-23
28/Jan/2023,14:00,Leicester,Upcoming,Northampton,Upcoming,Welford Road,N/A,N/A,N/A,N,14,Sat,Jan,2023,2022-23
28/Jan/2023,15:00,Saracens,Upcoming,Bristol,Upcoming,StoneX Stadium,N/A,N/A,N/A,N,15,Sat,Jan,2023,2022-23
28/Jan/2022,16:30,Exeter,Upcoming,Gloucester,Upcoming,Sandy Park,N/A,N/A,N/A,N,16,Fri,Jan,2022,2022-23
29/Jan/2022,15:00,London Irish,Upcoming,Harlequins,Upcoming,Gtech Community Stadium,N/A,N/A,N/A,N,15,Sat,Jan,2022,2022-23
17/Feb/2023,19:45,Bristol,Upcoming,Newcastle,Upcoming,Ashton Gate,N/A,N/A,N/A,N,19,Fri,Feb,2023,2022-23
17/Feb/2023,19:45,Gloucester,Upcoming,Harlequins,Upcoming,Kingsholm,N/A,N/A,N/A,N,19,Fri,Feb,2023,2022-23
18/Feb/2023,15:00,Bath,Upcoming,London Irish,Upcoming,Recreation Ground,N/A,N/A,N/A,N,15,Sat,Feb,2023,2022-23
18/Feb/2023,15:00,Northampton,Upcoming,Sale,Upcoming,Franklin's Gardens,N/A,N/A,N/A,N,15,Sat,Feb,2023,2022-23
