date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
05/Mar/2017,14:00,Newcastle,27,Saracens,35,Kingston Park,Craig Maxwell-Keys,62,A,N,Mar,2017,2016-17
05/Mar/2017,15:00,Worcester,41,Bristol,24,Sixways,Wayne Barnes,65,H,N,Mar,2017,2016-17
24/Mar/2017,19:45,Bristol,14,Gloucester,32,Ashton Gate,JP Doyle,46,A,N,Mar,2017,2016-17
25/Mar/2017,15:00,Exeter,30,Sale,25,Sandy Park,Craig Maxwell-Keys,55,H,N,Mar,2017,2016-17
25/Mar/2017,15:00,Harlequins,53,Newcastle,17,Twickenham Stoop,Tom Foley,70,H,N,Mar,2017,2016-17
25/Mar/2017,15:00,Northampton,31,Leicester,36,Franklin's Gardens,Greg Garner,67,A,N,Mar,2017,2016-17
26/Mar/2017,14:30,Wasps,40,Worcester,33,Ricoh Arena,Luke Pearce,73,H,N,Mar,2017,2016-17
26/Mar/2017,15:00,Saracens,53,Bath,10,Allianz Park,Wayne Barnes,63,H,N,Mar,2017,2016-17
07/Apr/2017,19:45,Sale,36,Worcester,26,AJ Bell Stadium,Matthew Carley,62,H,N,Apr,2017,2016-17
07/Apr/2017,20:00,Newcastle,16,Gloucester,14,Kingston Park,Luke Pearce,30,H,N,Apr,2017,2016-17
08/Apr/2017,14:00,Bath,27,Leicester,21,Twickenham Stadium,JP Doyle,48,H,N,Apr,2017,2016-17
08/Apr/2017,15:00,Exeter,38,Bristol,34,Sandy Park,Tom Foley,72,H,N,Apr,2017,2016-17
08/Apr/2017,16:30,Saracens,40,Harlequins,19,Wembley Stadium,Ian Tempest,59,H,N,Apr,2017,2016-17
09/Apr/2017,14:30,Wasps,32,Northampton,30,Ricoh Arena,Craig Maxwell-Keys,62,H,N,Apr,2017,2016-17
14/Apr/2017,19:45,Harlequins,26,Exeter,39,Twickenham Stoop,Wayne Barnes,65,A,N,Apr,2017,2016-17
15/Apr/2017,15:00,Gloucester,39,Sale,30,Kingsholm,Tom Foley,69,H,N,Apr,2017,2016-17
15/Apr/2017,15:00,Leicester,30,Newcastle,3,Welford Road,Ian Tempest,33,H,N,Apr,2017,2016-17
15/Apr/2017,15:00,Worcester,25,Bath,19,Sixways,Luke Pearce,44,H,N,Apr,2017,2016-17
16/Apr/2017,15:00,Bristol,21,Wasps,36,Ashton Gate,Greg Garner,57,A,N,Apr,2017,2016-17
16/Apr/2017,15:00,Northampton,25,Saracens,27,Stadium mk,Matthew Carley,52,A,N,Apr,2017,2016-17
28/Apr/2017,19:45,Harlequins,32,Wasps,13,Twickenham Stoop,Wayne Barnes,45,H,N,Apr,2017,2016-17
28/Apr/2017,20:00,Newcastle,16,Worcester,14,Kingston Park,Greg Garner,30,H,N,Apr,2017,2016-17
29/Apr/2017,15:00,Exeter,36,Northampton,12,Sandy Park,JP Doyle,48,H,N,Apr,2017,2016-17
29/Apr/2017,15:00,Leicester,41,Sale,18,Welford Road,Craig Maxwell-Keys,59,H,N,Apr,2017,2016-17
29/Apr/2017,15:00,Saracens,27,Bristol,9,Allianz Park,Andrew Jackson,36,H,N,Apr,2017,2016-17
30/Apr/2017,15:00,Bath,44,Gloucester,20,Recreation Ground,Matthew Carley,64,H,N,Apr,2017,2016-17
06/May/2017,16:00,Bristol,27,Newcastle,39,Ashton Gate,Luke Pearce,66,A,N,May,2017,2016-17
06/May/2017,16:00,Gloucester,20,Exeter,34,Kingsholm,Ian Tempest,54,A,N,May,2017,2016-17
06/May/2017,16:00,Northampton,22,Harlequins,20,Franklin's Gardens,JP Doyle,42,H,N,May,2017,2016-17
06/May/2017,16:00,Sale,27,Bath,24,AJ Bell Stadium,Greg Garner,51,H,N,May,2017,2016-17
06/May/2017,16:00,Wasps,35,Saracens,15,Ricoh Arena,Wayne Barnes,50,H,N,May,2017,2016-17
06/May/2017,16:00,Worcester,23,Leicester,28,Sixways,Tom Foley,51,A,N,May,2017,2016-17
20/May/2017,14:30,Exeter,18,Saracens,16,Sandy Park,Wayne Barnes,34,H,N,May,2017,2016-17
20/May/2017,17:15,Wasps,21,Leicester,20,Ricoh Arena,Matthew Carley,41,H,N,May,2017,2016-17
27/May/2017,14:30,Wasps,20,Exeter,23,Twickenham Stadium,JP Doyle,43,A,Y,May,2017,2016-17
