date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
10/Sep/2022,15:00,Exeter Chiefs,24,Leicester Tigers,20,Sandy Park,Christophe Ridley,44,H,N,Sep,2022,2022-23
10/Sep/2022,15:00,London Irish,45,Worcester Warriors,14,Gtech Community Stadium,Wayne Barnes,59,H,N,Sep,2022,2022-23
10/Sep/2022,15:00,Newcastle Falcons,31,Harlequins,40,Kingston Park,Luke Pearce,71,A,N,Sep,2022,2022-23
10/Sep/2022,17:30,Bristol,31,Bath,29,Ashton Gate,Matthew Carley,60,H,N,Sep,2022,2022-23
11/Sep/2022,15:00,Sale Sharks,29,Northampton Saints,22,AJ Bell Stadium,Tom Foley,51,H,N,Sep,2022,2022-23
11/Sep/2022,15:00,Gloucester,27,Wasps,21,Kingsholm,Anthony Woodthorpe,48,H,N,Sep,2022,2022-23
17/Sep/2022,14:00,Northampton Saints,38,London Irish,22,Franklin's Gardens,Luke Pearce,60,H,N,Sep,2022,2022-23
17/Sep/2022,15:00,Bath,20,Sale Sharks,37,Recreation Ground,Christophe Ridley,57,A,N,Sep,2022,2022-23
17/Sep/2022,15:00,Harlequins,27,Saracens,30,Twickenham Stoop,Tom Foley,57,A,N,Sep,2022,2022-23
17/Sep/2022,15:00,Leicester Tigers,36,Newcastle Falcons,21,Welford Road,Craig Maxwell-Keys,57,H,N,Sep,2022,2022-23
17/Sep/2022,15:00,Wasps,8,Bristol,23,Coventry Building Society Arena,Karl Dickson,31,A,N,Sep,2022,2022-23
18/Sep/2022,15:00,Worcester Warriors,21,Exeter Chiefs,36,Sixways,Matthew Carley,57,A,N,Sep,2022,2022-23
23/Sep/2022,19:45,Bath,31,Wasps,39,Recreation Ground,Wayne Barnes,70,A,N,Sep,2022,2022-23
24/Sep/2022,15:00,Bristol,40,London Irish,36,Ashton Gate,Tom Foley,76,H,N,Sep,2022,2022-23
24/Sep/2022,15:00,Northampton Saints,21,Leicester Tigers,41,Franklin's Gardens,Karl Dickson,62,A,N,Sep,2022,2022-23
24/Sep/2022,15:00,Saracens,41,Gloucester,39,StoneX Stadium,Craig Maxwell-Keys,80,H,N,Sep,2022,2022-23
24/Sep/2022,15:00,Worcester Warriors,39,Newcastle Falcons,5,Sixways,Adam Leal,44,H,N,Sep,2022,2022-23
25/Sep/2022,15:00,Exeter Chiefs,43,Harlequins,42,Sandy Park,Ian Tempest,85,H,N,Sep,2022,2022-23
30/Sep/2022,19:45,Newcastle Falcons,30,Bristol,15,Kingston Park,Luke Pearce,45,H,N,Sep,2022,2022-23
01/Oct/2022,15:00,London Irish,47,Bath,38,Gtech Community Stadium,Karl Dickson,85,H,N,Oct,2022,2022-23
01/Oct/2022,15:00,Sale Sharks,28,Exeter Chiefs,20,AJ Bell Stadium,Wayne Barnes,48,H,N,Oct,2022,2022-23
01/Oct/2022,15:00,Saracens,51,Leicester Tigers,18,StoneX Stadium,Matthew Carley,69,H,N,Oct,2022,2022-23
02/Oct/2022,15:00,Harlequins,35,Northampton Saints,29,Twickenham Stoop,Christophe Ridley,64,H,N,Oct,2022,2022-23
07/Oct/2022,19:45,Bristol,14,Exeter Chiefs,50,Ashton Gate,Christophe Ridley,64,A,N,Oct,2022,2022-23
08/Oct/2022,15:00,Bath,17,Gloucester,21,Recreation Ground,Tom Foley,38,A,N,Oct,2022,2022-23
08/Oct/2022,15:00,Leicester Tigers,16,Sale Sharks,26,Welford Road,Luke Pearce,42,A,N,Oct,2022,2022-23
09/Oct/2022,15:00,Newcastle Falcons,14,Saracens,34,Kingston Park,Wayne Barnes,48,A,N,Oct,2022,2022-23
09/Oct/2022,15:00,Wasps,36,Northampton Saints,40,Coventry Building Society Arena,Adam Leal,76,A,N,Oct,2022,2022-23
14/Oct/2022,19:45,Sale Sharks,37,London Irish,14,AJ Bell Stadium,Karl Dickson,51,H,N,Oct,2022,2022-23
15/Oct/2022,15:00,Exeter Chiefs,Cancelled,Wasps,Cancelled,Sandy Park,N/A,N/A,N/A,N,Oct,2022,2022-23
15/Oct/2022,15:00,Gloucester,31,Bristol,28,Kingsholm,Wayne Barnes,59,H,N,Oct,2022,2022-23
15/Oct/2022,15:00,Northampton Saints,32,Newcastle Falcons,31,Franklin's Gardens,Jack Makepeace,63,H,N,Oct,2022,2022-23
15/Oct/2022,15:00,Saracens,37,Bath,31,StoneX Stadium,Luke Pearce,68,H,N,Oct,2022,2022-23
16/Oct/2022,15:00,Harlequins,19,Leicester Tigers,27,Twickenham Stoop,Adam Leal,46,A,N,Oct,2022,2022-23
21/Oct/2022,19:45,London Irish,21,Gloucester,22,Gtech Community Stadium,Matthew Carley,43,A,N,Oct,2022,2022-23
22/Oct/2022,15:00,Bath,27,Northampton Saints,14,Recreation Ground,Anthony Woodthorpe,41,H,N,Oct,2022,2022-23
22/Oct/2022,15:00,Exeter Chiefs,20,Saracens,22,Sandy Park,Tom Foley,42,A,N,Oct,2022,2022-23
23/Oct/2022,15:00,Leicester Tigers,Cancelled,Wasps,Cancelled,Welford Road,N/A,N/A,N/A,N,Oct,2022,2022-23
23/Oct/2022,15:00,Sale Sharks,13,Harlequins,29,AJ Bell Stadium,Christophe Ridley,42,A,N,Oct,2022,2022-23
28/Oct/2022,19:45,Gloucester,38,Exeter Chiefs,22,Kingsholm,Adam Leal,60,H,N,Oct,2022,2022-23
29/Oct/2022,15:00,Harlequins,26,London Irish,24,Twickenham Stoop,Craig Maxwell-Keys,50,H,N,Oct,2022,2022-23
29/Oct/2022,15:00,Northampton Saints,45,Bristol,31,Franklin's Gardens,Hamish Smales,76,H,N,Oct,2022,2022-23
30/Oct/2022,15:00,Saracens,33,Sale Sharks,22,StoneX Stadium,Wayne Barnes,55,H,N,Oct,2022,2022-23
04/Nov/2022,19:45,Northampton Saints,26,Exeter Chiefs,19,Franklin's Gardens,Craig Maxwell-Keys,45,H,N,Nov,2022,2022-23
05/Nov/2022,13:00,Sale Sharks,27,Gloucester,17,AJ Bell Stadium,Andrew Jackson,44,H,N,Nov,2022,2022-23
05/Nov/2022,15:00,Newcastle Falcons,10,Bath,17,Kingston Park,Hamish Smales,27,A,N,Nov,2022,2022-23
05/Nov/2022,17:00,Bristol,10,Saracens,25,Ashton Gate,Jack Makepeace,35,A,N,Nov,2022,2022-23
11/Nov/2022,19:45,Bath,19,Leicester Tigers,18,Recreation Ground,Tom Foley,37,H,N,Nov,2022,2022-23
12/Nov/2022,15:00,Gloucester,21,Newcastle Falcons,27,Kingsholm,Anthony Woodthorpe,48,A,N,Nov,2022,2022-23
12/Nov/2022,17:00,Exeter Chiefs,22,London Irish,17,Sandy Park,Hamish Smales,39,H,N,Nov,2022,2022-23
13/Nov/2022,12:15,Saracens,45,Northampton Saints,39,StoneX Stadium,Andrew Jackson,84,H,N,Nov,2022,2022-23
25/Nov/2022,19:45,Harlequins,21,Gloucester,12,Twickenham Stoop,Wayne Barnes,33,H,N,Nov,2022,2022-23
