date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
01/Sep/2017,19:45,Gloucester,28,Exeter,21,Kingsholm,Matthew Carley,49,H,N,Sep,2017,2017-18
01/Sep/2017,19:45,Newcastle,35,Worcester,8,Kingston Park,Wayne Barnes,43,H,N,Sep,2017,2017-18
02/Sep/2017,14:00,Saracens,55,Northampton,24,Twickenham Stadium,Craig Maxwell-Keys,79,H,N,Sep,2017,2017-18
02/Sep/2016,15:00,Wasps,50,Sale,35,Ricoh Arena,JP Doyle,85,H,N,Sep,2016,2017-18
02/Sep/2017,16:45,London Irish,39,Harlequins,29,Twickenham Stadium,Tom Foley,68,H,N,Sep,2017,2017-18
03/Sep/2017,15:00,Leicester,23,Bath,27,Welford Road,Luke Pearce,50,A,N,Sep,2017,2017-18
08/Sep/2017,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,Andrew Jackson,25,A,N,Sep,2017,2017-18
09/Sep/2017,14:00,Bath,31,Saracens,21,Recreation Ground,Wayne Barnes,52,H,N,Sep,2017,2017-18
09/Sep/2017,15:00,Exeter,37,London Irish,7,Sandy Park,Craig Maxwell-Keys,44,H,N,Sep,2017,2017-18
09/Sep/2017,15:00,Harlequins,28,Gloucester,17,Twickenham Stoop,Luke Pearce,45,H,N,Sep,2017,2017-18
09/Sep/2017,16:30,Northampton,24,Leicester,11,Franklin's Gardens,JP Doyle,35,H,N,Sep,2017,2017-18
10/Sep/2017,15:00,Worcester,10,Wasps,24,Sixways,Tom Foley,34,A,N,Sep,2017,2017-18
15/Sep/2017,19:45,Northampton,24,Bath,6,Franklin's Gardens,Tom Foley,30,H,N,Sep,2017,2017-18
15/Sep/2017,19:45,Worcester,10,Exeter,41,Sixways,Ian Tempest,51,A,N,Sep,2017,2017-18
15/Sep/2017,20:00,Sale,36,London Irish,7,AJ Bell Stadium,Wayne Barnes,43,H,N,Sep,2017,2017-18
16/Sep/2017,15:00,Leicester,24,Gloucester,10,Welford Road,Craig Maxwell-Keys,34,H,N,Sep,2017,2017-18
