date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,day,month,year,season
03/Sep/2010,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,N,Fri,Sep,2010,2010-11
04/Sep/2010,14:00,London Irish,33,Saracens,16,Twickenham Stadium,Andrew Small,49,H,N,Sat,Sep,2010,2010-11
04/Sep/2010,15:00,Exeter,22,Gloucester,10,Sandy Park,Rob Debney,32,H,N,Sat,Sep,2010,2010-11
04/Sep/2010,16:30,Wasps,29,Harlequins,29,Twickenham Stadium,Chris White,58,D,N,Sat,Sep,2010,2010-11
05/Sep/2010,15:00,Leeds,16,Bath,32,Headingley,N/A,48,A,N,Sun,Sep,2010,2010-11
05/Sep/2010,15:00,Northampton,27,Leicester,19,Franklin's Gardens,Dave Pearson,46,H,N,Sun,Sep,2010,2010-11
10/Sep/2010,20:00,Newcastle,29,Wasps,17,Kingston Park,N/A,46,H,N,Fri,Sep,2010,2010-11
11/Sep/2010,13:30,Harlequins,16,Northampton,20,Twickenham Stoop,Andrew Small,36,A,N,Sat,Sep,2010,2010-11
11/Sep/2010,14:15,Bath,20,London Irish,13,Recreation Ground,Dave Pearson,33,H,N,Sat,Sep,2010,2010-11
11/Sep/2010,15:00,Gloucester,22,Leeds,21,Kingsholm,N/A,43,H,N,Sat,Sep,2010,2010-11
11/Sep/2010,17:30,Leicester,37,Exeter,27,Welford Road,Dean Richards,64,H,N,Sat,Sep,2010,2010-11
12/Sep/2010,14:15,Saracens,28,Sale,13,Vicarage Road,Wayne Barnes,41,H,N,Sun,Sep,2010,2010-11
17/Sep/2010,19:45,Northampton,31,Bath,10,Franklin's Gardens,Chris White,41,H,N,Fri,Sep,2010,2010-11
17/Sep/2010,19:45,Sale,21,Harlequins,17,Edgeley Park,Dave Pearson,38,H,N,Fri,Sep,2010,2010-11
18/Sep/2010,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,N,Sat,Sep,2010,2010-11
18/Sep/2010,15:05,Wasps,37,Leicester,30,Adams Park,Wayne Barnes,67,H,N,Sat,Sep,2010,2010-11
19/Sep/2010,15:00,London Irish,23,Gloucester,16,Madejski Stadium,Dean Richards,39,H,N,Sun,Sep,2010,2010-11
19/Sep/2010,15:00,Leeds,14,Saracens,26,Headingley,Sean Davey,40,A,N,Sun,Sep,2010,2010-11
25/Sep/2010,14:15,Bath,31,Sale,16,Recreation Ground,N/A,47,H,N,Sat,Sep,2010,2010-11
25/Sep/2010,14:30,Gloucester,22,Wasps,20,Kingsholm,N/A,42,H,N,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Harlequins,40,Exeter,13,Twickenham Stoop,N/A,53,H,N,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Leicester,48,Leeds,6,Welford Road,N/A,54,H,N,Sat,Sep,2010,2010-11
25/Sep/2010,17:15,Newcastle,12,London Irish,46,Kingston Park,N/A,58,A,N,Sat,Sep,2010,2010-11
26/Sep/2010,15:00,Saracens,24,Northampton,17,Vicarage Road,N/A,41,H,N,Sun,Sep,2010,2010-11
01/Oct/2010,19:45,Sale,24,Wasps,25,Edgeley Park,N/A,49,A,N,Fri,Oct,2010,2010-11
01/Oct/2010,20:05,Bath,3,Gloucester,18,Recreation Ground,N/A,21,A,N,Fri,Oct,2010,2010-11
02/Oct/2010,15:00,Harlequins,23,Newcastle,12,Twickenham Stoop,N/A,35,H,N,Sat,Oct,2010,2010-11
02/Oct/2010,15:00,London Irish,40,Leeds,24,Madejski Stadium,N/A,64,H,N,Sat,Oct,2010,2010-11
02/Oct/2010,15:00,Northampton,27,Exeter,21,Franklin's Gardens,N/A,48,H,N,Sat,Oct,2010,2010-11
03/Oct/2010,16:30,Saracens,26,Leicester,20,Vicarage Road,N/A,46,H,N,Sun,Oct,2010,2010-11
22/Oct/2010,19:45,Leeds,3,Sale,6,Headingley,N/A,9,A,N,Fri,Oct,2010,2010-11
22/Oct/2010,20:00,Newcastle,13,Saracens,15,Kingston Park,N/A,28,A,N,Fri,Oct,2010,2010-11
23/Oct/2010,14:30,Leicester,21,Bath,15,Welford Road,N/A,36,H,N,Sat,Oct,2010,2010-11
23/Oct/2010,15:00,Gloucester,33,Harlequins,26,Kingsholm,N/A,59,H,N,Sat,Oct,2010,2010-11
23/Oct/2010,17:15,Exeter,9,London Irish,12,Sandy Park,N/A,21,A,N,Sat,Oct,2010,2010-11
24/Oct/2010,14:45,Wasps,10,Northampton,37,Adams Park,N/A,47,A,N,Sun,Oct,2010,2010-11
30/Oct/2010,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,N,Sat,Oct,2010,2010-11
30/Oct/2010,15:00,Saracens,9,Exeter,23,Vicarage Road,Tim Wigglesworth,32,A,N,Sat,Oct,2010,2010-11
30/Oct/2010,17:30,Gloucester,19,Leicester,12,Kingsholm,Wayne Barnes,31,H,N,Sat,Oct,2010,2010-11
31/Oct/2010,15:00,Harlequins,6,Bath,6,Twickenham Stoop,Sean Davey,12,D,N,Sun,Oct,2010,2010-11
31/Oct/2010,15:00,Leeds,8,Wasps,17,Headingley,Dean Richards,25,A,N,Sun,Oct,2010,2010-11
31/Oct/2010,15:00,London Irish,39,Sale,26,Madejski Stadium,Martin Fox,65,H,N,Sun,Oct,2010,2010-11
19/Nov/2010,19:45,Sale,10,Northampton,19,Edgeley Park,N/A,29,A,N,Fri,Nov,2010,2010-11
19/Nov/2010,19:45,Leicester,18,Harlequins,13,Welford Road,N/A,31,H,N,Fri,Nov,2010,2010-11
20/Nov/2010,15:00,Exeter,15,Leeds,9,Sandy Park,N/A,24,H,N,Sat,Nov,2010,2010-11
21/Nov/2010,14:45,Wasps,33,London Irish,25,Adams Park,N/A,58,H,N,Sun,Nov,2010,2010-11
21/Nov/2010,15:00,Newcastle,12,Gloucester,6,Kingston Park,N/A,18,H,N,Sun,Nov,2010,2010-11
21/Nov/2010,16:15,Bath,13,Saracens,17,Recreation Ground,N/A,30,A,N,Sun,Nov,2010,2010-11
27/Nov/2010,15:00,Exeter,24,Sale,19,Sandy Park,N/A,43,H,N,Sat,Nov,2010,2010-11
27/Nov/2010,15:00,Leicester,44,Newcastle,19,Welford Road,N/A,63,H,N,Sat,Nov,2010,2010-11
27/Nov/2010,15:00,Northampton,35,London Irish,23,Franklin's Gardens,N/A,58,H,N,Sat,Nov,2010,2010-11
27/Nov/2010,16:30,Gloucester,19,Saracens,13,Kingsholm,N/A,32,H,N,Sat,Nov,2010,2010-11
27/Nov/2010,17:30,Bath,6,Wasps,11,Recreation Ground,Dean Richards,17,A,N,Sat,Nov,2010,2010-11
28/Nov/2010,15:00,Harlequins,51,Leeds,18,Twickenham Stoop,N/A,69,H,N,Sun,Nov,2010,2010-11
03/Dec/2010,19:45,Sale,Postponed,Gloucester,Postponed,Edgeley Park,N/A,N/A,N/A,N,Fri,Dec,2010,2010-11
03/Dec/2010,20:00,Newcastle,Postponed,Bath,Postponed,Kingston Park,N/A,N/A,N/A,N,Fri,Dec,2010,2010-11
04/Dec/2010,15:00,London Irish,14,Leicester,23,Madejski Stadium,N/A,37,A,N,Sat,Dec,2010,2010-11
05/Dec/2010,14:45,Wasps,24,Exeter,12,Adams Park,N/A,36,H,N,Sun,Dec,2010,2010-11
05/Dec/2010,15:00,Leeds,Postponed,Northampton,Postponed,Headingley,N/A,N/A,N/A,N,Sun,Dec,2010,2010-11
05/Dec/2010,15:00,Saracens,26,Harlequins,14,Vicarage Road,N/A,40,H,N,Sun,Dec,2010,2010-11
26/Dec/2010,14:15,Bath,Postponed,Exeter,Postponed,Recreation Ground,N/A,N/A,N/A,N,Sun,Dec,2010,2010-11
26/Dec/2010,15:00,Gloucester,Postponed,Northampton,Postponed,Kingsholm,N/A,N/A,N/A,N,Sun,Dec,2010,2010-11
26/Dec/2010,15:00,Newcastle,Postponed,Leeds,Postponed,Kingston Park,N/A,N/A,N/A,N,Sun,Dec,2010,2010-11
26/Dec/2010,15:00,Saracens,13,Wasps,6,Wembley Stadium,N/A,19,H,N,Sun,Dec,2010,2010-11
27/Dec/2010,15:00,Leicester,54,Sale,21,Welford Road,N/A,75,H,N,Mon,Dec,2010,2010-11
27/Dec/2010,16:15,Harlequins,28,London Irish,18,Twickenham Stadium,N/A,46,H,N,Mon,Dec,2010,2010-11
01/Jan/2011,15:00,Leeds,15,Gloucester,13,Headingley,N/A,28,H,N,Sat,Jan,2011,2010-11
01/Jan/2011,15:00,London Irish,24,Bath,25,Madejski Stadium,N/A,49,A,N,Sat,Jan,2011,2010-11
01/Jan/2011,15:00,Northampton,13,Harlequins,16,Franklin's Gardens,N/A,29,A,N,Sat,Jan,2011,2010-11
02/Jan/2011,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,N,Sun,Jan,2011,2010-11
02/Jan/2011,15:00,Sale,28,Saracens,22,Edgeley Park,N/A,50,H,N,Sun,Jan,2011,2010-11
02/Jan/2011,16:15,Exeter,15,Leicester,22,Sandy Park,N/A,37,A,N,Sun,Jan,2011,2010-11
07/Jan/2011,19:45,Newcastle,19,Sale,19,Kingston Park,N/A,38,D,N,Fri,Jan,2011,2010-11
08/Jan/2011,14:15,Bath,16,Leeds,13,Recreation Ground,N/A,29,H,N,Sat,Jan,2011,2010-11
08/Jan/2011,15:00,Gloucester,37,Exeter,23,Kingsholm,N/A,60,H,N,Sat,Jan,2011,2010-11
08/Jan/2011,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,N/A,27,H,N,Sat,Jan,2011,2010-11
08/Jan/2011,15:00,Leicester,27,Northampton,16,Welford Road,N/A,43,H,N,Sat,Jan,2011,2010-11
09/Jan/2011,15:00,Saracens,12,London Irish,6,Vicarage Road,N/A,18,H,N,Sun,Jan,2011,2010-11
