date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
01/Sep/2017,19:45,Gloucester,28,Exeter,21,Kingsholm,home,Matthew Carley,49,W,N,19,Fri,Sep,2017,2017-18,1,1,4,4,0,0,3,3,0,0
01/Sep/2017,19:45,Exeter,21,Gloucester,28,Kingsholm,away,Matthew Carley,49,L,N,19,Fri,Sep,2017,2017-18,1,1,3,3,0,0,4,4,0,0
01/Sep/2017,19:45,Newcastle,35,Worcester,8,Kingston Park,home,Wayne Barnes,43,W,N,19,Fri,Sep,2017,2017-18,1,0,4,3,3,0,1,0,1,0
01/Sep/2017,19:45,Worcester,8,Newcastle,35,Kingston Park,away,Wayne Barnes,43,L,N,19,Fri,Sep,2017,2017-18,0,1,1,0,1,0,4,3,3,0
02/Sep/2017,14:00,Saracens,55,Northampton,24,Twickenham Stadium,home,Craig Maxwell-Keys,79,W,N,14,Sat,Sep,2017,2017-18,1,0,9,5,0,0,3,3,1,0
02/Sep/2017,14:00,Northampton,24,Saracens,55,Twickenham Stadium,away,Craig Maxwell-Keys,79,L,N,14,Sat,Sep,2017,2017-18,0,1,3,3,1,0,9,5,0,0
02/Sep/2017,15:00,Wasps,50,Sale,35,Ricoh Arena,home,JP Doyle,85,W,N,15,Fri,Sep,2017,2017-18,1,1,7,6,1,0,5,5,0,0
02/Sep/2017,15:00,Sale,35,Wasps,50,Ricoh Arena,away,JP Doyle,85,L,N,15,Fri,Sep,2017,2017-18,1,1,5,5,0,0,7,6,1,0
02/Sep/2017,16:45,London Irish,39,Harlequins,29,Twickenham Stadium,home,Tom Foley,68,W,N,16,Sat,Sep,2017,2017-18,1,1,4,2,5,0,4,3,1,0
02/Sep/2017,16:45,Harlequins,29,London Irish,39,Twickenham Stadium,away,Tom Foley,68,L,N,16,Sat,Sep,2017,2017-18,1,1,4,3,1,0,4,2,5,0
03/Sep/2017,15:00,Leicester,23,Bath,27,Welford Road,home,Luke Pearce,50,L,N,15,Sun,Sep,2017,2017-18,1,0,3,1,2,0,3,3,2,0
03/Sep/2017,15:00,Bath,27,Leicester,23,Welford Road,away,Luke Pearce,50,W,N,15,Sun,Sep,2017,2017-18,0,1,3,3,2,0,3,1,2,0
08/Sep/2017,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,home,Andrew Jackson,25,L,N,19,Fri,Sep,2017,2017-18,1,0,0,0,4,0,1,0,2,0
08/Sep/2017,19:45,Newcastle,13,Sale,12,AJ Bell Stadium,away,Andrew Jackson,25,W,N,19,Fri,Sep,2017,2017-18,0,1,1,0,2,0,0,0,4,0
09/Sep/2017,14:00,Bath,31,Saracens,21,Recreation Ground,home,Wayne Barnes,52,W,N,14,Sat,Sep,2017,2017-18,0,0,3,2,2,2,2,0,3,0
09/Sep/2017,14:00,Saracens,21,Bath,31,Recreation Ground,away,Wayne Barnes,52,L,N,14,Sat,Sep,2017,2017-18,0,0,2,0,3,0,3,2,2,2
09/Sep/2017,15:00,Exeter,37,London Irish,7,Sandy Park,home,Craig Maxwell-Keys,44,W,N,15,Sat,Sep,2017,2017-18,1,0,5,2,2,0,1,1,0,0
09/Sep/2017,15:00,London Irish,7,Exeter,37,Sandy Park,away,Craig Maxwell-Keys,44,L,N,15,Sat,Sep,2017,2017-18,0,1,1,1,0,0,5,2,2,0
09/Sep/2017,15:00,Harlequins,28,Gloucester,17,Twickenham Stoop,home,Luke Pearce,45,W,N,15,Sat,Sep,2017,2017-18,0,0,3,2,3,0,2,2,1,0
09/Sep/2017,15:00,Gloucester,17,Harlequins,28,Twickenham Stoop,away,Luke Pearce,45,L,N,15,Sat,Sep,2017,2017-18,0,0,2,2,1,0,3,2,3,0
09/Sep/2017,16:30,Northampton,24,Leicester,11,Franklin's Gardens,home,JP Doyle,35,W,N,16,Sat,Sep,2017,2017-18,0,0,3,3,1,0,1,0,2,0
09/Sep/2017,16:30,Leicester,11,Northampton,24,Franklin's Gardens,away,JP Doyle,35,L,N,16,Sat,Sep,2017,2017-18,0,0,1,0,2,0,3,3,1,0
10/Sep/2017,15:00,Worcester,10,Wasps,24,Sixways,home,Tom Foley,34,L,N,15,Sun,Sep,2017,2017-18,0,0,1,1,1,0,3,3,1,0
10/Sep/2017,15:00,Wasps,24,Worcester,10,Sixways,away,Tom Foley,34,W,N,15,Sun,Sep,2017,2017-18,0,0,3,3,1,0,1,1,1,0
15/Sep/2017,19:45,Northampton,24,Bath,6,Franklin's Gardens,home,Tom Foley,30,W,N,19,Fri,Sep,2017,2017-18,1,0,4,2,0,0,0,0,2,0
15/Sep/2017,19:45,Bath,6,Northampton,24,Franklin's Gardens,away,Tom Foley,30,L,N,19,Fri,Sep,2017,2017-18,0,1,0,0,2,0,4,2,0,0
15/Sep/2017,19:45,Worcester,10,Exeter,41,Sixways,home,Ian Tempest,51,L,N,19,Fri,Sep,2017,2017-18,0,1,1,1,1,0,5,5,2,0
15/Sep/2017,19:45,Exeter,41,Worcester,10,Sixways,away,Ian Tempest,51,W,N,19,Fri,Sep,2017,2017-18,1,0,5,5,2,0,1,1,1,0
15/Sep/2017,20:00,Sale,36,London Irish,7,AJ Bell Stadium,home,Wayne Barnes,43,W,N,20,Fri,Sep,2017,2017-18,1,0,5,4,1,0,1,0,0,0
15/Sep/2017,20:00,London Irish,7,Sale,36,AJ Bell Stadium,away,Wayne Barnes,43,L,N,20,Fri,Sep,2017,2017-18,0,1,1,0,0,0,5,4,1,0
16/Sep/2017,15:00,Leicester,24,Gloucester,10,Welford Road,home,Craig Maxwell-Keys,34,W,N,15,Sat,Sep,2017,2017-18,0,0,3,3,1,0,1,1,1,0
16/Sep/2017,15:00,Gloucester,10,Leicester,24,Welford Road,away,Craig Maxwell-Keys,34,L,N,15,Sat,Sep,2017,2017-18,0,0,1,1,1,0,3,3,1,0
16/Sep/2017,17:10,Newcastle,7,Saracens,29,Talen Energy Stadium,home,JP Doyle,36,L,N,17,Sat,Sep,2017,2017-18,0,0,1,1,0,0,2,1,5,0
16/Sep/2017,17:10,Saracens,29,Newcastle,7,Talen Energy Stadium,away,JP Doyle,36,W,N,17,Sat,Sep,2017,2017-18,0,0,2,1,5,0,1,1,0,0
17/Sep/2017,15:00,Wasps,21,Harlequins,24,Ricoh Arena,home,Andrew Jackson,45,L,N,15,Sun,Sep,2017,2017-18,1,0,2,1,3,0,2,1,4,0
17/Sep/2017,15:00,Harlequins,24,Wasps,21,Ricoh Arena,away,Andrew Jackson,45,W,N,15,Sun,Sep,2017,2017-18,0,1,2,1,4,0,2,1,3,0
22/Sep/2017,19:45,Gloucester,24,Worcester,19,Kingsholm,home,Wayne Barnes,43,W,N,19,Fri,Sep,2017,2017-18,0,1,3,3,1,0,2,0,3,0
22/Sep/2017,19:45,Worcester,19,Gloucester,24,Kingsholm,away,Wayne Barnes,43,L,N,19,Fri,Sep,2017,2017-18,1,0,2,0,3,0,3,3,1,0
23/Sep/2017,15:00,Bath,32,Newcastle,33,Recreation Ground,home,Craig Maxwell-Keys,65,L,N,15,Sat,Sep,2017,2017-18,2,1,4,3,2,0,5,4,0,0
23/Sep/2017,15:00,Newcastle,33,Bath,32,Recreation Ground,away,Craig Maxwell-Keys,65,W,N,15,Sat,Sep,2017,2017-18,1,2,5,4,0,0,4,3,2,0
23/Sep/2017,15:00,Harlequins,28,Leicester,31,Twickenham Stoop,home,Ian Tempest,59,L,N,15,Sat,Sep,2017,2017-18,1,0,3,2,3,0,3,2,4,0
23/Sep/2017,15:00,Leicester,31,Harlequins,28,Twickenham Stoop,away,Ian Tempest,59,W,N,15,Sat,Sep,2017,2017-18,0,1,3,2,4,0,3,2,3,0
23/Sep/2017,15:00,Saracens,41,Sale,13,Allianz Park,home,Tom Foley,54,W,N,15,Sat,Sep,2017,2017-18,1,0,5,5,2,0,2,0,1,0
23/Sep/2017,15:00,Sale,13,Saracens,41,Allianz Park,away,Tom Foley,54,L,N,15,Sat,Sep,2017,2017-18,0,1,2,0,1,0,5,5,2,0
24/Sep/2017,15:00,Exeter,31,Wasps,17,Sandy Park,home,JP Doyle,48,W,N,15,Sun,Sep,2017,2017-18,1,0,5,3,0,0,2,2,1,0
