,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,24.05,19.29,43.34,25.53,23.75,23.46,21.29,21.98,20.55,18.05,18.07,22.81,16.13,46.08,41.8,41.53,44.1,25.6,22.5,21.45,21.29,25.0,16.88,15.8,14.64,18.5,19.0,26.4,16.2,21.0,19.33,60.60606060606061%,10.909090909090908%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,24.05,19.29,43.34,22.16,23.01,22.71,21.29,21.98,18.7,18.59,18.7,22.81,16.13,40.86,41.59,41.41,44.1,24.6,21.62,21.0,21.29,25.0,9.75,14.42,16.55,18.5,19.0,26.4,16.2,21.0,19.33,60.60606060606061%,10.909090909090908%
2,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Sep,2013,2013-14,24.05,19.29,43.34,25.53,23.78,22.18,19.32,21.98,20.55,18.95,19.22,18.77,16.13,46.08,42.72,41.4,38.09,25.6,20.45,18.45,19.32,25.0,16.88,7.17,13.27,15.0,19.0,26.4,16.2,21.0,19.33,60.60606060606061%,10.909090909090908%
3,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,May,2015,2014-15,24.05,19.29,43.34,29.54,25.84,27.21,25.41,21.98,22.1,20.54,20.83,16.5,16.13,51.65,46.38,48.04,41.91,21.75,22.0,26.27,25.41,25.0,21.2,21.5,21.18,21.5,19.0,26.4,16.2,21.0,19.33,60.60606060606061%,10.909090909090908%
4,2015-11-28,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,Nov,2015,2015-16,24.05,19.29,43.34,20.94,25.84,23.9,25.41,21.98,17.64,20.54,19.54,16.5,16.13,38.58,46.38,43.44,41.91,20.33,22.0,24.55,25.41,25.0,11.29,21.5,15.0,21.5,19.0,26.4,16.2,21.0,19.33,60.60606060606061%,10.909090909090908%
5,2010-09-18,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,Sep,2010,2010-11,24.05,19.29,43.34,25.53,23.75,23.46,24.67,24.67,20.55,18.05,18.07,16.0,16.13,46.08,41.8,41.53,40.67,24.9,18.4,18.09,24.67,29.6,16.88,15.8,14.64,13.8,13.8,32.0,16.2,31.33,12.33,67.16417910447761%,10.909090909090908%
6,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,Sep,2011,2011-12,24.05,19.29,43.34,25.53,23.01,22.71,24.67,24.67,20.55,18.59,18.7,16.0,16.13,46.08,41.59,41.41,40.67,24.9,18.0,18.82,24.67,29.6,16.88,14.42,16.55,13.8,13.8,32.0,16.2,31.33,12.33,67.16417910447761%,10.909090909090908%
7,2013-12-21,15:00,Exeter,16,Newcastle,3,Sandy Park,Greg Garner,19,H,Dec,2013,2013-14,24.05,19.29,43.34,22.16,23.78,22.18,24.67,24.67,18.7,18.95,19.22,16.0,16.13,40.86,42.72,41.4,40.67,19.17,24.6,19.55,24.67,29.6,9.75,7.17,13.27,13.8,13.8,32.0,16.2,31.33,12.33,67.16417910447761%,10.909090909090908%
8,2015-02-14,16:30,Exeter,46,Newcastle,17,Sandy Park,Thomas Foley,63,H,Feb,2015,2014-15,24.05,19.29,43.34,22.19,25.84,27.21,24.67,24.67,18.16,20.54,20.83,16.0,16.13,40.35,46.38,48.04,40.67,22.0,34.2,34.91,24.67,29.6,14.3,21.5,21.18,13.8,13.8,32.0,16.2,31.33,12.33,67.16417910447761%,10.909090909090908%
9,2016-03-12,15:00,Exeter,32,Newcastle,17,Sandy Park,Craig Maxwell-Keys,49,H,Mar,2016,2015-16,24.05,19.29,43.34,24.92,24.49,23.9,24.67,24.67,18.77,19.44,19.54,16.0,16.13,43.7,43.94,43.44,40.67,27.89,27.0,27.67,24.67,29.6,18.0,14.86,15.0,13.8,13.8,32.0,16.2,31.33,12.33,67.16417910447761%,10.909090909090908%
