,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,23.66,18.72,42.38,25.85,23.75,23.46,21.29,20.88,19.7,18.05,18.07,22.81,15.59,45.54,41.8,41.53,44.1,25.0,22.5,21.45,21.29,31.0,19.75,15.8,14.64,18.5,18.5,21.8,18.2,31.0,18.5,54.54545454545454%,13.636363636363635%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,23.66,18.72,42.38,20.06,23.01,22.71,21.29,20.88,18.17,18.59,18.7,22.81,15.59,38.22,41.59,41.41,44.1,30.0,21.62,21.0,21.29,31.0,19.0,14.42,16.55,18.5,18.5,21.8,18.2,31.0,18.5,54.54545454545454%,13.636363636363635%
2,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Jan,2011,2010-11,23.66,18.72,42.38,20.79,23.01,23.46,22.7,23.03,16.29,18.59,18.07,20.67,15.59,37.07,41.59,41.53,43.37,20.67,23.64,25.82,22.7,21.5,16.0,14.42,14.64,15.0,15.0,24.6,18.2,21.5,15.0,51.515151515151516%,13.636363636363635%
3,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,May,2012,2011-12,23.66,18.72,42.38,28.26,22.83,22.71,22.7,23.03,17.96,18.33,18.7,20.67,15.59,46.22,41.17,41.41,43.37,10.0,20.33,17.45,22.7,21.5,13.0,18.2,16.55,15.0,15.0,24.6,18.2,21.5,15.0,51.515151515151516%,13.636363636363635%
4,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,N/A,37,H,Feb,2011,2010-11,23.66,18.72,42.38,22.33,23.01,23.46,28.48,28.48,17.78,18.59,18.07,22.68,15.59,40.11,41.59,41.53,51.16,24.0,26.67,26.82,28.48,34.5,18.75,14.42,14.64,21.5,21.5,33.0,18.2,34.5,21.5,60.60606060606061%,13.636363636363635%
5,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,N/A,75,H,Sep,2011,2011-12,23.66,18.72,42.38,25.85,23.01,22.71,28.48,28.48,19.7,18.59,18.7,22.68,15.59,45.54,41.59,41.41,51.16,31.0,26.67,29.18,28.48,34.5,19.75,14.42,16.55,21.5,21.5,33.0,18.2,34.5,21.5,60.60606060606061%,13.636363636363635%
6,2010-09-18,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,Sep,2010,2010-11,23.66,18.72,42.38,25.85,23.75,23.46,21.88,21.88,19.7,18.05,18.07,15.18,15.59,45.54,41.8,41.53,37.06,25.67,18.4,18.09,21.88,27.0,19.75,15.8,14.64,16.0,16.0,28.4,18.2,27.0,16.0,63.63636363636363%,13.636363636363635%
7,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,Sep,2011,2011-12,23.66,18.72,42.38,25.85,23.01,22.71,21.88,21.88,19.7,18.59,18.7,15.18,15.59,45.54,41.59,41.41,37.06,25.67,18.0,18.82,21.88,27.0,19.75,14.42,16.55,16.0,16.0,28.4,18.2,27.0,16.0,63.63636363636363%,13.636363636363635%
8,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,N/A,27,A,Feb,2011,2010-11,23.66,18.72,42.38,22.33,23.01,23.46,12.73,12.73,17.78,18.59,18.07,21.18,15.59,40.11,41.59,41.53,33.91,7.0,14.14,12.73,12.73,5.0,18.75,14.42,14.64,22.0,22.0,15.0,18.2,5.0,22.0,27.27272727272727%,13.636363636363635%
9,2010-10-30,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,Oct,2010,2010-11,23.66,18.72,42.38,21.94,23.75,23.46,26.85,26.85,18.72,18.05,18.07,17.45,15.59,40.66,41.8,41.53,44.3,28.8,30.8,29.18,26.85,39.0,11.25,15.8,14.64,14.0,14.0,26.2,18.2,39.0,14.0,72.72727272727273%,13.636363636363635%
