,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
10,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,N/A,27,A,Feb,2011,2010-11,23.09,18.39,41.47,19.94,23.01,23.46,12.73,12.73,16.39,18.59,18.07,21.18,15.59,36.33,41.59,41.53,33.91,7.0,14.14,12.73,12.73,5.0,18.75,14.42,14.64,22.0,22.0,15.0,18.2,5.0,22.0,27.27272727272727%,13.636363636363635%
11,2011-04-02,15:00,Gloucester,34,Newcastle,9,Kingsholm,Dean Richards,43,H,Apr,2011,2010-11,23.09,18.39,41.47,23.0,23.01,23.46,27.95,27.95,23.36,18.59,18.07,18.5,15.59,46.36,41.59,41.53,46.45,25.0,31.5,30.73,27.95,27.0,19.0,14.42,14.64,19.0,19.0,24.4,18.2,27.0,19.0,77.27272727272727%,13.636363636363635%
12,2012-04-14,15:00,Gloucester,20,Newcastle,29,Kingsholm,Tim Wigglesworth,49,A,Apr,2012,2011-12,23.09,18.39,41.47,23.0,22.66,22.71,27.95,27.95,23.36,18.27,18.7,18.5,15.59,46.36,40.93,41.41,46.45,25.0,24.4,25.18,27.95,27.0,19.0,18.2,16.55,19.0,19.0,24.4,18.2,27.0,19.0,77.27272727272727%,13.636363636363635%
13,2010-11-27,15:00,Leicester,44,Newcastle,19,Welford Road,N/A,63,H,Nov,2010,2010-11,23.09,18.39,41.47,22.12,23.75,23.46,29.71,29.24,16.88,18.05,18.07,18.75,15.59,39.0,41.8,41.53,48.46,28.67,37.0,29.69,29.71,43.0,13.5,15.8,14.64,17.0,17.0,34.6,18.2,43.0,17.0,72.0%,13.636363636363635%
14,2012-02-25,15:00,Leicester,42,Newcastle,15,Welford Road,Greg Garner,57,H,Feb,2012,2011-12,23.09,18.39,41.47,19.94,22.66,22.71,29.71,29.24,16.39,18.27,18.7,18.75,15.59,36.33,40.93,41.41,48.46,31.5,31.43,28.75,29.71,43.0,18.75,18.2,16.55,17.0,17.0,34.6,18.2,43.0,17.0,72.0%,13.636363636363635%
15,2011-05-07,15:00,Bath,42,Newcastle,12,Recreation Ground,Wayne Barnes,54,H,May,2011,2010-11,23.09,18.39,41.47,28.28,23.01,23.46,20.5,20.5,16.17,18.59,18.07,17.64,15.59,44.44,41.59,41.53,38.14,42.0,22.55,20.0,20.5,36.0,13.0,14.42,14.64,18.0,18.0,20.0,18.2,36.0,18.0,59.09090909090909%,13.636363636363635%
16,2012-02-11,14:15,Bath,30,Newcastle,24,Recreation Ground,Dean Richards,54,H,Feb,2012,2011-12,23.09,18.39,41.47,19.94,22.66,22.71,20.5,20.5,16.39,18.27,18.7,17.64,15.59,36.33,40.93,41.41,38.14,26.33,21.67,21.0,20.5,36.0,18.75,18.2,16.55,18.0,18.0,20.0,18.2,36.0,18.0,59.09090909090909%,13.636363636363635%
17,2010-10-02,15:00,Harlequins,23,Newcastle,12,Twickenham Stoop,N/A,35,H,Oct,2010,2010-11,23.09,18.39,41.47,21.63,23.75,23.46,27.52,26.96,18.66,18.05,18.07,16.33,15.59,40.29,41.8,41.53,43.86,24.0,27.33,25.55,27.52,31.0,11.25,15.8,14.64,10.0,10.0,27.0,18.2,31.0,10.0,75.0%,13.636363636363635%
18,2011-11-27,15:00,Harlequins,39,Newcastle,8,Twickenham Stoop,N/A,47,H,Nov,2011,2011-12,23.09,18.39,41.47,22.12,23.01,22.71,27.52,26.96,16.88,18.59,18.7,16.33,15.59,39.0,41.59,41.41,43.86,45.0,27.45,28.15,27.52,31.0,13.5,14.42,16.55,10.0,10.0,27.0,18.2,31.0,10.0,75.0%,13.636363636363635%
19,2011-03-27,15:00,Saracens,24,Newcastle,9,Vicarage Road,N/A,33,H,Mar,2011,2010-11,23.09,18.39,41.47,25.17,23.01,23.46,22.7,21.78,17.6,18.59,18.07,12.65,15.59,42.77,41.59,41.53,35.35,20.33,21.64,22.33,22.7,24.5,9.0,14.42,14.64,7.0,7.0,24.4,18.2,24.5,7.0,78.26086956521739%,13.636363636363635%
