,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,24.08,19.24,43.32,25.53,23.75,23.46,21.29,21.47,20.55,18.05,18.07,22.81,16.41,46.08,41.8,41.53,44.1,25.6,22.5,21.45,21.29,27.5,16.88,15.8,14.64,18.5,20.0,22.8,24.6,25.0,20.67,58.18181818181818%,13.636363636363635%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,24.08,19.24,43.32,21.97,23.01,22.71,21.29,21.47,17.85,18.59,18.7,22.81,16.41,39.82,41.59,41.41,44.1,24.6,21.62,21.0,21.29,27.5,9.67,14.42,16.55,18.5,20.0,22.8,24.6,25.0,20.67,58.18181818181818%,13.636363636363635%
2,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Sep,2013,2013-14,24.08,19.24,43.32,25.53,23.78,22.18,19.32,21.47,20.55,18.95,19.22,18.77,16.41,46.08,42.72,41.4,38.09,25.6,20.45,18.45,19.32,27.5,16.88,7.17,13.27,15.0,20.0,22.8,24.6,25.0,20.67,58.18181818181818%,13.636363636363635%
3,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,May,2015,2014-15,24.08,19.24,43.32,29.95,27.81,27.21,26.27,21.47,21.45,21.01,20.83,16.18,16.41,51.39,48.83,48.04,42.45,21.75,22.8,26.27,26.27,27.5,23.0,25.67,21.18,28.0,20.0,22.8,24.6,25.0,20.67,58.18181818181818%,13.636363636363635%
4,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Jan,2011,2010-11,24.08,19.24,43.32,22.33,23.01,23.46,23.95,25.35,16.83,18.59,18.07,20.6,16.41,39.15,41.59,41.53,44.56,24.4,23.64,25.82,23.95,30.5,23.5,14.42,14.64,21.5,21.5,28.6,24.6,29.67,23.33,56.36363636363636%,13.636363636363635%
5,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,May,2012,2011-12,24.08,19.24,43.32,29.95,22.83,22.71,23.95,25.35,21.45,18.33,18.7,20.6,16.41,51.39,41.17,41.41,44.56,25.0,20.33,17.45,23.95,30.5,23.0,18.2,16.55,21.5,21.5,28.6,24.6,29.67,23.33,56.36363636363636%,13.636363636363635%
6,2014-05-03,15:00,Wasps,44,Newcastle,38,Adams Park,Dean Richards,82,H,May,2014,2013-14,24.08,19.24,43.32,29.95,25.03,22.18,23.95,25.35,21.45,20.78,19.22,20.6,16.41,51.39,45.81,41.4,44.56,25.0,32.82,22.45,23.95,30.5,23.0,18.2,13.27,21.5,21.5,28.6,24.6,29.67,23.33,56.36363636363636%,13.636363636363635%
7,2014-09-28,14:00,Wasps,35,Newcastle,18,Adams Park,Dean Richards,53,H,Sep,2014,2014-15,24.08,19.24,43.32,25.53,25.03,27.21,23.95,25.35,20.55,20.78,20.83,20.6,16.41,46.08,45.81,48.04,44.56,30.4,32.82,35.18,23.95,30.5,16.88,18.2,21.18,21.5,21.5,28.6,24.6,29.67,23.33,56.36363636363636%,13.636363636363635%
8,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,N/A,37,H,Feb,2011,2010-11,24.08,19.24,43.32,21.59,23.01,23.46,25.73,25.53,18.08,18.59,18.07,22.55,16.41,39.67,41.59,41.53,48.27,20.14,26.67,26.82,25.73,32.75,16.12,14.42,14.64,19.0,19.0,24.2,24.6,36.0,20.67,50.90909090909091%,13.636363636363635%
9,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,N/A,75,H,Sep,2011,2011-12,24.08,19.24,43.32,25.53,23.01,22.71,25.73,25.53,20.55,18.59,18.7,22.55,16.41,46.08,41.59,41.41,48.27,27.6,26.67,29.18,25.73,32.75,16.88,14.42,16.55,19.0,19.0,24.2,24.6,36.0,20.67,50.90909090909091%,13.636363636363635%
10,2014-04-13,15:00,London Irish,40,Newcastle,12,Madejski Stadium,Luke Pearce,52,H,Apr,2014,2013-14,24.08,19.24,43.32,25.81,25.03,22.18,25.73,25.53,23.31,20.78,19.22,22.55,16.41,49.11,45.81,41.4,48.27,29.33,21.55,20.73,25.73,32.75,22.5,18.2,13.27,19.0,19.0,24.2,24.6,36.0,20.67,50.90909090909091%,13.636363636363635%
11,2015-03-28,15:00,London Irish,22,Newcastle,21,Madejski Stadium,Greg Garner,43,H,Mar,2015,2014-15,24.08,19.24,43.32,25.22,27.81,27.21,25.73,25.53,18.77,21.01,20.83,22.55,16.41,43.99,48.83,48.04,48.27,29.17,24.2,21.45,25.73,32.75,18.0,25.67,21.18,19.0,19.0,24.2,24.6,36.0,20.67,50.90909090909091%,13.636363636363635%
12,2010-09-18,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,Sep,2010,2010-11,24.08,19.24,43.32,25.53,23.75,23.46,24.02,24.02,20.55,18.05,18.07,16.45,16.41,46.08,41.8,41.53,40.47,24.9,18.4,18.09,24.02,29.0,16.88,15.8,14.64,13.0,13.0,40.2,24.6,31.33,11.67,61.81818181818181%,13.636363636363635%
13,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,Sep,2011,2011-12,24.08,19.24,43.32,25.53,23.01,22.71,24.02,24.02,20.55,18.59,18.7,16.45,16.41,46.08,41.59,41.41,40.47,24.9,18.0,18.82,24.02,29.0,16.88,14.42,16.55,13.0,13.0,40.2,24.6,31.33,11.67,61.81818181818181%,13.636363636363635%
14,2013-12-21,15:00,Exeter,16,Newcastle,3,Sandy Park,Greg Garner,19,H,Dec,2013,2013-14,24.08,19.24,43.32,21.97,23.78,22.18,24.02,24.02,17.85,18.95,19.22,16.45,16.41,39.82,42.72,41.4,40.47,16.4,24.6,19.55,24.02,29.0,9.67,7.17,13.27,13.0,13.0,40.2,24.6,31.33,11.67,61.81818181818181%,13.636363636363635%
15,2015-02-14,16:30,Exeter,46,Newcastle,17,Sandy Park,Thomas Foley,63,H,Feb,2015,2014-15,24.08,19.24,43.32,21.59,27.81,27.21,24.02,24.02,18.08,21.01,20.83,16.45,16.41,39.67,48.83,48.04,40.47,22.78,37.67,34.91,24.02,29.0,16.12,25.67,21.18,13.0,13.0,40.2,24.6,31.33,11.67,61.81818181818181%,13.636363636363635%
16,2010-10-30,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,Oct,2010,2010-11,24.08,19.24,43.32,22.89,23.75,23.46,29.62,29.54,17.56,18.05,18.07,17.02,16.41,40.45,41.8,41.53,46.64,32.57,30.8,29.18,29.62,33.75,14.0,15.8,14.64,14.75,14.75,32.8,24.6,33.67,15.33,78.94736842105263%,13.636363636363635%
17,2011-10-29,15:00,Northampton,44,Newcastle,15,Franklin's Gardens,N/A,59,H,Oct,2011,2011-12,24.08,19.24,43.32,22.89,23.01,22.71,29.62,29.54,17.56,18.59,18.7,17.02,16.41,40.45,41.59,41.41,46.64,32.57,27.92,28.27,29.62,33.75,14.0,14.42,16.55,14.75,14.75,32.8,24.6,33.67,15.33,78.94736842105263%,13.636363636363635%
18,2013-11-23,15:15,Northampton,18,Newcastle,0,Franklin's Gardens,Dean Richards,18,H,Nov,2013,2013-14,24.08,19.24,43.32,21.23,23.78,22.18,29.62,29.54,17.49,18.95,19.22,17.02,16.41,38.73,42.72,41.4,46.64,24.8,30.4,34.33,29.62,33.75,8.8,7.17,13.27,14.75,14.75,32.8,24.6,33.67,15.33,78.94736842105263%,13.636363636363635%
19,2015-01-02,19:45,Northampton,39,Newcastle,31,Franklin's Gardens,Ian Tempest,70,H,Jan,2015,2014-15,24.08,19.24,43.32,22.33,27.81,27.21,29.62,29.54,16.83,21.01,20.83,17.02,16.41,39.15,48.83,48.04,46.64,24.75,31.14,32.17,29.62,33.75,23.5,25.67,21.18,14.75,14.75,32.8,24.6,33.67,15.33,78.94736842105263%,13.636363636363635%
20,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,N/A,27,A,Feb,2011,2010-11,24.08,19.24,43.32,21.59,23.01,23.46,12.73,12.73,18.08,18.59,18.07,21.18,16.41,39.67,41.59,41.53,33.91,7.0,14.14,12.73,12.73,5.0,16.12,14.42,14.64,22.0,22.0,15.0,24.6,5.0,22.0,27.27272727272727%,13.636363636363635%
