,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,day,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Scores,avgHomeLast5ScoresAgainst,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
10,2020-09-05,12:30,Saracens,18,Wasps,28,Allianz Park,Christophe Ridley,46,A,Sat,Sep,2020,2019-20,25.53,20.79,46.32,27.03,26.97,26.4,32.22,31.18,22.25,21.69,20.47,16.42,22.14,49.28,48.65,46.87,48.64,33.6,33.88,32.64,32.22,30.08,23.09,25.9,22.08,25.14,22.42,39.2,16.8,34.33,16.33,85.38461538461539%,36.36363636363637%
11,2021-10-24,15:00,Saracens,56,Wasps,15,StoneX Stadium,Matthew Carley,71,H,Sun,Oct,2021,2021-22,25.53,20.79,46.32,24.99,27.48,27.83,38.29,31.18,20.42,23.14,23.63,23.88,22.14,45.42,50.62,51.46,62.18,31.33,42.6,36.23,38.29,30.08,17.47,25.15,23.0,15.0,22.42,29.6,21.0,34.33,16.33,85.38461538461539%,36.36363636363637%
12,2011-02-19,17:30,Leicester,21,Wasps,12,Welford Road,N/A,33,H,Sat,Feb,2011,2010-11,25.53,20.79,46.32,24.06,23.01,23.46,26.99,26.91,19.15,18.59,18.07,19.49,22.14,43.21,41.59,41.53,46.47,28.84,24.08,29.69,26.99,22.17,24.65,11.55,12.82,14.67,14.67,32.8,16.8,21.67,9.0,71.73913043478261%,36.36363636363637%
13,2012-01-07,17:00,Leicester,19,Wasps,11,Welford Road,Tim Wigglesworth,30,H,Sat,Jan,2012,2011-12,25.53,20.79,46.32,23.57,22.83,22.71,26.99,26.91,19.12,18.33,18.7,19.49,22.14,42.69,41.17,41.41,46.47,25.08,26.38,28.75,26.99,22.17,22.5,20.09,15.55,14.67,14.67,25.0,29.8,21.67,9.0,71.73913043478261%,36.36363636363637%
14,2013-04-14,15:45,Leicester,35,Wasps,16,Welford Road,JP Doyle,51,H,Sun,Apr,2013,2012-13,25.53,20.79,46.32,26.81,23.78,24.81,26.99,26.91,23.7,18.95,19.37,19.49,22.14,50.51,42.72,44.19,46.47,31.14,29.85,27.92,26.99,22.17,23.69,20.27,20.64,14.67,14.67,27.4,15.6,21.67,9.0,71.73913043478261%,36.36363636363637%
15,2014-04-12,15:00,Leicester,27,Wasps,15,Welford Road,Andrew Small,42,H,Sat,Apr,2014,2013-14,25.53,20.79,46.32,26.81,25.03,22.18,26.99,26.91,23.7,20.78,19.22,19.49,22.14,50.51,45.81,41.4,46.47,31.14,25.7,26.27,26.99,22.17,23.69,18.36,18.55,14.67,14.67,26.6,16.8,21.67,9.0,71.73913043478261%,36.36363636363637%
16,2014-11-29,15:00,Leicester,18,Wasps,16,Welford Road,Luke Pearce,34,H,Sat,Nov,2014,2014-15,25.53,20.79,46.32,22.73,25.03,27.21,26.99,26.91,18.47,20.78,20.83,19.49,22.14,41.2,45.81,48.04,46.47,25.44,25.7,24.0,26.99,22.17,18.67,18.36,25.91,14.67,14.67,25.8,20.6,21.67,9.0,71.73913043478261%,36.36363636363637%
17,2015-11-01,15:15,Leicester,24,Wasps,16,Welford Road,Tim Wigglesworth,40,H,Sun,Nov,2015,2015-16,25.53,20.79,46.32,22.73,25.84,23.9,26.99,26.91,18.47,20.54,19.54,19.49,22.14,41.2,46.38,43.44,46.47,25.44,23.7,26.09,26.99,22.17,18.67,28.62,26.25,14.67,14.67,27.0,15.2,21.67,9.0,71.73913043478261%,36.36363636363637%
18,2016-09-10,15:00,Leicester,22,Wasps,34,Welford Road,Greg Garner,56,A,Sat,Sep,2016,2016-17,25.53,20.79,46.32,27.03,24.56,26.22,26.99,26.91,22.25,19.5,21.22,19.49,22.14,49.28,44.06,47.44,46.47,29.83,27.67,28.73,26.99,22.17,23.09,26.07,25.64,14.67,14.67,33.0,21.4,21.67,9.0,71.73913043478261%,36.36363636363637%
19,2018-03-25,15:00,Leicester,16,Wasps,15,Welford Road,Luke Pearce,31,H,Sun,Mar,2018,2017-18,25.53,20.79,46.32,25.91,26.3,26.46,26.99,26.91,20.79,22.3,22.11,19.49,22.14,46.7,48.6,48.57,46.47,28.93,27.4,23.45,26.99,22.17,19.53,24.5,27.42,14.67,14.67,26.2,24.0,21.67,9.0,71.73913043478261%,36.36363636363637%
