,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,day,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Scores,avgHomeLast5ScoresAgainst,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
300,2018-05-19,15:30,Exeter,36,Newcastle,5,Sandy Park,Matthew Carley,41,H,Sat,May,2018,2017-18,25.53,20.79,46.32,29.94,26.3,26.46,27.78,27.71,22.83,22.3,22.11,16.66,17.24,52.77,48.6,48.57,44.44,34.85,28.58,30.08,27.78,34.27,19.11,17.42,18.25,13.36,13.36,28.0,15.4,41.0,11.67,71.12676056338029%,22.727272727272727%
301,2019-02-23,14:30,Exeter,35,Newcastle,17,Sandy Park,Luke Pearce,52,H,Sat,Feb,2019,2018-19,25.53,20.79,46.32,24.06,25.38,26.84,27.78,27.71,19.15,20.14,21.13,16.66,17.24,43.21,45.52,47.97,44.44,25.19,26.75,29.77,27.78,34.27,15.47,16.2,17.73,13.36,13.36,26.2,11.4,41.0,11.67,71.12676056338029%,22.727272727272727%
302,2021-05-30,13:30,Exeter,74,Newcastle,3,Sandy Park,Andrew Jackson,77,H,Sun,May,2021,2020-21,25.53,20.79,46.32,29.94,27.48,26.85,27.78,27.71,22.83,23.14,22.77,16.66,17.24,52.77,50.62,49.62,44.44,34.85,29.29,33.62,27.78,34.27,19.11,18.25,18.44,13.36,13.36,32.8,17.4,41.0,11.67,71.12676056338029%,22.727272727272727%
303,2021-11-06,17:30,Exeter,14,Newcastle,15,Sandy Park,Andrew Jackson,29,A,Sat,Nov,2021,2021-22,25.53,20.79,46.32,22.73,27.48,27.83,27.78,27.71,18.47,23.14,23.63,16.66,17.24,41.2,50.62,51.46,44.44,26.18,29.29,26.08,27.78,34.27,13.77,18.25,21.0,13.36,13.36,36.2,17.2,41.0,11.67,71.12676056338029%,22.727272727272727%
304,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Sun,Jan,2011,2010-11,25.53,20.79,46.32,23.57,23.01,23.46,23.95,27.82,19.12,18.59,18.07,20.6,17.24,42.69,41.59,41.53,44.56,24.43,23.64,25.82,23.95,26.5,16.83,14.42,14.64,21.5,18.1,26.6,26.6,21.0,23.67,62.121212121212125%,22.727272727272727%
305,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,Sat,May,2012,2011-12,25.53,20.79,46.32,29.94,22.83,22.71,23.95,27.82,22.83,18.33,18.7,20.6,17.24,52.77,41.17,41.41,44.56,25.11,20.33,17.45,23.95,26.5,19.11,18.2,16.55,21.5,18.1,14.6,16.0,21.0,23.67,62.121212121212125%,22.727272727272727%
306,2014-05-03,15:00,Wasps,44,Newcastle,38,Adams Park,Dean Richards,82,H,Sat,May,2014,2013-14,25.53,20.79,46.32,29.94,25.03,22.18,23.95,27.82,22.83,20.78,19.22,20.6,17.24,52.77,45.81,41.4,44.56,25.11,32.82,22.45,23.95,26.5,19.11,18.2,13.27,21.5,18.1,22.8,24.4,21.0,23.67,62.121212121212125%,22.727272727272727%
307,2014-09-28,14:00,Wasps,35,Newcastle,18,Adams Park,Dean Richards,53,H,Sun,Sep,2014,2014-15,25.53,20.79,46.32,27.03,25.03,27.21,23.95,27.82,22.25,20.78,20.83,20.6,17.24,49.28,45.81,48.04,44.56,35.35,32.82,35.18,23.95,26.5,18.0,18.2,21.18,21.5,18.1,27.8,27.4,21.0,23.67,62.121212121212125%,22.727272727272727%
308,2016-02-06,14:00,Wasps,9,Newcastle,8,Ricoh Arena,Craig Maxwell-Keys,17,H,Sat,Feb,2016,2015-16,25.53,20.79,46.32,24.06,24.56,23.9,30.23,27.82,19.15,19.5,19.54,21.71,17.24,43.21,44.06,43.44,51.93,24.25,37.21,27.82,30.23,26.5,15.47,13.08,15.0,14.2,18.1,22.8,20.2,21.0,23.67,62.121212121212125%,22.727272727272727%
309,2016-10-30,14:30,Wasps,31,Newcastle,6,Ricoh Arena,Craig Maxwell-Keys,37,H,Sun,Oct,2016,2016-17,25.53,20.79,46.32,24.99,24.56,26.22,30.23,27.82,20.42,19.5,21.22,21.71,17.24,45.42,44.06,47.44,51.93,26.76,37.21,36.0,30.23,26.5,15.71,13.08,14.82,14.2,18.1,46.0,21.4,21.0,23.67,62.121212121212125%,22.727272727272727%
310,2017-11-18,17:15,Wasps,40,Newcastle,10,Ricoh Arena,Matthew O'Grady,50,H,Sat,Nov,2017,2017-18,25.53,20.79,46.32,22.73,27.61,26.46,30.23,27.82,18.47,21.88,22.11,21.71,17.24,41.2,49.49,48.57,51.93,28.23,30.55,29.0,30.23,26.5,13.77,20.09,18.25,14.2,18.1,23.6,22.8,21.0,23.67,62.121212121212125%,22.727272727272727%
311,2019-03-09,14:00,Wasps,19,Newcastle,20,Ricoh Arena,Thomas Foley,39,A,Sat,Mar,2019,2018-19,25.53,20.79,46.32,25.91,25.38,26.84,30.23,27.82,20.79,20.14,21.13,21.71,17.24,46.7,45.52,47.97,51.93,25.65,23.44,24.73,30.23,26.5,17.54,16.2,17.73,14.2,18.1,22.4,25.4,21.0,23.67,62.121212121212125%,22.727272727272727%
312,2020-12-05,15:00,Wasps,17,Newcastle,27,Ricoh Arena,Andrew Jackson,44,A,Sat,Dec,2020,2020-21,25.53,20.79,46.32,24.03,26.97,26.85,30.23,27.82,19.75,21.69,22.77,21.71,17.24,43.78,48.65,49.62,51.93,27.36,38.09,22.64,30.23,26.5,16.5,23.0,18.44,14.2,18.1,45.8,18.2,21.0,23.67,62.121212121212125%,22.727272727272727%
313,2022-03-26,15:00,Wasps,27,Newcastle,24,Coventry Building Society Arena,Andrew Jackson,51,H,Sat,Mar,2022,2021-22,25.53,20.79,46.32,25.91,28.22,27.83,27.29,27.82,20.79,24.39,23.63,22.71,17.24,46.7,52.61,51.46,50.0,25.65,25.25,28.17,27.29,26.5,17.54,21.17,21.0,24.0,18.1,30.8,24.4,21.0,23.67,62.121212121212125%,22.727272727272727%
314,2011-04-02,15:00,Gloucester,34,Newcastle,9,Kingsholm,Dean Richards,43,H,Sat,Apr,2011,2010-11,25.53,20.79,46.32,26.81,23.01,23.46,26.32,26.32,23.7,18.59,18.07,20.47,17.24,50.51,41.59,41.53,46.79,29.73,31.5,30.73,26.32,28.55,22.0,14.42,14.64,22.36,22.36,26.4,15.8,28.33,23.67,63.07692307692307%,22.727272727272727%
315,2012-04-14,15:00,Gloucester,20,Newcastle,29,Kingsholm,Tim Wigglesworth,49,A,Sat,Apr,2012,2011-12,25.53,20.79,46.32,26.81,22.83,22.71,26.32,26.32,23.7,18.33,18.7,20.47,17.24,50.51,41.17,41.41,46.79,29.73,23.64,25.18,26.32,28.55,22.0,18.2,16.55,22.36,22.36,27.2,20.8,28.33,23.67,63.07692307692307%,22.727272727272727%
316,2014-03-22,15:00,Gloucester,40,Newcastle,33,Kingsholm,Wayne Barnes,73,H,Sat,Mar,2014,2013-14,25.53,20.79,46.32,25.91,25.03,22.18,26.32,26.32,20.79,20.78,19.22,20.47,17.24,46.7,45.81,41.4,46.79,24.86,24.64,21.91,26.32,28.55,17.54,18.2,13.27,22.36,22.36,18.4,21.8,28.33,23.67,63.07692307692307%,22.727272727272727%
317,2015-04-25,15:00,Gloucester,42,Newcastle,40,Kingsholm,Ian Tempest,82,H,Sat,Apr,2015,2014-15,25.53,20.79,46.32,26.81,25.84,27.21,26.32,26.32,23.7,20.54,20.83,20.47,17.24,50.51,46.38,48.04,46.79,29.73,30.5,29.55,26.32,28.55,22.0,21.5,21.18,22.36,22.36,28.8,27.0,28.33,23.67,63.07692307692307%,22.727272727272727%
318,2016-02-27,15:00,Gloucester,32,Newcastle,6,Kingsholm,Dean Richards,38,H,Sat,Feb,2016,2015-16,25.53,20.79,46.32,24.06,24.56,23.9,26.32,26.32,19.15,19.5,19.54,20.47,17.24,43.21,44.06,43.44,46.79,26.11,21.38,20.73,26.32,28.55,15.47,13.08,15.0,22.36,22.36,24.0,16.0,28.33,23.67,63.07692307692307%,22.727272727272727%
319,2016-09-24,15:00,Gloucester,13,Newcastle,18,Kingsholm,David Sainsbury,31,A,Sat,Sep,2016,2016-17,25.53,20.79,46.32,27.03,24.56,26.22,26.32,26.32,22.25,19.5,21.22,20.47,17.24,49.28,44.06,47.44,46.79,25.19,21.38,26.91,26.32,28.55,18.0,13.08,14.82,22.36,22.36,18.4,20.4,28.33,23.67,63.07692307692307%,22.727272727272727%
320,2018-03-03,15:00,Gloucester,20,Newcastle,21,Kingsholm,Craig Maxwell-Keys,41,A,Sat,Mar,2018,2017-18,25.53,20.79,46.32,25.91,26.3,26.46,26.32,26.32,20.79,22.3,22.11,20.47,17.24,46.7,48.6,48.57,46.79,24.86,27.27,26.27,26.32,28.55,17.54,17.42,18.25,22.36,22.36,26.2,18.0,28.33,23.67,63.07692307692307%,22.727272727272727%
321,2019-05-04,15:00,Gloucester,28,Newcastle,19,Kingsholm,Thomas Foley,47,H,Sat,May,2019,2018-19,25.53,20.79,46.32,29.94,25.38,26.84,26.32,26.32,22.83,20.14,21.13,20.47,17.24,52.77,45.52,47.97,46.79,34.14,26.12,28.18,26.32,28.55,19.11,16.2,17.73,22.36,22.36,24.6,21.6,28.33,23.67,63.07692307692307%,22.727272727272727%
322,2021-04-24,15:00,Gloucester,35,Newcastle,24,Kingsholm,N/A,59,H,Sat,Apr,2021,2020-21,25.53,20.79,46.32,26.81,27.48,26.85,26.32,26.32,23.7,23.14,22.77,20.47,17.24,50.51,50.62,49.62,46.79,29.73,25.0,26.1,26.32,28.55,22.0,18.25,18.44,22.36,22.36,22.6,20.2,28.33,23.67,63.07692307692307%,22.727272727272727%
323,2021-10-23,15:00,Gloucester,29,Newcastle,20,Kingsholm,Wayne Barnes,49,H,Sat,Oct,2021,2021-22,25.53,20.79,46.32,24.99,27.48,27.83,26.32,26.32,20.42,23.14,23.63,20.47,17.24,45.42,50.62,51.46,46.79,24.06,25.0,31.18,26.32,28.55,15.71,18.25,21.0,22.36,22.36,31.6,27.0,28.33,23.67,63.07692307692307%,22.727272727272727%
324,2022-11-12,15:00,Gloucester,21,Newcastle,27,Kingsholm,Anthony Woodthorpe,48,A,Sat,Nov,2022,2022-23,25.53,20.79,46.32,22.73,28.22,28.32,26.32,26.32,18.47,24.39,25.77,20.47,17.24,41.2,52.61,54.09,46.79,24.33,33.27,30.2,26.32,28.55,13.77,21.17,20.2,22.36,22.36,42.8,15.6,28.33,23.67,63.07692307692307%,22.727272727272727%
325,2011-05-07,15:00,Bath,42,Newcastle,12,Recreation Ground,Wayne Barnes,54,H,Sat,May,2011,2010-11,25.53,20.79,46.32,29.94,23.01,23.46,23.49,24.21,22.83,18.59,18.07,21.09,17.24,52.77,41.59,41.53,44.58,33.73,22.55,20.0,23.49,28.5,19.11,14.42,14.64,18.0,16.5,21.0,18.2,18.33,17.33,62.96296296296296%,22.727272727272727%
326,2012-02-11,14:15,Bath,30,Newcastle,24,Recreation Ground,Dean Richards,54,H,Sat,Feb,2012,2011-12,25.53,20.79,46.32,24.06,22.83,22.71,23.49,24.21,19.15,18.33,18.7,21.09,17.24,43.21,41.17,41.41,44.58,23.9,20.75,21.0,23.49,28.5,15.47,18.2,16.55,18.0,16.5,21.0,17.8,18.33,17.33,62.96296296296296%,22.727272727272727%
327,2014-02-08,15:00,Bath,24,Newcastle,6,The Recreation Ground,Tim Wigglesworth,30,H,Sat,Feb,2014,2013-14,25.53,20.79,46.32,24.06,25.03,22.18,25.84,24.21,19.15,20.78,19.22,17.8,17.24,43.21,45.81,41.4,43.64,23.9,27.17,21.64,25.84,28.5,15.47,18.2,13.27,13.0,16.5,22.0,14.0,18.33,17.33,62.96296296296296%,22.727272727272727%
328,2014-11-15,17:00,Bath,23,Newcastle,14,The Recreation Ground,Ian Tempest,37,H,Sat,Nov,2014,2014-15,25.53,20.79,46.32,22.73,25.03,27.21,25.84,24.21,18.47,20.78,20.83,17.8,17.24,41.2,45.81,48.04,43.64,19.0,27.17,32.15,25.84,28.5,13.77,18.2,21.18,13.0,16.5,34.0,15.2,18.33,17.33,62.96296296296296%,22.727272727272727%
329,2016-03-18,19:45,Bath,21,Newcastle,19,The Recreation Ground,Tim Wigglesworth,40,H,Fri,Mar,2016,2015-16,25.53,20.79,46.32,25.91,24.56,23.9,25.84,24.21,20.79,19.5,19.54,17.8,17.24,46.7,44.06,43.44,43.64,21.39,24.69,21.27,25.84,28.5,17.54,13.08,15.0,13.0,16.5,17.2,16.6,18.33,17.33,62.96296296296296%,22.727272727272727%
330,2016-09-10,15:00,Bath,58,Newcastle,5,Recreation Ground,Ian Tempest,63,H,Sat,Sep,2016,2016-17,25.53,20.79,46.32,27.03,24.56,26.22,23.49,24.21,22.25,19.5,21.22,21.09,17.24,49.28,44.06,47.44,44.58,30.64,24.69,26.73,23.49,28.5,18.0,13.08,14.82,18.0,16.5,25.2,23.8,18.33,17.33,62.96296296296296%,22.727272727272727%
331,2017-09-23,15:00,Bath,32,Newcastle,33,Recreation Ground,Craig Maxwell-Keys,65,A,Sat,Sep,2017,2017-18,25.53,20.79,46.32,27.03,27.61,26.46,23.49,24.21,22.25,21.88,22.11,21.09,17.24,49.28,49.49,48.57,44.58,30.64,27.73,31.09,23.49,28.5,18.0,20.09,18.25,18.0,16.5,25.4,19.6,18.33,17.33,62.96296296296296%,22.727272727272727%
332,2019-02-16,15:00,Bath,30,Newcastle,13,Recreation Ground,JP Doyle,43,H,Sat,Feb,2019,2018-19,25.53,20.79,46.32,24.06,25.38,26.84,23.49,24.21,19.15,20.14,21.13,21.09,17.24,43.21,45.52,47.97,44.58,23.9,21.67,23.82,23.49,28.5,15.47,16.2,17.73,18.0,16.5,19.8,18.0,18.33,17.33,62.96296296296296%,22.727272727272727%
333,2020-11-21,12:30,Bath,12,Newcastle,19,Recreation Ground,Craig Maxwell-Keys,31,A,Sat,Nov,2020,2020-21,25.53,20.79,46.32,22.73,26.97,26.85,23.49,24.21,18.47,21.69,22.77,21.09,17.24,41.2,48.65,49.62,44.58,19.0,23.12,24.1,23.49,28.5,13.77,23.0,18.44,18.0,16.5,28.2,19.6,18.33,17.33,62.96296296296296%,22.727272727272727%
334,2021-09-25,15:00,Bath,13,Newcastle,20,Recreation Ground,Craig Maxwell-Keys,33,A,Sat,Sep,2021,2021-22,25.53,20.79,46.32,27.03,27.48,27.83,23.49,24.21,22.25,23.14,23.63,21.09,17.24,49.28,50.62,51.46,44.58,30.64,22.29,21.42,23.49,28.5,18.0,18.25,21.0,18.0,16.5,27.6,26.0,18.33,17.33,62.96296296296296%,22.727272727272727%
335,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Mon,Dec,2011,2011-12,25.53,20.79,46.32,24.03,23.01,22.71,21.29,24.15,19.75,18.59,18.7,22.81,17.24,43.78,41.59,41.41,44.1,23.0,21.62,21.0,21.29,24.9,16.5,14.42,16.55,18.5,18.2,21.6,25.0,28.67,16.67,66.9172932330827%,22.727272727272727%
336,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Fri,Sep,2013,2013-14,25.53,20.79,46.32,27.03,23.78,22.18,19.32,24.15,22.25,18.95,19.22,18.77,17.24,49.28,42.72,41.4,38.09,24.86,20.45,18.45,19.32,24.9,18.0,7.17,13.27,15.0,18.2,21.8,17.6,28.67,16.67,66.9172932330827%,22.727272727272727%
337,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,Sat,May,2015,2014-15,25.53,20.79,46.32,29.94,25.84,27.21,25.97,24.15,22.83,20.54,20.83,18.3,17.24,52.77,46.38,48.04,44.27,24.56,22.0,26.27,25.97,24.9,19.11,21.5,21.18,18.57,18.2,22.0,16.0,28.67,16.67,66.9172932330827%,22.727272727272727%
338,2015-11-28,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,Sat,Nov,2015,2015-16,25.53,20.79,46.32,22.73,25.84,23.9,25.97,24.15,18.47,20.54,19.54,18.3,17.24,41.2,46.38,43.44,44.27,22.0,22.0,24.55,25.97,24.9,13.77,21.5,15.0,18.57,18.2,25.4,17.0,28.67,16.67,66.9172932330827%,22.727272727272727%
339,2017-02-10,20:15,Sale,26,Newcastle,24,AJ Bell Stadium,Craig Maxwell-Keys,50,H,Fri,Feb,2017,2016-17,25.53,20.79,46.32,24.06,27.61,26.22,25.97,24.15,19.15,21.88,21.22,18.3,17.24,43.21,49.49,47.44,44.27,23.26,26.58,21.82,25.97,24.9,15.47,20.09,14.82,18.57,18.2,17.2,25.8,28.67,16.67,66.9172932330827%,22.727272727272727%
340,2017-09-08,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,Andrew Jackson,25,A,Fri,Sep,2017,2017-18,25.53,20.79,46.32,27.03,27.61,26.46,25.97,24.15,22.25,21.88,22.11,18.3,17.24,49.28,49.49,48.57,44.27,24.86,26.58,26.64,25.97,24.9,18.0,20.09,18.25,18.57,18.2,27.0,26.8,28.67,16.67,66.9172932330827%,22.727272727272727%
341,2018-10-06,15:00,Sale,20,Newcastle,7,AJ Bell Stadium,Tom Foley,27,H,Sat,Oct,2018,2018-19,25.53,20.79,46.32,24.99,26.3,26.84,25.97,24.15,20.42,22.3,21.13,18.3,17.24,45.42,48.6,47.97,44.27,20.38,23.1,22.64,25.97,24.9,15.71,17.42,17.73,18.57,18.2,26.6,26.6,28.67,16.67,66.9172932330827%,22.727272727272727%
342,2021-03-05,20:00,Sale,31,Newcastle,16,AJ Bell Stadium,Andrew Jackson,47,H,Fri,Mar,2021,2020-21,25.53,20.79,46.32,25.91,27.48,26.85,25.97,24.15,20.79,23.14,22.77,18.3,17.24,46.7,50.62,49.62,44.27,25.93,26.92,28.36,25.97,24.9,17.54,18.25,18.44,18.57,18.2,24.4,21.8,28.67,16.67,66.9172932330827%,22.727272727272727%
343,2022-04-29,19:45,Sale,35,Newcastle,27,AJ Bell Stadium,Jack Makepeace,62,H,Fri,Apr,2022,2021-22,25.53,20.79,46.32,26.81,28.22,27.83,25.97,24.15,23.7,24.39,23.63,18.3,17.24,50.51,52.61,51.46,44.27,23.31,28.43,27.67,25.97,24.9,22.0,21.17,21.0,18.57,18.2,27.2,21.4,28.67,16.67,66.9172932330827%,22.727272727272727%
344,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,N/A,27,A,Sun,Feb,2011,2010-11,25.53,20.79,46.32,24.06,23.01,23.46,12.73,12.73,19.15,18.59,18.07,21.18,17.24,43.21,41.59,41.53,33.91,7.0,14.14,12.73,12.73,5.0,15.47,14.42,14.64,22.0,22.0,9.8,15.4,5.0,22.0,33.33333333333333%,22.727272727272727%
345,2012-03-23,19:45,Worcester,19,Newcastle,9,Sixways,N/A,28,H,Fri,Mar,2012,2011-12,25.53,20.79,46.32,25.91,22.83,22.71,20.93,20.93,20.79,18.33,18.7,23.23,17.24,46.7,41.17,41.41,44.15,21.15,20.0,16.64,20.93,20.62,17.54,18.2,16.55,17.5,17.5,15.6,15.8,23.0,24.33,41.904761904761905%,22.727272727272727%
346,2013-10-05,15:00,Worcester,11,Newcastle,16,Sixways,Martin Fox,27,A,Sat,Oct,2013,2013-14,25.53,20.79,46.32,24.99,23.78,22.18,20.93,20.93,20.42,18.95,19.22,23.23,17.24,45.42,42.72,41.4,44.15,19.9,15.55,15.64,20.93,20.62,15.71,7.17,13.27,17.5,17.5,20.8,29.2,23.0,24.33,41.904761904761905%,22.727272727272727%
347,2015-11-07,15:00,Worcester,28,Newcastle,20,Sixways,JP Doyle,48,H,Sat,Nov,2015,2015-16,25.53,20.79,46.32,22.73,25.84,23.9,20.93,20.93,18.47,20.54,19.54,23.23,17.24,41.2,46.38,43.44,44.15,17.27,20.33,21.36,20.93,20.62,13.77,21.5,15.0,17.5,17.5,19.4,22.8,23.0,24.33,41.904761904761905%,22.727272727272727%
348,2016-10-02,15:00,Worcester,11,Newcastle,9,Sixways,Tom Foley,20,H,Sun,Oct,2016,2016-17,25.53,20.79,46.32,24.99,24.56,26.22,20.93,20.93,20.42,19.5,21.22,23.23,17.24,45.42,44.06,47.44,44.15,19.9,20.85,24.18,20.93,20.62,15.71,13.08,14.82,17.5,17.5,24.6,32.0,23.0,24.33,41.904761904761905%,22.727272727272727%
349,2018-04-07,15:00,Worcester,27,Newcastle,13,Sixways,Christophe Ridley,40,H,Sat,Apr,2018,2017-18,25.53,20.79,46.32,26.81,26.3,26.46,20.93,20.93,23.7,22.3,22.11,23.23,17.24,50.51,48.6,48.57,44.15,27.38,24.4,19.64,20.93,20.62,22.0,17.42,18.25,17.5,17.5,18.4,24.2,23.0,24.33,41.904761904761905%,22.727272727272727%
350,2018-09-15,15:00,Worcester,20,Newcastle,23,Sixways,Wayne Barnes,43,A,Sat,Sep,2018,2018-19,25.53,20.79,46.32,27.03,26.3,26.84,20.93,20.93,22.25,22.3,21.13,23.23,17.24,49.28,48.6,47.97,44.15,20.9,24.4,25.73,20.93,20.62,18.0,17.42,17.73,17.5,17.5,24.2,19.2,23.0,24.33,41.904761904761905%,22.727272727272727%
351,2022-04-02,15:00,Worcester,10,Newcastle,45,Sixways,Adam Leal,55,A,Sat,Apr,2022,2021-22,25.53,20.79,46.32,26.81,28.22,27.83,20.93,20.93,23.7,24.39,23.63,23.23,17.24,50.51,52.61,51.46,44.15,27.38,24.11,23.17,20.93,20.62,22.0,21.17,21.0,17.5,17.5,24.0,26.8,23.0,24.33,41.904761904761905%,22.727272727272727%
352,2022-09-24,15:00,Worcester,39,Newcastle,5,Sixways,Adam Leal,44,H,Sat,Sep,2022,2022-23,25.53,20.79,46.32,27.03,28.22,28.32,20.93,20.93,22.25,24.39,25.77,23.23,17.24,49.28,52.61,54.09,44.15,20.9,24.11,30.0,20.93,20.62,18.0,21.17,20.2,17.5,17.5,25.0,35.4,23.0,24.33,41.904761904761905%,22.727272727272727%
353,2014-10-11,14:30,London Welsh,3,Newcastle,23,Kassam Stadium,Wayne Barnes,26,A,Sat,Oct,2014,2014-15,25.53,20.79,46.32,24.99,25.03,27.21,15.59,15.59,20.42,20.78,20.83,33.45,17.24,45.42,45.81,48.04,49.05,13.0,6.4,10.27,15.59,3.0,15.71,18.2,21.18,23.0,23.0,16.4,35.4,3.0,23.0,11.76470588235294%,22.727272727272727%
354,2017-05-06,16:00,Bristol,27,Newcastle,39,Ashton Gate,Luke Pearce,66,A,Sat,May,2017,2016-17,25.53,20.79,46.32,29.94,27.61,26.22,25.15,25.15,22.83,21.88,21.22,23.48,17.24,52.77,49.49,47.44,48.63,31.5,16.4,15.09,25.15,32.0,19.11,20.09,14.82,26.25,26.25,16.6,28.2,33.67,22.0,60.0%,22.727272727272727%
355,2018-12-30,15:00,Bristol,35,Newcastle,28,Ashton Gate,Wayne Barnes,63,H,Sun,Dec,2018,2018-19,25.53,20.79,46.32,24.03,26.3,26.84,25.15,25.15,19.75,22.3,21.13,23.48,17.24,43.78,48.6,47.97,48.63,27.75,30.33,27.27,25.15,32.0,16.5,17.42,17.73,26.25,26.25,29.4,21.8,33.67,22.0,60.0%,22.727272727272727%
356,2021-01-01,15:00,Bristol,29,Newcastle,17,Ashton Gate,Christophe Ridley,46,H,Fri,Jan,2021,2020-21,25.53,20.79,46.32,23.57,27.48,26.85,25.15,25.15,19.12,23.14,22.77,23.48,17.24,42.69,50.62,49.62,48.63,35.75,25.92,27.8,25.15,32.0,16.83,18.25,18.44,26.25,26.25,31.4,13.6,33.67,22.0,60.0%,22.727272727272727%
357,2022-02-05,14:00,Bristol,37,Newcastle,21,Ashton Gate,Matthew Carley,58,H,Sat,Feb,2022,2021-22,25.53,20.79,46.32,24.06,28.22,27.83,25.15,25.15,19.15,24.39,23.63,23.48,17.24,43.21,52.61,51.46,48.63,20.56,29.25,28.08,25.15,32.0,15.47,21.17,21.0,26.25,26.25,26.0,20.8,33.67,22.0,60.0%,22.727272727272727%
358,2011-04-03,15:00,Saracens,20,Bath,9,Vicarage Road,Nigel Owens,29,H,Sun,Apr,2011,2010-11,25.53,20.79,46.32,26.81,23.01,23.46,23.61,31.18,23.7,18.59,18.07,13.57,20.11,50.51,41.59,41.53,37.17,31.45,21.64,22.33,23.61,32.58,18.06,17.62,18.82,14.0,15.83,22.8,7.0,31.33,17.0,85.38461538461539%,36.15384615384615%
359,2012-01-08,15:00,Saracens,26,Bath,19,Vicarage Road,N/A,45,H,Sun,Jan,2012,2011-12,25.53,20.79,46.32,23.57,22.83,22.71,23.61,31.18,19.12,18.33,18.7,13.57,20.11,42.69,41.17,41.41,37.17,25.1,23.64,21.18,23.61,32.58,19.77,12.55,12.18,14.0,15.83,19.2,9.4,31.33,17.0,85.38461538461539%,36.15384615384615%
360,2013-05-04,15:00,Saracens,23,Bath,14,Allianz Park,Martin Fox,37,H,Sat,May,2013,2012-13,25.53,20.79,46.32,29.94,23.78,24.81,32.22,31.18,22.83,18.95,19.37,16.42,20.11,52.77,42.72,44.19,48.64,34.73,31.92,27.58,32.22,32.58,21.29,18.09,14.82,16.0,15.83,34.4,13.2,31.33,17.0,85.38461538461539%,36.15384615384615%
361,2013-09-22,14:00,Saracens,31,Bath,17,Allianz Park,JP Doyle,48,H,Sun,Sep,2013,2013-14,25.53,20.79,46.32,27.03,23.78,22.18,32.22,31.18,22.25,18.95,19.22,16.42,20.11,49.28,42.72,41.4,48.64,33.6,31.92,32.08,32.22,32.58,23.1,18.09,23.36,16.0,15.83,30.8,16.4,31.33,17.0,85.38461538461539%,36.15384615384615%
362,2015-02-15,13:00,Saracens,34,Bath,24,Allianz Park,Luke Pearce,58,H,Sun,Feb,2015,2014-15,25.53,20.79,46.32,24.06,25.84,27.21,32.22,31.18,19.15,20.54,20.83,16.42,20.11,43.21,46.38,48.04,48.64,26.94,30.56,33.27,32.22,32.58,18.56,20.89,24.55,16.0,15.83,38.4,16.8,31.33,17.0,85.38461538461539%,36.15384615384615%
363,2016-01-30,15:15,Saracens,19,Bath,13,Allianz Park,Dean Richards,32,H,Sat,Jan,2016,2015-16,25.53,20.79,46.32,23.57,24.56,23.9,32.22,31.18,19.12,19.5,19.54,16.42,20.11,42.69,44.06,43.44,48.64,25.1,26.38,28.77,32.22,32.58,19.77,17.29,18.27,16.0,15.83,31.8,13.0,31.33,17.0,85.38461538461539%,36.15384615384615%
364,2017-03-26,15:00,Saracens,53,Bath,10,Allianz Park,Wayne Barnes,63,H,Sun,Mar,2017,2016-17,25.53,20.79,46.32,25.91,27.61,26.22,32.22,31.18,20.79,21.88,21.22,16.42,20.11,46.7,49.49,47.44,48.64,30.0,36.73,29.36,32.22,32.58,21.15,18.55,17.45,16.0,15.83,22.2,13.4,31.33,17.0,85.38461538461539%,36.15384615384615%
