,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,24.62,19.88,44.5,25.78,23.75,23.46,21.29,22.55,20.73,18.05,18.07,22.81,16.27,46.51,41.8,41.53,44.1,26.2,22.5,21.45,21.29,23.29,17.0,15.8,14.64,18.5,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,24.62,19.88,44.5,23.29,23.01,22.71,21.29,22.55,19.01,18.59,18.7,22.81,16.27,42.3,41.59,41.41,44.1,22.57,21.62,21.0,21.29,23.29,12.71,14.42,16.55,18.5,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
2,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Sep,2013,2013-14,24.62,19.88,44.5,25.78,23.78,22.18,19.32,22.55,20.73,18.95,19.22,18.77,16.27,46.51,42.72,41.4,38.09,26.2,20.45,18.45,19.32,23.29,17.0,7.17,13.27,15.0,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
3,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,May,2015,2014-15,24.62,19.88,44.5,29.58,25.84,27.21,24.82,22.55,22.75,20.54,20.83,18.84,16.27,52.33,46.38,48.04,43.66,21.17,22.0,26.27,24.82,23.29,21.43,21.5,21.18,20.0,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
4,2015-11-28,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,Nov,2015,2015-16,24.62,19.88,44.5,21.74,25.84,23.9,24.82,22.55,18.09,20.54,19.54,18.84,16.27,39.83,46.38,43.44,43.66,19.45,22.0,24.55,24.82,23.29,12.33,21.5,15.0,20.0,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
5,2017-02-10,20:15,Sale,26,Newcastle,24,AJ Bell Stadium,Craig Maxwell-Keys,50,H,Feb,2017,2016-17,24.62,19.88,44.5,22.96,27.61,26.22,24.82,22.55,18.86,21.88,21.22,18.84,16.27,41.82,49.49,47.44,43.66,21.14,26.58,21.82,24.82,23.29,15.14,20.09,14.82,20.0,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
6,2017-09-08,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,Andrew Jackson,25,A,Sep,2017,2017-18,24.62,19.88,44.5,25.78,27.61,26.46,24.82,22.55,20.73,21.88,22.11,18.84,16.27,46.51,49.49,48.57,43.66,26.2,26.58,26.64,24.82,23.29,17.0,20.09,18.25,20.0,18.86,26.4,18.4,17.67,17.33,60.22727272727273%,20.51282051282051%
7,2010-09-18,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,Sep,2010,2010-11,24.62,19.88,44.5,25.78,23.75,23.46,26.38,26.21,20.73,18.05,18.07,16.71,16.27,46.51,41.8,41.53,43.1,26.14,18.4,18.09,26.38,31.75,17.0,15.8,14.64,14.0,14.0,30.0,18.4,35.33,14.33,69.56521739130434%,20.51282051282051%
8,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,Sep,2011,2011-12,24.62,19.88,44.5,25.78,23.01,22.71,26.38,26.21,20.73,18.59,18.7,16.71,16.27,46.51,41.59,41.41,43.1,26.14,18.0,18.82,26.38,31.75,17.0,14.42,16.55,14.0,14.0,30.0,18.4,35.33,14.33,69.56521739130434%,20.51282051282051%
9,2013-12-21,15:00,Exeter,16,Newcastle,3,Sandy Park,Greg Garner,19,H,Dec,2013,2013-14,24.62,19.88,44.5,23.29,23.78,22.18,26.38,26.21,19.01,18.95,19.22,16.71,16.27,42.3,42.72,41.4,43.1,24.22,24.6,19.55,26.38,31.75,12.71,7.17,13.27,14.0,14.0,30.0,18.4,35.33,14.33,69.56521739130434%,20.51282051282051%
