,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,25.17,20.29,45.47,26.74,23.75,23.46,21.29,23.68,21.72,18.05,18.07,22.81,16.63,48.46,41.8,41.53,44.1,24.89,22.5,21.45,21.29,23.78,18.57,15.8,14.64,18.5,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,25.17,20.29,45.47,23.25,23.01,22.71,21.29,23.68,19.41,18.59,18.7,22.81,16.63,42.66,41.59,41.41,44.1,23.0,21.62,21.0,21.29,23.78,16.0,14.42,16.55,18.5,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
2,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Sep,2013,2013-14,25.17,20.29,45.47,26.74,23.78,22.18,19.32,23.68,21.72,18.95,19.22,18.77,16.63,48.46,42.72,41.4,38.09,24.89,20.45,18.45,19.32,23.78,18.57,7.17,13.27,15.0,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
3,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,May,2015,2014-15,25.17,20.29,45.47,30.09,25.84,27.21,25.66,23.68,22.45,20.54,20.83,17.83,16.63,52.55,46.38,48.04,43.49,24.56,22.0,26.27,25.66,23.78,19.11,21.5,21.18,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
4,2015-11-28,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,Nov,2015,2015-16,25.17,20.29,45.47,22.5,25.84,23.9,25.66,23.68,17.93,20.54,19.54,17.83,16.63,40.43,46.38,43.44,43.49,20.86,22.0,24.55,25.66,23.78,12.45,21.5,15.0,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
5,2017-02-10,20:15,Sale,26,Newcastle,24,AJ Bell Stadium,Craig Maxwell-Keys,50,H,Feb,2017,2016-17,25.17,20.29,45.47,23.6,27.61,26.22,25.66,23.68,18.8,21.88,21.22,17.83,16.63,42.4,49.49,47.44,43.49,22.29,26.58,21.82,25.66,23.78,15.12,20.09,14.82,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
6,2017-09-08,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,Andrew Jackson,25,A,Sep,2017,2017-18,25.17,20.29,45.47,26.74,27.61,26.46,25.66,23.68,21.72,21.88,22.11,17.83,16.63,48.46,49.49,48.57,43.49,24.89,26.58,26.64,25.66,23.78,18.57,20.09,18.25,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
7,2018-10-06,15:00,Sale,20,Newcastle,7,AJ Bell Stadium,Tom Foley,27,H,Oct,2018,2018-19,25.17,20.29,45.47,24.07,26.3,26.84,25.66,23.68,18.5,22.3,21.13,17.83,16.63,42.57,48.6,47.97,43.49,18.64,23.1,22.64,25.66,23.78,13.27,17.42,17.73,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
8,2021-03-05,20:00,Sale,31,Newcastle,16,AJ Bell Stadium,Andrew Jackson,47,H,Mar,2021,2020-21,25.17,20.29,45.47,25.65,27.56,26.85,25.66,23.68,20.35,22.72,22.77,17.83,16.63,45.99,50.28,49.62,43.49,25.93,28.56,28.36,25.66,23.78,17.64,17.14,18.44,17.17,17.22,31.8,16.2,21.0,12.0,65.0%,21.428571428571427%
9,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Jan,2011,2010-11,25.17,20.29,45.47,24.03,23.01,23.46,23.95,27.88,18.92,18.59,18.07,20.6,16.63,42.95,41.59,41.53,44.56,25.0,23.64,25.82,23.95,26.44,20.2,14.42,14.64,21.5,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
10,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,May,2012,2011-12,25.17,20.29,45.47,30.09,22.83,22.71,23.95,27.88,22.45,18.33,18.7,20.6,16.63,52.55,41.17,41.41,44.56,27.38,20.33,17.45,23.95,26.44,19.11,18.2,16.55,21.5,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
11,2014-05-03,15:00,Wasps,44,Newcastle,38,Adams Park,Dean Richards,82,H,May,2014,2013-14,25.17,20.29,45.47,30.09,25.03,22.18,23.95,27.88,22.45,20.78,19.22,20.6,16.63,52.55,45.81,41.4,44.56,27.38,32.82,22.45,23.95,26.44,19.11,18.2,13.27,21.5,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
12,2014-09-28,14:00,Wasps,35,Newcastle,18,Adams Park,Dean Richards,53,H,Sep,2014,2014-15,25.17,20.29,45.47,26.74,25.03,27.21,23.95,27.88,21.72,20.78,20.83,20.6,16.63,48.46,45.81,48.04,44.56,36.39,32.82,35.18,23.95,26.44,18.57,18.2,21.18,21.5,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
13,2016-02-06,14:00,Wasps,9,Newcastle,8,Ricoh Arena,Craig Maxwell-Keys,17,H,Feb,2016,2015-16,25.17,20.29,45.47,23.6,24.56,23.9,30.23,27.88,18.8,19.5,19.54,21.71,16.63,42.4,44.06,43.44,51.93,23.13,37.21,27.82,30.23,26.44,15.12,13.08,15.0,14.2,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
14,2016-10-30,14:30,Wasps,31,Newcastle,6,Ricoh Arena,Craig Maxwell-Keys,37,H,Oct,2016,2016-17,25.17,20.29,45.47,24.07,24.56,26.22,30.23,27.88,18.5,19.5,21.22,21.71,16.63,42.57,44.06,47.44,51.93,26.43,37.21,36.0,30.23,26.44,13.27,13.08,14.82,14.2,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
15,2017-11-18,17:15,Wasps,40,Newcastle,10,Ricoh Arena,Matthew O'Grady,50,H,Nov,2017,2017-18,25.17,20.29,45.47,22.5,27.61,26.46,30.23,27.88,17.93,21.88,22.11,21.71,16.63,40.43,49.49,48.57,51.93,28.91,30.55,29.0,30.23,26.44,12.45,20.09,18.25,14.2,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
16,2019-03-09,14:00,Wasps,19,Newcastle,20,Ricoh Arena,Thomas Foley,39,A,Mar,2019,2018-19,25.17,20.29,45.47,25.65,25.38,26.84,30.23,27.88,20.35,20.14,21.13,21.71,16.63,45.99,45.52,47.97,51.93,25.56,23.44,24.73,30.23,26.44,17.64,16.2,17.73,14.2,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
17,2020-12-05,15:00,Wasps,17,Newcastle,27,Ricoh Arena,Andrew Jackson,44,A,Dec,2020,2020-21,25.17,20.29,45.47,23.25,26.97,26.85,30.23,27.88,19.41,21.69,22.77,21.71,16.63,42.66,48.65,49.62,51.93,26.54,38.09,22.64,30.23,26.44,16.0,23.0,18.44,14.2,17.44,26.2,16.2,25.33,19.0,62.601626016260155%,21.428571428571427%
18,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,N/A,37,H,Feb,2011,2010-11,25.17,20.29,45.47,23.6,23.01,23.46,23.59,23.2,18.8,18.59,18.07,24.28,16.63,42.4,41.59,41.53,47.87,21.21,26.67,26.82,23.59,28.14,15.12,14.42,14.64,18.5,19.0,25.0,16.2,22.0,19.0,41.83673469387755%,21.428571428571427%
19,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,N/A,75,H,Sep,2011,2011-12,25.17,20.29,45.47,26.74,23.01,22.71,23.59,23.2,21.72,18.59,18.7,24.28,16.63,48.46,41.59,41.41,47.87,27.14,26.67,29.18,23.59,28.14,18.57,14.42,16.55,18.5,19.0,25.0,16.2,22.0,19.0,41.83673469387755%,21.428571428571427%
20,2014-04-13,15:00,London Irish,40,Newcastle,12,Madejski Stadium,Luke Pearce,52,H,Apr,2014,2013-14,25.17,20.29,45.47,26.4,25.03,22.18,23.59,23.2,23.35,20.78,19.22,24.28,16.63,49.75,45.81,41.4,47.87,23.1,21.55,20.73,23.59,28.14,19.2,18.2,13.27,18.5,19.0,25.0,16.2,22.0,19.0,41.83673469387755%,21.428571428571427%
21,2015-03-28,15:00,London Irish,22,Newcastle,21,Madejski Stadium,Greg Garner,43,H,Mar,2015,2014-15,25.17,20.29,45.47,25.65,25.84,27.21,23.59,23.2,20.35,20.54,20.83,24.28,16.63,45.99,46.38,48.04,47.87,27.08,21.22,21.45,23.59,28.14,17.64,21.5,21.18,18.5,19.0,25.0,16.2,22.0,19.0,41.83673469387755%,21.428571428571427%
22,2016-01-10,13:00,London Irish,20,Newcastle,15,Madejski Stadium,JP Doyle,35,H,Jan,2016,2015-16,25.17,20.29,45.47,24.03,24.56,23.9,23.59,23.2,18.92,19.5,19.54,24.28,16.63,42.95,44.06,43.44,47.87,24.86,19.14,18.55,23.59,28.14,20.2,13.08,15.0,18.5,19.0,25.0,16.2,22.0,19.0,41.83673469387755%,21.428571428571427%
