date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
03/Sep/2010,19:45,Sale Sharks,35,Newcastle Falcons,18,Edgeley Park,Dean Richards,53,H,N,Sep,2010,2010-11
04/Sep/2010,14:00,London Irish,33,Saracens,16,Twickenham,Andrew Small,49,H,N,Sep,2010,2010-11
04/Sep/2010,15:00,Exeter Chiefs,22,Gloucester,10,Sandy Park,Rob Debney,32,H,N,Sep,2010,2010-11
04/Sep/2010,16:30,Wasps,29,Harlequins,29,Twickenham,Chris White,58,D,N,Sep,2010,2010-11
05/Sep/2010,15:00,Leeds Carnegie,16,Bath,32,Headingley,N/A,48,A,N,Sep,2010,2010-11
05/Sep/2010,15:00,Northampton Saints,27,Leicester Tigers,19,Franklin’s Gardens,Dave Pearson,46,H,N,Sep,2010,2010-11
10/Sep/2010,20:00,Newcastle Falcons,29,Wasps,17,Kingston Park,N/A,46,H,N,Sep,2010,2010-11
11/Sep/2010,13:30,Harlequins,16,Northampton Saints,20,Twickenham Stoop,Andrew Small,36,A,N,Sep,2010,2010-11
11/Sep/2010,14:15,Bath,20,London Irish,13,Recreation Ground,Dave Pearson,33,H,N,Sep,2010,2010-11
11/Sep/2010,15:00,Gloucester,22,Leeds Carnegie,21,Kingsholm,N/A,43,H,N,Sep,2010,2010-11
11/Sep/2010,17:30,Leicester Tigers,37,Exeter Chiefs,27,Welford Road,Dean Richards,64,H,N,Sep,2010,2010-11
12/Sep/2010,14:15,Saracens,28,Sale Sharks,13,Vicarage Road,Wayne Barnes,41,H,N,Sep,2010,2010-11
17/Sep/2010,19:45,Northampton Saints,31,Bath,10,Franklin’s Gardens,Chris White,41,H,N,Sep,2010,2010-11
17/Sep/2010,19:45,Sale Sharks,21,Harlequins,17,Edgeley Park,Dave Pearson,38,H,N,Sep,2010,2010-11
18/Sep/2010,15:00,Exeter Chiefs,22,Newcastle Falcons,17,Sandy Park,Greg Garner,39,H,N,Sep,2010,2010-11
18/Sep/2010,15:05,Wasps,37,Leicester Tigers,30,Adams Park,Wayne Barnes,67,H,N,Sep,2010,2010-11
19/Sep/2010,15:00,London Irish,23,Gloucester,16,Madejski Stadium,Dean Richards,39,H,N,Sep,2010,2010-11
19/Sep/2010,15:00,Leeds Carnegie,14,Saracens,26,Headingley,Sean Davey,40,A,N,Sep,2010,2010-11
25/Sep/2010,14:15,Bath,31,Sale Sharks,16,Recreation Ground,N/A,47,H,N,Sep,2010,2010-11
25/Sep/2010,14:30,Gloucester,22,Wasps,20,Kingsholm,N/A,42,H,N,Sep,2010,2010-11
25/Sep/2010,15:00,Harlequins,40,Exeter Chiefs,13,Twickenham Stoop,N/A,53,H,N,Sep,2010,2010-11
25/Sep/2010,15:00,Leicester Tigers,48,Leeds Carnegie,6,Welford Road,N/A,54,H,N,Sep,2010,2010-11
25/Sep/2010,17:15,Newcastle Falcons,12,London Irish,46,Kingston Park,N/A,58,A,N,Sep,2010,2010-11
26/Sep/2010,15:00,Saracens,24,Northampton Saints,17,Vicarage Road,N/A,41,H,N,Sep,2010,2010-11
01/Oct/2010,19:45,Sale Sharks,24,Wasps,25,Edgeley Park,N/A,49,A,N,Oct,2010,2010-11
01/Oct/2010,20:05,Bath,3,Gloucester,18,Recreation Ground,N/A,21,A,N,Oct,2010,2010-11
02/Oct/2010,15:00,Harlequins,23,Newcastle Falcons,12,Twickenham Stoop,N/A,35,H,N,Oct,2010,2010-11
02/Oct/2010,15:00,London Irish,40,Leeds Carnegie,24,Madejski Stadium,N/A,64,H,N,Oct,2010,2010-11
02/Oct/2010,15:00,Northampton Saints,27,Exeter Chiefs,21,Franklin's Gardens,N/A,48,H,N,Oct,2010,2010-11
03/Oct/2010,16:30,Saracens,26,Leicester Tigers,20,Vicarage Road,N/A,46,H,N,Oct,2010,2010-11
22/Oct/2010,19:45,Leeds Carnegie,3,Sale Sharks,6,Headingley,N/A,9,A,N,Oct,2010,2010-11
22/Oct/2010,20:00,Newcastle Falcons,13,Saracens,15,Kingston Park,N/A,28,A,N,Oct,2010,2010-11
23/Oct/2010,14:30,Leicester Tigers,21,Bath,15,Welford Road,N/A,36,H,N,Oct,2010,2010-11
23/Oct/2010,15:00,Gloucester,33,Harlequins,26,Kingsholm,N/A,59,H,N,Oct,2010,2010-11
23/Oct/2010,17:15,Exeter Chiefs,9,London Irish,12,Sandy Park,N/A,21,A,N,Oct,2010,2010-11
