date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
18/Oct/2019,19:45,Bristol,43,Bath,16,Ashton Gate,Tom Foley,59,H,N,Oct,2019,2019-20
19/Oct/2019,15:00,Exeter Chiefs,22,Harlequins,19,Sandy Park,Christophe Ridley,41,H,N,Oct,2019,2019-20
19/Oct/2019,15:00,Saracens,25,Northampton Saints,27,Allianz Park,Ian Tempest,52,A,N,Oct,2019,2019-20
19/Oct/2019,15:00,Worcester Warriors,24,Leicester Tigers,16,Sixways,Craig Maxwell-Keys,40,H,N,Oct,2019,2019-20
19/Oct/2019,15:00,Sale Sharks,16,Gloucester,18,AJ Bell Stadium,Andrew Jackson,34,A,N,Oct,2019,2019-20
20/Oct/2019,15:00,Wasps,26,London Irish,29,Ricoh Arena,JP Doyle,55,A,N,Oct,2019,2019-20
25/Oct/2019,19:45,Bath,13,Exeter Chiefs,10,Recreation Ground,JP Doyle,23,H,N,Oct,2019,2019-20
26/Oct/2019,14:00,Northampton Saints,35,Worcester Warriors,16,Franklin's Gardens,Jack Makepeace,51,H,N,Oct,2019,2019-20
26/Oct/2019,15:00,London Irish,7,Sale Sharks,41,Madejski Stadium,Craig Maxwell-Keys,48,A,N,Oct,2019,2019-20
26/Oct/2019,15:00,Gloucester,25,Wasps,9,Kingsholm,Christophe Ridley,34,H,N,Oct,2019,2019-20
26/Oct/2019,15:00,Harlequins,22,Bristol,17,Twickenham Stoop,Ian Tempest,39,H,N,Oct,2019,2019-20
27/Oct/2019,15:00,Leicester Tigers,10,Saracens,24,Welford Road,Tom Foley,34,A,N,Oct,2019,2019-20
01/Nov/2019,19:45,Bristol,16,Sale Sharks,10,Ashton Gate,Christophe Ridley,26,H,N,Nov,2019,2019-20
01/Nov/2019,19:45,Northampton Saints,40,Harlequins,22,Franklin's Gardens,JP Doyle,62,H,N,Nov,2019,2019-20
02/Nov/2019,15:00,Wasps,30,Bath,22,Ricoh Arena,Anthony Woodthorpe,52,H,N,Nov,2019,2019-20
02/Nov/2019,15:00,Leicester Tigers,16,Gloucester,13,Welford Road,Ian Tempest,29,H,N,Nov,2019,2019-20
02/Nov/2019,15:00,Saracens,16,London Irish,13,Allianz Park,Adam Leal,29,H,N,Nov,2019,2019-20
03/Nov/2019,15:00,Worcester Warriors,20,Exeter Chiefs,24,Sixways,Tom Foley,44,A,N,Nov,2019,2019-20
08/Nov/2019,19:45,Sale Sharks,28,Wasps,18,AJ Bell Stadium,Tom Foley,46,H,N,Nov,2019,2019-20
09/Nov/2019,15:00,Bath,22,Northampton Saints,13,Recreation Ground,Ian Tempest,35,H,N,Nov,2019,2019-20
09/Nov/2019,15:00,Gloucester,12,Saracens,21,Kingsholm,Craig Maxwell-Keys,33,A,N,Nov,2019,2019-20
09/Nov/2019,15:00,Harlequins,14,Worcester Warriors,19,Twickenham Stoop,Matthew Carley,33,A,N,Nov,2019,2019-20
10/Nov/2019,14:30,London Irish,36,Leicester Tigers,11,Madejski Stadium,JP Doyle,47,H,N,Nov,2019,2019-20
10/Nov/2019,15:00,Exeter Chiefs,17,Bristol,20,Sandy Park,Karl Dickson,37,A,N,Nov,2019,2019-20
29/Nov/2019,19:45,Bath,12,Saracens,25,Recreation Ground,Karl Dickson,37,A,N,Nov,2019,2019-20
30/Nov/2019,15:00,Exeter Chiefs,38,Wasps,3,Sandy Park,Ian Tempest,41,H,N,Nov,2019,2019-20
30/Nov/2019,15:00,Northampton Saints,36,Leicester Tigers,13,Franklin's Gardens,Matthew Carley,49,H,N,Nov,2019,2019-20
30/Nov/2019,15:00,Worcester Warriors,20,Sale Sharks,13,Sixways,Luke Pearce,33,H,N,Nov,2019,2019-20
01/Dec/2019,15:00,Harlequins,23,Gloucester,19,Twickenham Stoop,Craig Maxwell-Keys,42,H,N,Dec,2019,2019-20
01/Dec/2019,15:00,Bristol,27,London Irish,27,Ashton Gate,Wayne Barnes,54,D,N,Dec,2019,2019-20
20/Dec/2019,19:45,Gloucester,36,Worcester Warriors,3,Kingsholm,Christophe Ridley,39,H,N,Dec,2019,2019-20
21/Dec/2019,15:00,Wasps,22,Harlequins,28,Ricoh Arena,Wayne Barnes,50,A,N,Dec,2019,2019-20
21/Dec/2019,15:00,Sale Sharks,22,Northampton Saints,10,AJ Bell Stadium,JP Doyle,32,H,N,Dec,2019,2019-20
21/Dec/2019,15:00,Leicester Tigers,22,Exeter Chiefs,31,Welford Road,Luke Pearce,53,A,N,Dec,2019,2019-20
21/Dec/2019,15:00,Saracens,47,Bristol,13,Allianz Park,Tom Foley,60,H,N,Dec,2019,2019-20
22/Dec/2019,15:00,London Irish,10,Bath,38,Madejski Stadium,Karl Dickson,48,A,N,Dec,2019,2019-20
27/Dec/2019,19:45,Bristol,21,Wasps,26,Ashton Gate,Luke Pearce,47,A,N,Dec,2019,2019-20
28/Dec/2019,14:00,Northampton Saints,33,Gloucester,26,Franklin's Gardens,Karl Dickson,59,H,N,Dec,2019,2019-20
28/Dec/2019,15:00,Bath,16,Sale Sharks,14,Recreation Ground,Craig Maxwell-Keys,30,H,N,Dec,2019,2019-20
28/Dec/2019,15:00,Worcester Warriors,20,London Irish,6,Sixways,Ian Tempest,26,H,N,Dec,2019,2019-20
28/Dec/2019,16:30,Harlequins,30,Leicester Tigers,30,Twickenham Stadium,Matthew Carley,60,D,N,Dec,2019,2019-20
29/Dec/2019,15:00,Exeter Chiefs,14,Saracens,7,Sandy Park,Wayne Barnes,21,H,N,Dec,2019,2019-20
03/Jan/2020,19:45,Sale Sharks,48,Harlequins,10,AJ Bell Stadium,Ian Tempest,58,H,N,Jan,2020,2019-20
04/Jan/2020,13:00,Leicester Tigers,31,Bristol,18,Welford Road,JP Doyle,49,H,N,Jan,2020,2019-20
04/Jan/2020,15:00,Gloucester,29,Bath,15,Kingsholm,Tom Foley,44,H,N,Jan,2020,2019-20
04/Jan/2020,15:00,Saracens,62,Worcester Warriors,5,Allianz Park,Craig Maxwell-Keys,67,H,N,Jan,2020,2019-20
05/Jan/2020,14:30,London Irish,28,Exeter Chiefs,45,Madejski Stadium,Christophe Ridley,73,A,N,Jan,2020,2019-20
05/Jan/2020,15:00,Wasps,31,Northampton Saints,35,Ricoh Arena,Matthew Carley,66,A,N,Jan,2020,2019-20
24/Jan/2020,19:45,Northampton Saints,16,London Irish,20,Franklin's Gardens,Tom Foley,36,A,N,Jan,2020,2019-20
25/Jan/2020,15:00,Bath,13,Leicester Tigers,10,Recreation Ground,Wayne Barnes,23,H,N,Jan,2020,2019-20
25/Jan/2020,15:00,Bristol,34,Gloucester,16,Ashton Gate,Karl Dickson,50,H,N,Jan,2020,2019-20
25/Jan/2020,15:00,Exeter Chiefs,19,Sale Sharks,22,Sandy Park,JP Doyle,41,A,N,Jan,2020,2019-20
25/Jan/2020,15:00,Worcester Warriors,26,Wasps,30,Sixways,Craig Maxwell-Keys,56,A,N,Jan,2020,2019-20
26/Jan/2020,15:00,Harlequins,41,Saracens,14,Twickenham Stoop,Luke Pearce,55,H,N,Jan,2020,2019-20
14/Feb/2020,19:45,Gloucester,15,Exeter Chiefs,26,Kingsholm,Craig Maxwell-Keys,41,A,N,Feb,2020,2019-20
15/Feb/2020,15:00,Harlequins,15,London Irish,29,Twickenham Stoop,JP Doyle,44,A,N,Feb,2020,2019-20
