date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
01/Sep/2017,19:45,Gloucester,28,Exeter Chiefs,21,Kingsholm,Matthew Carley,49,H,N,Sep,2017,2017-18
01/Sep/2017,19:45,Newcastle Falcons,35,Worcester Warriors,8,Kingston Park,Wayne Barnes,43,H,N,Sep,2017,2017-18
02/Sep/2017,14:00,Saracens,55,Northampton Saints,24,Twickenham Stadium,Craig Maxwell-Keys,79,H,N,Sep,2017,2017-18
02/Sep/2016,15:00,Wasps,50,Sale Sharks,35,Ricoh Arena,JP Doyle,85,H,N,Sep,2016,2017-18
02/Sep/2017,16:45,London Irish,39,Harlequins,29,Twickenham Stadium,Tom Foley,68,H,N,Sep,2017,2017-18
03/Sep/2017,15:00,Leicester Tigers,23,Bath,27,Welford Road,Luke Pearce,50,A,N,Sep,2017,2017-18
08/Sep/2017,19:45,Sale Sharks,12,Newcastle Falcons,13,AJ Bell Stadium,Andrew Jackson,25,A,N,Sep,2017,2017-18
09/Sep/2017,14:00,Bath,31,Saracens,21,Recreation Ground,Wayne Barnes,52,H,N,Sep,2017,2017-18
09/Sep/2017,15:00,Exeter Chiefs,37,London Irish,7,Sandy Park,Craig Maxwell-Keys,44,H,N,Sep,2017,2017-18
09/Sep/2017,15:00,Harlequins,28,Gloucester,17,Twickenham Stoop,Luke Pearce,45,H,N,Sep,2017,2017-18
09/Sep/2017,16:30,Northampton Saints,24,Leicester Tigers,11,Franklin's Gardens,JP Doyle,35,H,N,Sep,2017,2017-18
10/Sep/2017,15:00,Worcester Warriors,10,Wasps,24,Sixways Stadium,Tom Foley,34,A,N,Sep,2017,2017-18
15/Sep/2017,19:45,Northampton Saints,24,Bath,6,Franklin's Gardens,Tom Foley,30,H,N,Sep,2017,2017-18
15/Sep/2017,19:45,Worcester Warriors,10,Exeter Chiefs,41,Sixways,Ian Tempest,51,A,N,Sep,2017,2017-18
15/Sep/2017,20:00,Sale Sharks,36,London Irish,7,AJ Bell Stadium,Wayne Barnes,43,H,N,Sep,2017,2017-18
16/Sep/2017,15:00,Leicester Tigers,24,Gloucester,10,Welford Road,Craig Maxwell-Keys,34,H,N,Sep,2017,2017-18
16/Sep/2017,17:10,Newcastle Falcons,7,Saracens,29,"Talen Energy Stadium, Philadelphia",JP Doyle,36,A,N,Sep,2017,2017-18
17/Sep/2017,15:00,Wasps,21,Harlequins,24,Ricoh Arena,Andrew Jackson,45,A,N,Sep,2017,2017-18
22/Sep/2017,19:45,Gloucester,24,Worcester Warriors,19,Kingsholm Stadium,Wayne Barnes,43,H,N,Sep,2017,2017-18
23/Sep/2017,15:00,Bath,32,Newcastle Falcons,33,Recreation Ground,Craig Maxwell-Keys,65,A,N,Sep,2017,2017-18
23/Sep/2017,15:00,Harlequins,28,Leicester Tigers,31,Twickenham Stoop,Ian Tempest,59,A,N,Sep,2017,2017-18
23/Sep/2017,15:00,Saracens,41,Sale Sharks,13,Allianz Park,Tom Foley,54,H,N,Sep,2017,2017-18
24/Sep/2017,15:00,Exeter Chiefs,31,Wasps,17,Sandy Park,JP Doyle,48,H,N,Sep,2017,2017-18
24/Sep/2017,15:00,London Irish,25,Northampton Saints,40,Madejski Stadium,Matthew Carley,65,A,N,Sep,2017,2017-18
29/Sep/2017,19:45,Newcastle Falcons,29,London Irish,17,Kingston Park,Ian Tempest,46,H,N,Sep,2017,2017-18
29/Sep/2017,19:45,Worcester Warriors,3,Saracens,25,Sixways,Craig Maxwell-Keys,28,A,N,Sep,2017,2017-18
29/Sep/2017,20:00,Sale Sharks,57,Gloucester,10,AJ Bell Stadium,JP Doyle,67,H,N,Sep,2017,2017-18
30/Sep/2017,15:00,Leicester Tigers,20,Exeter Chiefs,13,Welford Road,Tom Foley,33,H,N,Sep,2017,2017-18
30/Sep/2017,15:00,Northampton Saints,30,Harlequins,22,Franklin's Gardens,Luke Pearce,52,H,N,Sep,2017,2017-18
01/Oct/2017,15:00,Wasps,9,Bath,25,Ricoh Arena,Matthew Carley,34,A,N,Oct,2017,2017-18
06/Oct/2017,19:45,Harlequins,42,Sale Sharks,26,Twickenham Stoop,Matthew Carley,68,H,N,Oct,2017,2017-18
07/Oct/2017,15:00,Bath,29,Worcester Warriors,13,Recreation Ground,Luke Pearce,42,H,N,Oct,2017,2017-18
07/Oct/2017,15:00,Exeter Chiefs,34,Newcastle Falcons,24,Sandy Park,Andrew Jackson,58,H,N,Oct,2017,2017-18
07/Oct/2017,15:00,Gloucester,29,Northampton Saints,24,Kingsholm,Wayne Barnes,53,H,N,Oct,2017,2017-18
07/Oct/2017,15:00,London Irish,27,Leicester Tigers,28,Madejski Stadium,JP Doyle,55,A,N,Oct,2017,2017-18
08/Oct/2017,15:00,Saracens,38,Wasps,19,Allianz Park,Ian Tempest,57,H,N,Oct,2017,2017-18
27/Oct/2017,19:45,Sale Sharks,6,Exeter Chiefs,10,AJ Bell Stadium,Craig Maxwell-Keys,16,A,N,Oct,2017,2017-18
28/Oct/2017,15:00,Northampton Saints,22,Wasps,38,Franklin's Gardens,Luke Pearce,60,A,N,Oct,2017,2017-18
28/Oct/2017,15:00,Harlequins,41,Worcester Warriors,35,Twickenham Stoop,JP Doyle,76,H,N,Oct,2017,2017-18
28/Oct/2017,15:00,Saracens,44,London Irish,13,Allianz Park,Andrew Jackson,57,H,N,Oct,2017,2017-18
29/Oct/2017,15:00,Newcastle Falcons,13,Leicester Tigers,30,Kingston Park,Wayne Barnes,43,A,N,Oct,2017,2017-18
29/Oct/2017,15:00,Bath,21,Gloucester,22,Recreation Ground,Tom Foley,43,A,N,Oct,2017,2017-18
17/Nov/2017,19:45,Gloucester,23,Saracens,17,Kingsholm,Karl Dickson,40,H,N,Nov,2017,2017-18
18/Nov/2017,13:00,Worcester Warriors,30,Northampton Saints,15,Sixways,Andrew Jackson,45,H,N,Nov,2017,2017-18
18/Nov/2017,17:15,Wasps,40,Newcastle Falcons,10,Ricoh Arena,Matthew O'Grady,50,H,N,Nov,2017,2017-18
19/Nov/2017,15:00,Exeter Chiefs,31,Harlequins,17,Sandy Park,JP Doyle,48,H,N,Nov,2017,2017-18
19/Nov/2017,15:00,Leicester Tigers,35,Sale Sharks,27,Welford Road,Luke Pearce,62,H,N,Nov,2017,2017-18
19/Nov/2017,15:00,London Irish,18,Bath,22,Madejski Stadium,Tom Foley,40,A,N,Nov,2017,2017-18
24/Nov/2017,19:45,Newcastle Falcons,7,Gloucester,29,Kingston Park,JP Doyle,36,A,N,Nov,2017,2017-18
25/Nov/2017,12:15,Bath,38,Harlequins,14,Recreation Ground,Craig Maxwell-Keys,52,H,N,Nov,2017,2017-18
25/Nov/2017,15:00,Leicester Tigers,27,Worcester Warriors,31,Welford Road,Greg MacDonald,58,A,N,Nov,2017,2017-18
25/Nov/2017,17:30,Sale Sharks,18,Northampton Saints,15,AJ Bell Stadium,Karl Dickson,33,H,N,Nov,2017,2017-18
26/Nov/2017,15:00,London Irish,13,Wasps,17,Madejski Stadium,Christophe Ridley,30,A,N,Nov,2017,2017-18
26/Nov/2017,15:00,Saracens,18,Exeter Chiefs,20,Allianz Park,Ian Tempest,38,A,N,Nov,2017,2017-18
01/Dec/2017,19:45,Northampton Saints,22,Newcastle Falcons,24,Franklin's Gardens,Craig Maxwell-Keys,46,A,N,Dec,2017,2017-18
01/Dec/2017,19:45,Worcester Warriors,14,Sale Sharks,18,Sixways,Matthew Carley,32,A,N,Dec,2017,2017-18
02/Dec/2017,14:00,Exeter Chiefs,42,Bath,29,Sandy Park,JP Doyle,71,H,N,Dec,2017,2017-18
02/Dec/2017,15:00,Gloucester,39,London Irish,15,Kingsholm,Ian Tempest,54,H,N,Dec,2017,2017-18
02/Dec/2017,16:30,Wasps,32,Leicester Tigers,25,Ricoh Arena,Thomas Foley,57,H,N,Dec,2017,2017-18
03/Dec/2017,15:00,Harlequins,20,Saracens,19,Twickenham Stoop,Luke Pearce,39,H,N,Dec,2017,2017-18
22/Dec/2017,19:45,Worcester Warriors,23,London Irish,8,Sixways,Wayne Barnes,31,H,N,Dec,2017,2017-18
23/Dec/2017,15:00,Newcastle Falcons,11,Harlequins,10,Kingston Park,Luke Pearce,21,H,N,Dec,2017,2017-18
23/Dec/2017,15:00,Northampton Saints,14,Exeter Chiefs,35,Franklin's Gardens,Thomas Foley,49,A,N,Dec,2017,2017-18
23/Dec/2017,15:00,Sale Sharks,32,Bath,9,AJ Bell Stadium,Ian Tempest,41,H,N,Dec,2017,2017-18
23/Dec/2017,15:00,Wasps,49,Gloucester,24,Ricoh Arena,Craig Maxwell-Keys,73,H,N,Dec,2017,2017-18
24/Dec/2017,15:00,Leicester Tigers,17,Saracens,29,Welford Road,Matthew Carley,46,A,N,Dec,2017,2017-18
