season,teamName,lastSeasonStanding
2014-15,Saracens,1
2014-15,Northampton,2
2014-15,Leicester,3
2014-15,Harlequins,4
2014-15,Bath,5
2014-15,Sale,6
2014-15,Wasps,7
2014-15,Exeter,8
2014-15,Gloucester,9
2014-15,London Irish,10
2014-15,Newcastle,11
2014-15,Worcester,12
2014-15,London Welsh,13
2015-16,Northampton,1
2015-16,Bath,2
2015-16,Leicester,3
2015-16,Saracens,4
2015-16,Exeter,5
2015-16,Wasps,6
2015-16,Sale,7
2015-16,Harlequins,8
2015-16,Gloucester,9
2015-16,London Irish,10
2015-16,Newcastle,11
2015-16,London Welsh,12
2015-16,Worcester,13
2016-17,Saracens,1
2016-17,Exeter,2
2016-17,Wasps,3
2016-17,Leicester,4
2016-17,Northampton,5
2016-17,Sale,6
2016-17,Harlequins,7
2016-17,Gloucester,8
2016-17,Bath,9
2016-17,Worcester,10
2016-17,Newcastle,11
2016-17,London Irish,12
2016-17,Bristol,13
2017-18,Wasps,1
2017-18,Exeter,2
2017-18,Saracens,3
2017-18,Leicester,4
2017-18,Bath,5
2017-18,Harlequins,6
2017-18,Northampton,7
2017-18,Newcastle,8
2017-18,Gloucester,9
2017-18,Sale,10
2017-18,Worcester,11
2017-18,Bristol,12
2017-18,London Irish,13
