season,teamName,lastSeasonStanding
2014-15,Saracens,1
2014-15,Northampton,2
2014-15,Leicester,3
2014-15,Harlequins,4
2014-15,Bath,5
2014-15,Sale,6
2014-15,Wasps,7
2014-15,Exeter,8
2014-15,Gloucester,9
2014-15,London Irish,10
2014-15,Newcastle,11
2014-15,Worcester,12
2014-15,London Welsh,13
2015-16,Northampton,1
2015-16,Bath,2
2015-16,Leicester,3
2015-16,Saracens,4
2015-16,Exeter,5
2015-16,Wasps,6
2015-16,Sale,7
2015-16,Harlequins,8
2015-16,Gloucester,9
2015-16,London Irish,10
2015-16,Newcastle,11
2015-16,London Welsh,12
2015-16,Worcester,13
2016-17,Saracens,1
2016-17,Exeter,2
2016-17,Wasps,3
2016-17,Leicester,4
2016-17,Northampton,5
2016-17,Sale,6
2016-17,Harlequins,7
2016-17,Gloucester,8
2016-17,Bath,9
2016-17,Worcester,10
2016-17,Newcastle,11
2016-17,London Irish,12
2016-17,Bristol,13
2017-18,Wasps,1
2017-18,Exeter,2
2017-18,Saracens,3
2017-18,Leicester,4
2017-18,Bath,5
2017-18,Harlequins,6
2017-18,Northampton,7
2017-18,Newcastle,8
2017-18,Gloucester,9
2017-18,Sale,10
2017-18,Worcester,11
2017-18,Bristol,12
2017-18,London Irish,13
2018-19,Exeter,1
2018-19,Saracens,2
2018-19,Wasps,3
2018-19,Newcastle,4
2018-19,Leicester,5
2018-19,Bath,6
2018-19,Gloucester,7
2018-19,Sale,8
2018-19,Northampton,9
2018-19,Harlequins,10
2018-19,Worcester,11
2018-19,London Irish,12
2018-19,Bristol,13
2019-20,Exeter,1
2019-20,Saracens,2
2019-20,Gloucester,3
2019-20,Northampton,4
2019-20,Harlequins,5
2019-20,Bath,6
2019-20,Sale,7
2019-20,Wasps,8
2019-20,Bristol,9
2019-20,Worcester,10
2019-20,Leicester,11
2019-20,Newcastle,12
2019-20,London Irish,13
2020-21,Exeter,1
2020-21,Wasps,2
2020-21,Bristol,3
2020-21,Bath,4
2020-21,Sale,5
2020-21,Harlequins,6
2020-21,Gloucester,7
2020-21,Northampton,8
2020-21,Worcester,9
2020-21,London Irish,10
2020-21,Leicester,11
2020-21,Saracens,12
2020-21,Newcastle,13
2021-22,Bristol,1
2021-22,Exeter,2
2021-22,Sale,3
2021-22,Harlequins,4
2021-22,Northampton,5
2021-22,Leicester,6
2021-22,Bath,7
2021-22,Wasps,8
2021-22,London Irish,9
2021-22,Newcastle,10
2021-22,Gloucester,11
2021-22,Worcester,12
2021-22,Saracens,13
