,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,hour,day,month,year,season,avgHomeLast5Scores,avgHomeLast5ScoresAgainst,homeTeamCode,awayTeamCode,monthCode,venueCode,dayCode,targetCode
63,2010-12-26,15:00,Saracens,13,Wasps,6,Wembley Stadium,,19,H,15,Sun,Dec,2010,2010-11,22.6,17.4,12,13,2,32,3,1
65,2010-12-27,16:15,Harlequins,28,London Irish,18,Twickenham Stadium,,46,H,16,Mon,Dec,2010,2010-11,27.2,13.8,4,7,2,27,1,1
64,2010-12-27,15:00,Leicester,54,Sale,21,Welford Road,,75,H,15,Mon,Dec,2010,2010-11,33.6,16.0,6,11,2,31,1,1
68,2011-01-01,15:00,Northampton,13,Harlequins,16,Franklin's Gardens,,29,A,15,Sat,Jan,2011,2010-11,30.8,17.2,10,4,4,7,2,0
67,2011-01-01,15:00,London Irish,24,Bath,25,Madejski Stadium,,49,A,15,Sat,Jan,2011,2010-11,29.8,21.0,7,0,4,13,2,0
71,2011-01-02,16:15,Exeter,15,Leicester,22,Sandy Park,,37,A,16,Sun,Jan,2011,2010-11,18.4,13.4,2,6,4,19,3,0
69,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,,49,H,14,Sun,Jan,2011,2010-11,26.6,26.6,13,9,4,1,3,1
74,2011-01-08,15:00,Gloucester,37,Exeter,23,Kingsholm,,60,H,15,Sat,Jan,2011,2010-11,23.0,18.4,3,2,4,10,2,1
75,2011-01-08,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,,27,H,15,Sat,Jan,2011,2010-11,29.6,13.4,4,13,4,29,2,1
73,2011-01-08,14:15,Bath,16,Leeds,13,Recreation Ground,,29,H,14,Sat,Jan,2011,2010-11,14.6,15.0,0,5,4,14,2,1
76,2011-01-08,15:00,Leicester,27,Northampton,16,Welford Road,,43,H,15,Sat,Jan,2011,2010-11,37.0,14.8,6,10,4,31,2,1
77,2011-01-09,15:00,Saracens,12,London Irish,6,Vicarage Road,,18,H,15,Sun,Jan,2011,2010-11,19.6,16.0,12,7,4,30,3,1
78,2011-02-11,19:45,Sale,7,Bath,19,Edgeley Park,,26,A,19,Fri,Feb,2011,2010-11,23.6,20.2,11,0,3,6,0,0
80,2011-02-12,15:00,Exeter,20,Harlequins,6,Sandy Park,,26,H,15,Sat,Feb,2011,2010-11,17.0,15.8,2,4,3,19,2,1
79,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,,37,H,12,Sat,Feb,2011,2010-11,28.0,22.8,7,9,3,13,2,1
81,2011-02-12,15:00,Northampton,15,Saracens,29,Franklin's Gardens,,44,A,15,Sat,Feb,2011,2010-11,28.0,16.6,10,12,3,7,2,0
83,2011-02-13,17:00,Wasps,9,Gloucester,10,Adams Park,,19,A,17,Sun,Feb,2011,2010-11,27.4,24.0,13,3,3,1,3,0
82,2011-02-13,15:00,Leeds,9,Leicester,15,Headingley,,24,A,15,Sun,Feb,2011,2010-11,11.2,18.8,5,6,3,8,3,0
84,2011-02-18,19:45,Gloucester,23,London Irish,9,Kingsholm,,32,H,19,Fri,Feb,2011,2010-11,26.0,18.8,3,7,3,10,0,1
85,2011-02-18,20:00,Newcastle,13,Exeter,23,Kingston Park,,36,A,20,Fri,Feb,2011,2010-11,17.0,20.6,9,2,3,11,0,0
88,2011-02-19,17:30,Leicester,21,Wasps,12,Welford Road,,33,H,17,Sat,Feb,2011,2010-11,32.8,16.8,6,13,3,31,2,1
87,2011-02-19,15:00,Harlequins,21,Sale,9,Twickenham Stoop,,30,H,15,Sat,Feb,2011,2010-11,25.0,12.8,4,11,3,29,2,1
86,2011-02-19,15:00,Bath,38,Northampton,8,Recreation Ground,,46,H,15,Sat,Feb,2011,2010-11,13.8,15.0,0,10,3,14,2,1
89,2011-02-20,15:00,Saracens,39,Leeds,0,Vicarage Road,,39,H,15,Sun,Feb,2011,2010-11,17.2,13.8,12,5,3,30,3,1
90,2011-02-25,19:45,Sale,16,Leicester,18,Edgeley Park,,34,A,19,Fri,Feb,2011,2010-11,18.0,20.4,11,6,3,6,0,0
91,2011-02-26,15:00,Exeter,9,Bath,12,Sandy Park,,21,A,15,Sat,Feb,2011,2010-11,16.6,13.6,2,0,3,19,2,0
92,2011-02-26,15:00,London Irish,15,Harlequins,9,Madejski Stadium,,24,H,15,Sat,Feb,2011,2010-11,28.0,22.4,7,4,3,13,2,1
93,2011-02-26,15:00,Northampton,16,Gloucester,18,Franklin's Gardens,,34,A,15,Sat,Feb,2011,2010-11,24.8,20.4,10,3,3,7,2,0
95,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,,27,A,17,Sun,Feb,2011,2010-11,9.8,15.4,5,9,3,8,3,0
94,2011-02-27,13:00,Wasps,15,Saracens,26,Adams Park,,41,A,13,Sun,Feb,2011,2010-11,21.8,20.0,13,12,3,1,3,0
96,2011-03-04,20:00,Newcastle,33,Harlequins,18,Kingston Park,,51,H,20,Fri,Mar,2011,2010-11,13.8,21.8,9,4,6,11,0,1
98,2011-03-05,15:15,Leicester,14,Saracens,15,Welford Road,,29,A,15,Sat,Mar,2011,2010-11,32.8,16.2,6,12,6,31,2,0
97,2011-03-05,15:00,Gloucester,34,Bath,22,Kingsholm,,56,H,15,Sat,Mar,2011,2010-11,26.2,16.6,3,0,6,10,2,1
99,2011-03-06,15:00,Exeter,30,Northampton,9,Sandy Park,,39,H,15,Sun,Mar,2011,2010-11,16.6,13.6,2,10,6,19,3,1
100,2011-03-06,15:00,Wasps,33,Sale,26,Adams Park,,59,H,15,Sun,Mar,2011,2010-11,22.8,17.8,13,11,6,1,3,1
101,2011-03-06,15:00,Leeds,27,London Irish,19,Headingley,,46,H,15,Sun,Mar,2011,2010-11,8.0,14.6,5,7,6,8,3,1
102,2011-03-12,15:00,Leeds,13,Northampton,23,Headingley,,36,A,15,Sat,Mar,2011,2010-11,12.8,17.2,5,10,6,8,2,0
103,2011-03-25,19:45,Sale,15,Leeds,12,Edgeley Park,,27,H,19,Fri,Mar,2011,2010-11,17.0,20.6,11,5,6,6,0,1
105,2011-03-26,15:00,London Irish,39,Exeter,17,Madejski Stadium,,56,H,15,Sat,Mar,2011,2010-11,23.0,19.4,7,2,6,13,2,1
106,2011-03-26,16:30,Bath,6,Leicester,37,Recreation Ground,,43,A,16,Sat,Mar,2011,2010-11,15.2,13.4,0,6,6,14,2,0
104,2011-03-26,15:00,Harlequins,53,Gloucester,15,Twickenham Stoop,,68,H,15,Sat,Mar,2011,2010-11,24.6,12.2,4,3,6,29,2,1
108,2011-03-27,15:00,Saracens,24,Newcastle,9,Vicarage Road,,33,H,15,Sun,Mar,2011,2010-11,19.8,9.8,12,9,6,30,3,1
107,2011-03-27,13:45,Northampton,39,Wasps,3,Franklin's Gardens,,42,H,13,Sun,Mar,2011,2010-11,22.6,19.8,10,13,6,7,3,1
109,2011-04-02,14:30,Northampton,53,Sale,24,Franklin's Gardens,,77,H,14,Sat,Apr,2011,2010-11,23.6,17.8,10,11,0,7,2,1
110,2011-04-02,15:00,Gloucester,34,Newcastle,9,Kingsholm,Dean Richards,43,H,15,Sat,Apr,2011,2010-11,26.4,15.8,3,9,0,10,2,1
111,2011-04-02,17:30,Harlequins,13,Leicester,17,Twickenham Stoop,Wayne Barnes,30,A,17,Sat,Apr,2011,2010-11,34.0,14.0,4,6,0,29,2,0
112,2011-04-03,15:00,Leeds,27,Exeter,22,Headingley,Tim Wigglesworth,49,H,15,Sun,Apr,2011,2010-11,13.8,18.4,5,2,0,8,3,1
113,2011-04-03,15:00,London Irish,25,Wasps,12,Madejski Stadium,Chris White,37,H,15,Sun,Apr,2011,2010-11,23.0,17.6,7,13,0,13,3,1
114,2011-04-03,15:00,Saracens,20,Bath,9,Vicarage Road,Nigel Owens,29,H,15,Sun,Apr,2011,2010-11,22.8,7.0,12,0,0,30,3,1
115,2011-04-08,19:45,Sale,36,Gloucester,31,Edgeley Park,,67,H,19,Fri,Apr,2011,2010-11,15.2,18.0,11,3,0,6,0,1
117,2011-04-09,15:00,Newcastle,29,Leeds,30,Kingston Park,,59,A,15,Sat,Apr,2011,2010-11,18.0,16.2,9,5,0,11,2,0
116,2011-04-09,14:30,Bath,26,Exeter,18,Recreation Ground,,44,H,14,Sat,Apr,2011,2010-11,15.8,17.2,0,2,0,14,2,1
118,2011-04-15,19:45,Newcastle,15,Northampton,22,Kingston Park,Greg Garner,37,A,19,Fri,Apr,2011,2010-11,21.2,19.2,9,10,0,11,0,0
