,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
132,2011-05-07,15:00,Bath,42,Newcastle,12,Recreation Ground,Wayne Barnes,54,H,15,Sat,May,2011,2010-11,21.0,18.2,0,8,5,9,2,24,0,1
136,2011-05-07,15:00,Leicester,32,London Irish,23,Welford Road,Greg Garner,55,H,15,Sat,May,2011,2010-11,31.4,21.0,5,6,5,19,2,9,0,1
137,2011-05-07,15:00,Northampton,31,Leeds,24,Franklin's Gardens,Andrew Small,55,H,15,Sat,May,2011,2010-11,27.2,18.0,9,4,5,3,2,0,0,1
135,2011-05-07,15:00,Harlequins,13,Saracens,16,Twickenham Stoop,Tim Wigglesworth,29,A,15,Sat,May,2011,2010-11,26.4,13.8,3,11,5,17,2,23,0,0
138,2011-05-14,15:15,Leicester,11,Northampton,3,Welford Road,Wayne Barnes,14,H,15,Sat,May,2011,2010-11,27.0,21.4,5,9,5,19,2,24,0,1
139,2011-05-15,14:30,Saracens,12,Gloucester,10,Vicarage Road,Andrew Small,22,H,14,Sun,May,2011,2010-11,26.0,7.2,11,2,5,18,3,0,0,1
140,2011-05-28,15:00,Leicester,18,Saracens,22,Twickenham Stadium,Wayne Barnes,40,A,15,Sat,May,2011,2010-11,23.8,18.8,5,11,5,16,2,24,0,0
144,2011-09-03,16:30,Saracens,15,Wasps,20,Twickenham Stadium,,35,A,16,Sat,Sep,2011,2011-12,26.0,8.0,11,12,8,16,2,-1,1,0
141,2011-09-03,14:00,London Irish,24,Harlequins,29,Twickenham Stadium,Greg Garner,53,A,14,Sat,Sep,2011,2011-12,24.4,15.6,6,3,8,16,2,9,1,0
142,2011-09-03,15:00,Leicester,28,Exeter,30,Welford Road,Tim Wigglesworth,58,A,15,Sat,Sep,2011,2011-12,23.2,20.8,5,1,8,19,2,23,1,0
145,2011-09-03,18:30,Newcastle,9,Bath,22,Kingston Park,Martin Fox,31,A,18,Sat,Sep,2011,2011-12,20.2,21.6,8,0,8,7,2,16,1,0
146,2011-09-04,15:30,Northampton,26,Gloucester,24,Franklin's Gardens,Andrew Small,50,H,15,Sun,Sep,2011,2011-12,30.8,19.6,9,2,8,3,3,0,1,1
147,2011-09-09,19:45,Harlequins,26,Northampton,13,Twickenham Stoop,Greg Garner,39,H,19,Fri,Sep,2011,2011-12,23.4,13.4,3,9,8,17,0,9,1,1
148,2011-09-09,19:45,Sale,30,London Irish,29,Edgeley Park,Sean Davey,59,H,19,Fri,Sep,2011,2011-12,22.2,25.0,10,6,8,2,0,21,1,1
149,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,15,Sat,Sep,2011,2011-12,18.4,13.6,1,8,8,12,2,2,1,1
151,2011-09-10,15:15,Bath,26,Saracens,28,Recreation Ground,Greg Garner,54,A,15,Sat,Sep,2011,2011-12,26.2,18.0,0,11,8,9,2,9,1,0
150,2011-09-10,15:00,Gloucester,29,Worcester,8,Kingsholm,,37,H,15,Sat,Sep,2011,2011-12,37.2,14.4,2,13,8,6,2,-1,1,1
152,2011-09-11,14:15,Wasps,35,Leicester,29,Adams Park,Andrew Small,64,H,14,Sun,Sep,2011,2011-12,23.6,24.6,12,5,8,0,3,0,1,1
154,2011-09-17,15:00,Wasps,18,Sale,29,Adams Park,Greg Garner,47,A,15,Sat,Sep,2011,2011-12,28.8,28.4,12,10,8,0,2,9,1,0
153,2011-09-17,15:00,Harlequins,42,Gloucester,6,Twickenham Stoop,Tim Wigglesworth,48,H,15,Sat,Sep,2011,2011-12,25.2,14.0,3,2,8,17,2,23,1,1
156,2011-09-17,15:05,Newcastle,26,Leicester,27,Kingston Park,,53,A,15,Sat,Sep,2011,2011-12,15.4,22.4,8,5,8,7,2,-1,1,0
157,2011-09-17,17:30,Bath,23,Exeter,19,Recreation Ground,,42,H,17,Sat,Sep,2011,2011-12,23.8,22.0,0,1,8,9,2,-1,1,1
155,2011-09-17,15:00,Northampton,13,London Irish,14,Franklin's Gardens,Martin Fox,27,A,15,Sat,Sep,2011,2011-12,33.0,18.6,9,6,8,3,2,16,1,0
158,2011-09-18,14:15,Saracens,18,Worcester,6,Vicarage Road,Llyr ApGeraint-Roberts,24,H,14,Sun,Sep,2011,2011-12,21.2,12.0,11,13,8,18,3,13,1,1
159,2011-09-23,19:45,Sale,29,Northampton,21,Edgeley Park,Tim Wigglesworth,50,H,19,Fri,Sep,2011,2011-12,25.0,27.2,10,9,8,2,0,23,1,1
160,2011-09-24,14:30,Leicester,25,Saracens,50,Welford Road,Greg Garner,75,A,14,Sat,Sep,2011,2011-12,26.0,23.8,5,11,8,19,2,9,1,0
162,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,,75,H,15,Sat,Sep,2011,2011-12,24.6,18.6,6,8,8,8,2,-1,1,1
161,2011-09-24,15:00,Gloucester,23,Bath,6,Kingsholm,,29,H,15,Sat,Sep,2011,2011-12,38.4,14.2,2,0,8,6,2,-1,1,1
164,2011-09-25,15:00,Exeter,21,Wasps,11,Sandy Park,Martin Fox,32,H,15,Sun,Sep,2011,2011-12,20.8,15.4,1,12,8,12,3,16,1,1
169,2011-10-01,15:15,Bath,26,Leicester,25,Recreation Ground,Tim Wigglesworth,51,H,15,Sat,Oct,2011,2011-12,27.2,18.4,0,5,7,9,2,23,1,1
167,2011-10-01,15:00,Exeter,13,Saracens,17,Sandy Park,,30,A,15,Sat,Oct,2011,2011-12,23.2,15.2,1,11,7,12,2,-1,1,0
168,2011-10-01,15:00,Harlequins,48,Sale,41,Twickenham Stoop,Martin Fox,89,H,15,Sat,Oct,2011,2011-12,29.4,13.4,3,10,7,17,2,16,1,1
166,2011-10-01,13:00,Gloucester,33,London Irish,30,Kingsholm,Greg Garner,63,H,13,Sat,Oct,2011,2011-12,36.2,11.0,2,6,7,6,2,9,1,1
170,2011-10-02,15:30,Newcastle,15,Wasps,10,Kingston Park,Sean Davey,25,H,15,Sun,Oct,2011,2011-12,14.8,21.8,8,12,7,7,3,21,1,1
173,2011-10-08,16:45,Leicester,18,Harlequins,27,Welford Road,,45,A,16,Sat,Oct,2011,2011-12,22.8,25.6,5,3,7,19,2,-1,1,0
172,2011-10-08,15:00,Sale,13,Gloucester,11,Edgeley Park,Sean Davey,24,H,15,Sat,Oct,2011,2011-12,27.8,29.0,10,2,7,2,2,21,1,1
171,2011-10-08,14:30,Northampton,33,Exeter,3,Franklin's Gardens,Greg Garner,36,H,14,Sat,Oct,2011,2011-12,32.4,17.8,9,1,7,3,2,9,1,1
174,2011-10-09,14:00,London Irish,42,Worcester,24,Madejski Stadium,,66,H,14,Sun,Oct,2011,2011-12,30.8,22.6,6,13,7,8,3,-1,1,1
176,2011-10-09,15:00,Saracens,25,Newcastle,5,Vicarage Road,,30,H,15,Sun,Oct,2011,2011-12,20.0,11.4,11,8,7,18,3,-1,1,1
175,2011-10-09,15:00,Wasps,27,Bath,24,Adams Park,Andrew Small,51,H,15,Sun,Oct,2011,2011-12,29.4,29.0,12,0,7,0,3,0,1,1
177,2011-10-28,19:45,Sale,13,Leicester,34,Edgeley Park,Andrew Small,47,A,19,Fri,Oct,2011,2011-12,23.2,25.0,10,5,7,2,0,0,1,0
181,2011-10-29,15:00,Northampton,44,Newcastle,15,Franklin's Gardens,,59,H,15,Sat,Oct,2011,2011-12,31.2,17.8,9,8,7,3,2,-1,1,1
182,2011-10-29,17:45,Gloucester,17,Saracens,19,Kingsholm,Tim Wigglesworth,36,A,17,Sat,Oct,2011,2011-12,36.0,15.2,2,11,7,6,2,23,1,0
179,2011-10-29,14:30,London Irish,12,Bath,13,Madejski Stadium,,25,A,14,Sat,Oct,2011,2011-12,31.4,24.0,6,0,7,8,2,-1,1,0
180,2011-10-29,15:00,Harlequins,19,Exeter,13,Twickenham Stoop,Sean Davey,32,H,15,Sat,Oct,2011,2011-12,28.4,18.6,3,1,7,17,2,21,1,1
183,2011-11-04,19:45,Newcastle,16,Worcester,16,Kingston Park,Wayne Barnes,32,D,19,Fri,Nov,2011,2011-12,14.8,19.4,8,13,6,7,0,24,1,0
186,2011-11-05,15:05,Leicester,24,London Irish,24,Welford Road,Dave Pearson,48,D,15,Sat,Nov,2011,2011-12,20.0,26.4,5,6,6,19,2,4,1,0
185,2011-11-05,15:00,Exeter,19,Gloucester,24,Sandy Park,Andrew Small,43,A,15,Sat,Nov,2011,2011-12,19.8,16.8,1,2,6,12,2,0,1,0
184,2011-11-05,14:15,Bath,13,Harlequins,26,Recreation Ground,Dean Richards,39,A,14,Sat,Nov,2011,2011-12,27.2,19.8,0,3,6,9,2,7,1,0
187,2011-11-06,14:15,Wasps,13,Northampton,24,Adams Park,Tim Wigglesworth,37,A,14,Sun,Nov,2011,2011-12,28.2,28.6,12,9,6,0,3,23,1,0
188,2011-11-06,15:00,Saracens,23,Sale,10,Vicarage Road,Martin Fox,33,H,15,Sun,Nov,2011,2011-12,21.0,10.6,11,10,6,18,3,16,1,1
189,2011-11-25,19:45,Sale,23,Exeter,30,Edgeley Park,Tim Wigglesworth,53,A,19,Fri,Nov,2011,2011-12,21.8,25.0,10,1,6,2,0,23,1,0
191,2011-11-26,14:15,Gloucester,14,Leicester,19,Kingsholm,,33,A,14,Sat,Nov,2011,2011-12,34.0,16.0,2,5,6,6,2,-1,1,0
192,2011-11-26,15:00,London Irish,21,Wasps,17,Madejski Stadium,Sean Davey,38,H,15,Sat,Nov,2011,2011-12,28.8,24.2,6,12,6,8,2,21,1,1
193,2011-11-26,17:00,Northampton,30,Saracens,8,Franklin's Gardens,Dave Pearson,38,H,17,Sat,Nov,2011,2011-12,29.4,16.0,9,11,6,3,2,4,1,1
194,2011-11-27,15:00,Harlequins,39,Newcastle,8,Twickenham Stoop,,47,H,15,Sun,Nov,2011,2011-12,29.6,17.8,3,8,6,17,3,-1,1,1
195,2011-12-02,20:00,Newcastle,26,Gloucester,25,Kingston Park,Greg Garner,51,H,20,Fri,Dec,2011,2011-12,15.4,17.8,8,2,1,7,0,9,1,1
197,2011-12-03,14:15,Leicester,30,Northampton,25,Welford Road,Wayne Barnes,55,H,14,Sat,Dec,2011,2011-12,22.6,30.6,5,9,1,19,2,24,1,1
198,2011-12-03,15:00,Exeter,15,Worcester,9,Sandy Park,,24,H,15,Sat,Dec,2011,2011-12,21.2,15.0,1,13,1,12,2,-1,1,1
196,2011-12-03,14:15,Bath,13,Sale,16,Recreation Ground,,29,A,14,Sat,Dec,2011,2011-12,26.0,22.0,0,10,1,9,2,-1,1,0
199,2011-12-04,14:00,Saracens,15,London Irish,11,Vicarage Road,Andrew Small,26,H,14,Sun,Dec,2011,2011-12,18.6,10.2,11,6,1,18,3,0,1,1
200,2011-12-04,16:00,Wasps,16,Harlequins,22,Adams Park,Dean Richards,38,A,16,Sun,Dec,2011,2011-12,20.6,29.8,12,3,1,0,3,7,1,0
201,2011-12-24,15:15,Northampton,22,Bath,13,Franklin's Gardens,,35,H,15,Sat,Dec,2011,2011-12,29.2,12.8,9,0,1,3,2,-1,1,1
202,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,14,Mon,Dec,2011,2011-12,21.6,25.0,10,8,1,2,1,4,1,1
203,2011-12-26,15:00,Gloucester,39,Wasps,10,Kingsholm,Greg Garner,49,H,15,Mon,Dec,2011,2011-12,23.2,16.4,2,12,1,6,1,9,1,1
205,2011-12-27,14:00,Worcester,13,Leicester,32,Sixways,,45,A,14,Tue,Dec,2011,2011-12,14.4,10.6,13,5,1,13,4,-1,1,0
204,2011-12-27,13:30,London Irish,29,Exeter,22,Madejski Stadium,Dean Richards,51,H,13,Tue,Dec,2011,2011-12,29.0,22.4,6,1,1,8,4,7,1,1
206,2011-12-27,16:30,Harlequins,11,Saracens,19,Twickenham Stadium,Wayne Barnes,30,A,16,Tue,Dec,2011,2011-12,34.8,16.2,3,11,1,16,4,24,1,0
207,2011-12-31,14:00,Newcastle,14,Northampton,32,Kingston Park,Tim Wigglesworth,46,A,14,Sat,Dec,2011,2011-12,18.4,20.0,8,9,1,7,2,23,1,0
208,2011-12-31,15:45,Exeter,9,Harlequins,11,Sandy Park,,20,A,15,Sat,Dec,2011,2011-12,20.0,15.2,1,3,1,12,2,-1,1,0
210,2012-01-01,15:00,Wasps,0,Worcester,6,Adams Park,Wayne Barnes,6,A,15,Sun,Jan,2012,2011-12,21.8,25.6,12,13,3,0,3,24,1,0
212,2012-01-01,15:30,Leicester,28,Sale,23,Welford Road,Andrew Small,51,H,15,Sun,Jan,2012,2011-12,25.0,31.2,5,10,3,19,3,0,1,1
209,2012-01-01,13:30,Bath,30,London Irish,3,Recreation Ground,Martin Fox,33,H,13,Sun,Jan,2012,2011-12,20.2,22.8,0,6,3,9,3,16,1,1
211,2012-01-01,15:00,Saracens,15,Gloucester,15,Vicarage Road,Sean Davey,30,D,15,Sun,Jan,2012,2011-12,19.2,10.4,11,2,3,18,3,21,1,0
213,2012-01-06,19:45,Northampton,24,Harlequins,3,Franklin's Gardens,Dave Pearson,27,H,19,Fri,Jan,2012,2011-12,28.4,10.6,9,3,3,3,0,4,1,1
214,2012-01-07,14:45,Worcester,21,Gloucester,15,Sixways,Martin Fox,36,H,14,Sat,Jan,2012,2011-12,13.6,14.6,13,2,3,13,2,16,1,1
216,2012-01-07,17:00,Leicester,19,Wasps,11,Welford Road,Tim Wigglesworth,30,H,17,Sat,Jan,2012,2011-12,25.0,29.8,5,12,3,19,2,23,1,1
215,2012-01-07,15:00,Newcastle,10,Exeter,16,Kingston Park,Andrew Small,26,A,15,Sat,Jan,2012,2011-12,19.4,22.0,8,1,3,7,2,0,1,0
217,2012-01-08,15:00,London Irish,21,Sale,19,Madejski Stadium,Wayne Barnes,40,H,15,Sun,Jan,2012,2011-12,30.0,21.0,6,10,3,8,3,24,1,1
218,2012-01-08,15:00,Saracens,26,Bath,19,Vicarage Road,,45,H,15,Sun,Jan,2012,2011-12,19.2,9.4,11,0,3,18,3,-1,1,1
219,2012-02-10,20:00,Sale,15,Worcester,12,Edgeley Park,Llyr ApGeraint-Roberts,27,H,20,Fri,Feb,2012,2011-12,21.0,23.0,10,13,2,2,0,13,1,1
223,2012-02-11,18:00,Exeter,19,Leicester,11,Sandy Park,Sean Davey,30,H,18,Sat,Feb,2012,2011-12,15.4,14.4,1,5,2,12,2,21,1,1
220,2012-02-11,14:00,Harlequins,30,London Irish,23,Twickenham Stoop,Tim Wigglesworth,53,H,14,Sat,Feb,2012,2011-12,31.8,17.4,3,6,2,17,2,23,1,1
221,2012-02-11,14:15,Bath,30,Newcastle,24,Recreation Ground,Dean Richards,54,H,14,Sat,Feb,2012,2011-12,21.0,17.8,0,8,2,9,2,7,1,1
222,2012-02-11,14:15,Gloucester,27,Northampton,24,Kingsholm,,51,H,14,Sat,Feb,2012,2011-12,25.2,16.8,2,9,2,6,2,-1,1,1
224,2012-02-12,13:15,Wasps,17,Saracens,22,Adams Park,Greg Garner,39,A,13,Sun,Feb,2012,2011-12,14.8,21.0,12,11,2,0,3,9,1,0
228,2012-02-18,15:00,Northampton,24,Sale,17,Franklin's Gardens,Greg Garner,41,H,15,Sat,Feb,2012,2011-12,30.6,8.4,9,10,2,3,2,9,1,1
227,2012-02-18,15:00,Newcastle,19,London Irish,10,Kingston Park,,29,H,15,Sat,Feb,2012,2011-12,16.2,19.8,8,6,2,7,2,-1,1,1
225,2012-02-18,14:30,Bath,11,Gloucester,14,Recreation Ground,Wayne Barnes,25,A,14,Sat,Feb,2012,2011-12,22.4,18.8,0,2,2,9,2,24,1,0
226,2012-02-18,15:00,Wasps,12,Exeter,15,Adams Park,Dave Pearson,27,A,15,Sat,Feb,2012,2011-12,14.6,19.6,12,1,2,0,2,4,1,0
229,2012-02-18,17:30,Harlequins,16,Worcester,14,Twickenham Stoop,,30,H,17,Sat,Feb,2012,2011-12,29.4,20.8,3,13,2,17,2,-1,1,1
