,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
192,2015-03-06,19:45,Bath,12,0,Sale,3,0,The Recreation Ground,Wayne Barnes,15,H,19,Fri,Mar,2015,2014-15,0,0,4,0,0,0,1,0,18.0,22.8,0.2,0.2,2.0,1.6,1.6,0.0,2.2,1.4,3.0,0.0,0,9,4,12,0,11,0,1
193,2015-03-06,19:45,Sale,3,0,Bath,12,0,The Recreation Ground,Wayne Barnes,15,H,19,Fri,Mar,2015,2014-15,0,0,1,0,0,0,4,0,22.0,19.6,0.2,0.4,2.8,2.2,1.2,0.0,2.4,2.0,1.0,0.2,9,0,4,12,0,11,0,1
196,2015-03-07,15:00,Harlequins,26,0,London Irish,20,1,Twickenham Stoop,JP Doyle,46,H,15,Sat,Mar,2015,2014-15,2,2,4,0,2,2,2,0,19.2,22.2,0.6,0.2,2.2,1.4,1.8,0.0,2.0,1.6,3.0,0.0,3,5,4,14,1,6,0,1
195,2015-03-07,15:00,London Welsh,19,0,Exeter,74,1,Sandy Park,Craig Maxwell-Keys,93,H,15,Sat,Mar,2015,2014-15,3,2,0,0,10,9,2,0,10.8,42.4,0.0,1.0,1.4,1.0,0.6,0.0,6.4,4.6,0.4,0.0,6,1,4,9,1,1,0,1
197,2015-03-07,15:00,London Irish,20,1,Harlequins,26,0,Twickenham Stoop,JP Doyle,46,H,15,Sat,Mar,2015,2014-15,2,2,2,0,2,2,4,0,19.8,17.4,0.8,0.2,2.4,1.2,1.6,0.2,1.6,0.8,2.4,0.2,5,3,4,14,1,6,0,1
198,2015-03-07,15:15,Gloucester,33,0,Northampton,33,0,Kingsholm,Greg Garner,66,D,15,Sat,Mar,2015,2014-15,3,3,4,0,3,3,4,0,26.8,21.6,0.4,0.6,2.4,2.0,3.4,0.2,2.4,1.2,2.4,0.0,2,8,4,4,1,3,0,0
199,2015-03-07,15:15,Northampton,33,0,Gloucester,33,0,Kingsholm,Greg Garner,66,D,15,Sat,Mar,2015,2014-15,3,3,4,0,3,3,4,0,19.8,17.2,0.2,0.6,2.6,1.6,1.2,0.0,1.6,1.6,2.0,0.0,8,2,4,4,1,3,0,0
194,2015-03-07,15:00,Exeter,74,1,London Welsh,19,0,Sandy Park,Craig Maxwell-Keys,93,H,15,Sat,Mar,2015,2014-15,10,9,2,0,3,2,0,0,29.0,19.6,0.6,0.2,2.8,2.4,3.4,0.0,2.0,1.2,2.0,0.4,1,6,4,9,1,1,0,1
203,2015-03-08,15:00,Leicester,16,0,Newcastle,12,1,Kingston Park,Luke Pearce,28,A,15,Sun,Mar,2015,2014-15,1,1,3,0,2,1,0,0,17.4,13.8,0.0,0.6,0.8,0.4,4.0,0.2,1.2,0.6,2.2,0.0,4,7,4,5,2,7,0,0
201,2015-03-08,14:00,Saracens,26,0,Wasps,17,0,Ricoh Arena,Matthew Carley,43,A,14,Sun,Mar,2015,2014-15,2,2,4,0,2,2,1,0,22.2,17.0,0.4,0.2,2.0,1.0,3.4,0.0,2.0,1.4,1.4,0.0,10,11,4,8,2,8,0,0
200,2015-03-08,14:00,Wasps,17,0,Saracens,26,0,Ricoh Arena,Matthew Carley,43,A,14,Sun,Mar,2015,2014-15,2,2,1,0,2,2,4,0,31.8,21.0,0.8,0.2,4.2,3.0,1.4,0.2,2.2,1.4,2.4,0.0,11,10,4,8,2,8,0,0
