,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
126,2010-12-26,15:00,Saracens,13,0,Wasps,6,1,Wembley Stadium,Unknown,19,H,15,Sun,Dec,2010,2010-11,16.0,16.4,0.2,0.4,10,11,1,15,3,15,0,1
127,2010-12-26,15:00,Wasps,6,1,Saracens,13,0,Wembley Stadium,Unknown,19,H,15,Sun,Dec,2010,2010-11,19.0,17.6,0.0,0.4,11,10,1,15,3,15,0,1
131,2010-12-27,16:15,London Irish,18,0,Harlequins,28,0,Twickenham Stadium,Unknown,46,H,16,Mon,Dec,2010,2010-11,22.6,25.2,0.2,0.4,6,3,1,11,1,15,0,1
128,2010-12-27,15:00,Leicester,54,1,Sale,21,0,Welford Road,Unknown,75,H,15,Mon,Dec,2010,2010-11,23.6,16.0,0.4,0.4,5,9,1,14,1,15,0,1
130,2010-12-27,16:15,Harlequins,28,0,London Irish,18,0,Twickenham Stadium,Unknown,46,H,16,Mon,Dec,2010,2010-11,22.0,20.2,0.6,0.0,3,6,1,11,1,15,0,1
137,2011-01-01,15:00,Harlequins,16,0,Northampton,13,1,Franklin's Gardens,Unknown,29,A,15,Sat,Jan,2011,2010-11,22.4,17.2,0.4,0.0,3,8,3,2,2,15,0,0
134,2011-01-01,15:00,London Irish,24,1,Bath,25,0,Madejski Stadium,Unknown,49,A,15,Sat,Jan,2011,2010-11,23.8,29.0,0.2,0.2,6,0,3,6,2,15,0,0
143,2011-01-02,16:15,Leicester,22,0,Exeter,15,1,Sandy Park,Unknown,37,A,16,Sun,Jan,2011,2010-11,30.2,17.2,0.6,0.2,5,1,3,9,3,15,0,0
140,2011-01-02,15:00,Sale,28,0,Saracens,22,1,Edgeley Park,Unknown,50,H,15,Sun,Jan,2011,2010-11,16.4,27.8,0.2,0.6,9,10,3,1,3,15,0,1
141,2011-01-02,15:00,Saracens,22,1,Sale,28,0,Edgeley Park,Unknown,50,H,15,Sun,Jan,2011,2010-11,15.6,15.0,0.2,0.4,10,9,3,1,3,15,0,1
142,2011-01-02,16:15,Exeter,15,1,Leicester,22,0,Sandy Park,Unknown,37,A,16,Sun,Jan,2011,2010-11,16.6,14.6,0.2,0.4,1,5,3,9,3,15,0,0
138,2011-01-02,14:45,Wasps,33,0,Newcastle,16,0,Adams Park,Unknown,49,H,14,Sun,Jan,2011,2010-11,18.2,12.8,0.2,0.2,11,7,3,0,3,15,0,1
144,2011-01-07,19:45,Newcastle,19,0,Sale,19,0,Kingston Park,Unknown,38,D,19,Fri,Jan,2011,2010-11,14.6,26.4,0.2,0.6,7,9,3,5,0,15,0,0
145,2011-01-07,19:45,Sale,19,0,Newcastle,19,0,Kingston Park,Unknown,38,D,19,Fri,Jan,2011,2010-11,20.8,31.6,0.2,0.6,9,7,3,5,0,15,0,0
146,2011-01-08,14:15,Bath,16,0,Leeds,13,1,Recreation Ground,Unknown,29,H,14,Sat,Jan,2011,2010-11,13.0,15.8,0.6,0.2,0,4,3,7,2,15,0,1
148,2011-01-08,15:00,Gloucester,37,1,Exeter,23,0,Kingsholm,Unknown,60,H,15,Sat,Jan,2011,2010-11,18.0,15.6,0.4,0.6,2,1,3,4,2,15,0,1
153,2011-01-08,15:00,Northampton,16,0,Leicester,27,0,Welford Road,Unknown,43,H,15,Sat,Jan,2011,2010-11,27.6,14.4,0.8,0.0,8,5,3,14,2,15,0,1
147,2011-01-08,14:15,Leeds,13,1,Bath,16,0,Recreation Ground,Unknown,29,H,14,Sat,Jan,2011,2010-11,10.6,20.4,0.4,0.4,4,0,3,7,2,15,0,1
150,2011-01-08,15:00,Harlequins,17,0,Wasps,10,1,Twickenham Stoop,Unknown,27,H,15,Sat,Jan,2011,2010-11,24.4,18.6,0.4,0.2,3,11,3,12,2,15,0,1
151,2011-01-08,15:00,Wasps,10,1,Harlequins,17,0,Twickenham Stoop,Unknown,27,H,15,Sat,Jan,2011,2010-11,21.4,14.4,0.2,0.2,11,3,3,12,2,15,0,1
152,2011-01-08,15:00,Leicester,27,0,Northampton,16,0,Welford Road,Unknown,43,H,15,Sat,Jan,2011,2010-11,32.2,16.4,0.4,0.4,5,8,3,14,2,15,0,1
149,2011-01-08,15:00,Exeter,23,0,Gloucester,37,1,Kingsholm,Unknown,60,H,15,Sat,Jan,2011,2010-11,17.8,16.6,0.2,0.4,1,2,3,4,2,15,0,1
155,2011-01-09,15:00,London Irish,6,1,Saracens,12,0,Vicarage Road,Unknown,18,H,15,Sun,Jan,2011,2010-11,20.8,28.8,0.2,0.2,6,10,3,13,3,15,0,1
154,2011-01-09,15:00,Saracens,12,0,London Irish,6,1,Vicarage Road,Unknown,18,H,15,Sun,Jan,2011,2010-11,18.2,16.0,0.4,0.4,10,6,3,13,3,15,0,1
