,date,team1Name,team2Name,venue,referee,result,day,month,season,avgLast5ScoresTeam1,avgLast5ScoresAgainstTeam1,avgLast5ScoresTeam2,avgLast5ScoresAgainstTeam2,avgLast5BpsTeam1,avgLast5BpsAgainstTeam1,avgLast5BpsTeam2,avgLast5BpsAgainstTeam2,avgLast5TriesTeam1,avgLast5ConversionsTeam1,avgLast5PenaltiesTeam1,avgLast5DropGoalsTeam1,avgLast5TriesAgainstTeam1,avgLast5ConversionsAgainstTeam1,avgLast5PenaltiesAgainstTeam1,avgLast5DropGoalsAgainstTeam1,avgLast5TriesTeam2,avgLast5ConversionsTeam2,avgLast5PenaltiesTeam2,avgLast5DropGoalsTeam2,avgLast5TriesAgainstTeam2,avgLast5ConversionsAgainstTeam2,avgLast5PenaltiesAgainstTeam2,avgLast5DropGoalsAgainstTeam2,targetCode,wonLastGameTeam1,wonLastGameTeam2,team1LastSeasonStanding,team2LastSeasonStanding
464,2014-11-14,Harlequins,Gloucester,Kingsholm,Andrew Small,W,Fri,Nov,2014-15,21.4,24.0,31.2,21.2,0.4,0.2,0.6,0.4,2.2,2.2,1.8,0.2,2.0,1.6,3.6,0.0,3.4,2.6,3.0,0.0,2.0,1.4,2.8,0.0,1,0.0,0,4,9
1124,2014-11-15,Bath,Newcastle,The Recreation Ground,Ian Tempest,W,Sat,Nov,2014-15,33.0,19.4,19.6,23.4,0.8,0.4,0.2,0.6,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,1,0.0,1,5,11
982,2014-11-15,Sale,London Irish,AJ Bell Stadium,Matthew Carley,W,Sat,Nov,2014-15,25.4,27.8,22.0,27.2,0.6,0.4,0.6,0.6,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,1,0.0,0,6,10
1,2014-11-15,Newcastle,Bath,The Recreation Ground,Ian Tempest,L,Sat,Nov,2014-15,19.6,23.4,33.0,19.4,0.2,0.6,0.8,0.4,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,0,1.0,0,11,5
1441,2014-11-15,London Irish,Sale,AJ Bell Stadium,Matthew Carley,L,Sat,Nov,2014-15,22.0,27.2,25.4,27.8,0.6,0.6,0.6,0.4,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,0,0.0,0,10,6
1107,2014-11-16,Wasps,London Welsh,Adams Park,Thomas Foley,W,Sun,Nov,2014-15,24.2,21.4,9.4,44.0,0.4,0.4,0.2,0.8,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,1,1.0,0,7,13
1772,2014-11-16,London Welsh,Wasps,Adams Park,Thomas Foley,L,Sun,Nov,2014-15,9.4,44.0,24.2,21.4,0.2,0.8,0.4,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,0,0.0,1,13,7
806,2014-11-16,Saracens,Leicester,Welford Road,Tim Wigglesworth,D,Sun,Nov,2014-15,30.8,18.6,16.2,27.2,0.2,0.6,0.2,0.6,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,0,1.0,1,1,3
1612,2014-11-16,Leicester,Saracens,Welford Road,Tim Wigglesworth,D,Sun,Nov,2014-15,16.2,27.2,30.8,18.6,0.2,0.6,0.2,0.6,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,0,1.0,1,3,1
634,2014-11-21,Sale,Harlequins,Twickenham Stoop,Thomas Foley,W,Fri,Nov,2014-15,27.2,22.6,25.8,19.2,0.4,0.4,0.4,0.4,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,1,1.0,1,6,4
1125,2014-11-21,Gloucester,Newcastle,Kingston Park,Tim Wigglesworth,L,Fri,Nov,2014-15,27.4,20.2,18.8,24.0,0.8,0.0,0.0,0.6,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,0,0.0,0,9,11
465,2014-11-21,Newcastle,Gloucester,Kingston Park,Tim Wigglesworth,W,Fri,Nov,2014-15,18.8,24.0,27.4,20.2,0.0,0.6,0.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,1,0.0,0,11,9
1442,2014-11-21,Harlequins,Sale,Twickenham Stoop,Thomas Foley,L,Fri,Nov,2014-15,25.8,19.2,27.2,22.6,0.4,0.4,0.4,0.4,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,0,1.0,1,4,6
2,2014-11-22,London Irish,Bath,Madejski Stadium,Andrew Small,L,Sat,Nov,2014-15,19.6,30.8,27.0,17.0,0.6,0.6,0.6,0.2,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,0,0.0,1,10,5
1773,2014-11-22,Exeter,Wasps,Sandy Park,Ian Tempest,W,Sat,Nov,2014-15,30.6,21.2,34.4,19.6,0.4,0.4,0.6,0.2,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,1,1.0,1,8,7
983,2014-11-22,Bath,London Irish,Madejski Stadium,Andrew Small,W,Sat,Nov,2014-15,27.0,17.0,19.6,30.8,0.6,0.2,0.6,0.6,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,1,1.0,0,5,10
282,2014-11-22,Wasps,Exeter,Sandy Park,Ian Tempest,L,Sat,Nov,2014-15,34.4,19.6,30.6,21.2,0.6,0.2,0.4,0.4,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,0,1.0,1,7,8
1108,2014-11-23,Leicester,London Welsh,Kassam Stadium,Dean Richards,W,Sun,Nov,2014-15,15.6,27.4,5.6,47.6,0.2,0.4,0.0,0.8,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,1,0.0,0,3,13
1272,2014-11-23,Saracens,Northampton,Allianz Park,Matthew Carley,L,Sun,Nov,2014-15,27.2,22.8,29.2,16.0,0.2,0.6,0.8,0.4,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,0,0.0,0,1,2
807,2014-11-23,London Welsh,Leicester,Kassam Stadium,Dean Richards,L,Sun,Nov,2014-15,5.6,47.6,15.6,27.4,0.0,0.8,0.2,0.4,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0,0.0,1,13,3
1613,2014-11-23,Northampton,Saracens,Allianz Park,Matthew Carley,W,Sun,Nov,2014-15,29.2,16.0,27.2,22.8,0.8,0.4,0.2,0.6,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,1,0.0,1,2,1
3,2014-11-28,Harlequins,Bath,The Recreation Ground,Wayne Barnes,L,Fri,Nov,2014-15,23.0,17.8,24.6,21.6,0.6,0.2,0.4,0.2,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,0,0.0,1,4,5
635,2014-11-28,Bath,Harlequins,The Recreation Ground,Wayne Barnes,W,Fri,Nov,2014-15,24.6,21.6,23.0,17.8,0.4,0.2,0.6,0.2,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,1,1.0,0,5,4
283,2014-11-29,Saracens,Exeter,Sandy Park,Greg Garner,L,Sat,Nov,2014-15,24.8,22.6,31.8,19.8,0.4,0.2,0.4,0.2,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,0,0.0,1,1,8
808,2014-11-29,Wasps,Leicester,Welford Road,Luke Pearce,L,Sat,Nov,2014-15,32.8,20.6,20.8,19.4,0.4,0.2,0.4,0.2,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,0,0.0,1,7,3
1774,2014-11-29,Leicester,Wasps,Welford Road,Luke Pearce,W,Sat,Nov,2014-15,20.8,19.4,32.8,20.6,0.4,0.2,0.4,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1,1.0,0,3,7
1614,2014-11-29,Exeter,Saracens,Sandy Park,Greg Garner,W,Sat,Nov,2014-15,31.8,19.8,24.8,22.6,0.4,0.2,0.4,0.2,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,1,1.0,0,8,1
984,2014-11-30,Gloucester,London Irish,Madejski Stadium,Matthew Carley,W,Sun,Nov,2014-15,25.0,19.2,17.8,30.2,0.6,0.0,0.2,0.6,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,1,0.0,0,9,10
1109,2014-11-30,Northampton,London Welsh,Kassam Stadium,Tim Wigglesworth,W,Sun,Nov,2014-15,28.4,18.8,5.0,43.6,0.6,0.6,0.0,0.8,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,1,1.0,0,2,13
466,2014-11-30,London Irish,Gloucester,Madejski Stadium,Matthew Carley,L,Sun,Nov,2014-15,17.8,30.2,25.0,19.2,0.2,0.6,0.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,0,0.0,0,10,9
1273,2014-11-30,London Welsh,Northampton,Kassam Stadium,Tim Wigglesworth,L,Sun,Nov,2014-15,5.0,43.6,28.4,18.8,0.0,0.8,0.6,0.6,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0,0.0,1,13,2
1443,2014-11-30,Newcastle,Sale,Kingston Park,Dean Richards,L,Sun,Nov,2014-15,20.8,19.0,21.2,23.4,0.0,0.4,0.2,0.6,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,0,1.0,1,11,6
1126,2014-11-30,Sale,Newcastle,Kingston Park,Dean Richards,W,Sun,Nov,2014-15,21.2,23.4,20.8,19.0,0.2,0.6,0.0,0.4,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,1,1.0,1,6,11
284,2014-12-19,Sale,Exeter,AJ Bell Stadium,Wayne Barnes,W,Fri,Dec,2014-15,21.0,18.0,30.0,21.0,0.2,0.6,0.4,0.2,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,1,1.0,1,6,8
1444,2014-12-19,Exeter,Sale,AJ Bell Stadium,Wayne Barnes,L,Fri,Dec,2014-15,30.0,21.0,21.0,18.0,0.4,0.2,0.2,0.6,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,0,1.0,1,8,6
1274,2014-12-20,Leicester,Northampton,Franklin's Gardens,JP Doyle,L,Sat,Dec,2014-15,20.6,18.2,30.8,16.8,0.2,0.4,0.6,0.4,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,0,1.0,1,3,2
1127,2014-12-20,Harlequins,Newcastle,Twickenham Stoop,Matthew Carley,W,Sat,Dec,2014-15,21.6,15.6,19.8,15.6,0.6,0.4,0.2,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,1,0.0,0,4,11
467,2014-12-20,Bath,Gloucester,Kingsholm,Greg Garner,W,Sat,Dec,2014-15,24.8,16.6,20.0,19.0,0.4,0.0,0.4,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,1,1.0,1,5,9
809,2014-12-20,Northampton,Leicester,Franklin's Gardens,JP Doyle,W,Sat,Dec,2014-15,30.8,16.8,20.6,18.2,0.6,0.4,0.2,0.4,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,1,1.0,1,2,3
1110,2014-12-20,Saracens,London Welsh,Allianz Park,Ian Tempest,W,Sat,Dec,2014-15,20.6,24.2,5.8,43.0,0.2,0.2,0.0,0.8,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1,0.0,0,1,13
636,2014-12-20,Newcastle,Harlequins,Twickenham Stoop,Matthew Carley,L,Sat,Dec,2014-15,19.8,15.6,21.6,15.6,0.2,0.2,0.6,0.4,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,0,0.0,0,11,4
4,2014-12-20,Gloucester,Bath,Kingsholm,Greg Garner,L,Sat,Dec,2014-15,20.0,19.0,24.8,16.6,0.4,0.0,0.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,0,1.0,1,9,5
1615,2014-12-20,London Welsh,Saracens,Allianz Park,Ian Tempest,L,Sat,Dec,2014-15,5.8,43.0,20.6,24.2,0.0,0.8,0.2,0.2,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0,0.0,0,13,1
1775,2014-12-21,London Irish,Wasps,Ricoh Arena,Thomas Foley,L,Sun,Dec,2014-15,15.2,30.6,29.0,20.6,0.2,0.4,0.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,0,0.0,0,10,7
985,2014-12-21,Wasps,London Irish,Ricoh Arena,Thomas Foley,W,Sun,Dec,2014-15,29.0,20.6,15.2,30.6,0.4,0.2,0.2,0.4,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,1,0.0,0,7,10
1111,2014-12-26,London Irish,London Welsh,Madejski Stadium,Greg Garner,W,Fri,Dec,2014-15,16.0,36.4,7.2,48.2,0.0,0.6,0.0,0.8,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1,0.0,0,10,13
