,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
63,2010-10-22,20:00,Saracens,15,Newcastle,13,Kingston Park,Unknown,28,A,20,Fri,Oct,2010,2010-11,24.0,19.4,12,9,9,12,0,45,0,0
60,2010-10-22,19:45,Leeds,3,Sale,6,Headingley,Unknown,9,A,19,Fri,Oct,2010,2010-11,16.2,33.6,5,11,9,9,0,45,0,0
61,2010-10-22,19:45,Sale,6,Leeds,3,Headingley,Unknown,9,A,19,Fri,Oct,2010,2010-11,21.8,23.8,11,5,9,9,0,45,0,0
62,2010-10-22,20:00,Newcastle,13,Saracens,15,Kingston Park,Unknown,28,A,20,Fri,Oct,2010,2010-11,17.6,28.6,9,12,9,12,0,45,0,0
65,2010-10-23,14:30,Bath,15,Leicester,21,Welford Road,Unknown,36,H,14,Sat,Oct,2010,2010-11,19.2,18.8,0,6,9,32,2,45,0,1
66,2010-10-23,15:00,Gloucester,33,Harlequins,26,Kingsholm,Unknown,59,H,15,Sat,Oct,2010,2010-11,17.6,17.8,3,4,9,11,2,45,0,1
67,2010-10-23,15:00,Harlequins,26,Gloucester,33,Kingsholm,Unknown,59,H,15,Sat,Oct,2010,2010-11,25.0,19.0,4,3,9,11,2,45,0,1
69,2010-10-23,17:15,London Irish,12,Exeter,9,Sandy Park,Unknown,21,A,17,Sat,Oct,2010,2010-11,31.0,17.6,7,2,9,20,2,45,0,0
64,2010-10-23,14:30,Leicester,21,Bath,15,Welford Road,Unknown,36,H,14,Sat,Oct,2010,2010-11,30.8,24.6,6,0,9,32,2,45,0,1
68,2010-10-23,17:15,Exeter,9,London Irish,12,Sandy Park,Unknown,21,A,17,Sat,Oct,2010,2010-11,21.0,26.2,2,7,9,20,2,45,0,0
70,2010-10-24,14:45,Wasps,10,Northampton,37,Adams Park,Unknown,47,A,14,Sun,Oct,2010,2010-11,25.6,26.8,13,10,9,1,3,45,0,0
71,2010-10-24,14:45,Northampton,37,Wasps,10,Adams Park,Unknown,47,A,14,Sun,Oct,2010,2010-11,24.4,18.0,10,13,9,1,3,45,0,0
77,2010-10-30,17:30,Leicester,12,Gloucester,19,Kingsholm,Wayne Barnes,31,H,17,Sat,Oct,2010,2010-11,31.2,22.2,6,3,9,11,2,46,0,1
75,2010-10-30,15:00,Exeter,23,Saracens,9,Vicarage Road,Tim Wigglesworth,32,A,15,Sat,Oct,2010,2010-11,18.4,26.6,2,12,9,31,2,43,0,0
74,2010-10-30,15:00,Saracens,9,Exeter,23,Vicarage Road,Tim Wigglesworth,32,A,15,Sat,Oct,2010,2010-11,23.8,15.4,12,2,9,31,2,43,0,0
76,2010-10-30,17:30,Gloucester,19,Leicester,12,Kingsholm,Wayne Barnes,31,H,17,Sat,Oct,2010,2010-11,22.2,18.6,3,6,9,11,2,46,0,1
73,2010-10-30,14:30,Newcastle,13,Northampton,34,Franklin's Gardens,Nigel Owens,47,H,14,Sat,Oct,2010,2010-11,16.6,24.6,9,10,9,7,2,37,0,1
72,2010-10-30,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,14,Sat,Oct,2010,2010-11,26.4,16.2,10,9,9,7,2,37,0,1
79,2010-10-31,15:00,Bath,6,Harlequins,6,Twickenham Stoop,Sean Davey,12,D,15,Sun,Oct,2010,2010-11,15.8,19.8,0,4,9,30,3,40,0,0
83,2010-10-31,15:00,Sale,26,London Irish,39,Madejski Stadium,Martin Fox,65,H,15,Sun,Oct,2010,2010-11,16.0,20.8,11,7,9,14,3,31,0,1
78,2010-10-31,15:00,Harlequins,6,Bath,6,Twickenham Stoop,Sean Davey,12,D,15,Sun,Oct,2010,2010-11,24.4,19.8,4,0,9,30,3,40,0,0
