,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
63,2010-12-26,15:00,Saracens,13,Wasps,6,Wembley Stadium,,19,H,15,Sun,Dec,2010,2010-11,22.6,17.4,12,13,1,24,3,-1,0,1
65,2010-12-27,16:15,Harlequins,28,London Irish,18,Twickenham Stadium,,46,H,16,Mon,Dec,2010,2010-11,27.2,13.8,4,7,1,20,1,-1,0,1
64,2010-12-27,15:00,Leicester,54,Sale,21,Welford Road,,75,H,15,Mon,Dec,2010,2010-11,33.6,16.0,6,11,1,23,1,-1,0,1
67,2011-01-01,15:00,London Irish,24,Bath,25,Madejski Stadium,,49,A,15,Sat,Jan,2011,2010-11,29.8,21.0,7,0,3,10,2,-1,0,0
68,2011-01-01,15:00,Northampton,13,Harlequins,16,Franklin's Gardens,,29,A,15,Sat,Jan,2011,2010-11,30.8,17.2,10,4,3,5,2,-1,0,0
71,2011-01-02,16:15,Exeter,15,Leicester,22,Sandy Park,,37,A,16,Sun,Jan,2011,2010-11,18.4,13.4,2,6,3,16,3,-1,0,0
69,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,,49,H,14,Sun,Jan,2011,2010-11,26.6,26.6,13,9,3,1,3,-1,0,1
74,2011-01-08,15:00,Gloucester,37,Exeter,23,Kingsholm,,60,H,15,Sat,Jan,2011,2010-11,23.0,18.4,3,2,3,8,2,-1,0,1
75,2011-01-08,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,,27,H,15,Sat,Jan,2011,2010-11,29.6,13.4,4,13,3,21,2,-1,0,1
76,2011-01-08,15:00,Leicester,27,Northampton,16,Welford Road,,43,H,15,Sat,Jan,2011,2010-11,37.0,14.8,6,10,3,23,2,-1,0,1
73,2011-01-08,14:15,Bath,16,Leeds,13,Recreation Ground,,29,H,14,Sat,Jan,2011,2010-11,14.6,15.0,0,5,3,11,2,-1,0,1
77,2011-01-09,15:00,Saracens,12,London Irish,6,Vicarage Road,,18,H,15,Sun,Jan,2011,2010-11,19.6,16.0,12,7,3,22,3,-1,0,1
78,2011-02-11,19:45,Sale,7,Bath,19,Edgeley Park,,26,A,19,Fri,Feb,2011,2010-11,23.6,20.2,11,0,2,4,0,-1,0,0
81,2011-02-12,15:00,Northampton,15,Saracens,29,Franklin's Gardens,,44,A,15,Sat,Feb,2011,2010-11,28.0,16.6,10,12,2,5,2,-1,0,0
79,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,,37,H,12,Sat,Feb,2011,2010-11,28.0,22.8,7,9,2,10,2,-1,0,1
80,2011-02-12,15:00,Exeter,20,Harlequins,6,Sandy Park,,26,H,15,Sat,Feb,2011,2010-11,17.0,15.8,2,4,2,16,2,-1,0,1
82,2011-02-13,15:00,Leeds,9,Leicester,15,Headingley,,24,A,15,Sun,Feb,2011,2010-11,11.2,18.8,5,6,2,6,3,-1,0,0
83,2011-02-13,17:00,Wasps,9,Gloucester,10,Adams Park,,19,A,17,Sun,Feb,2011,2010-11,27.4,24.0,13,3,2,1,3,-1,0,0
84,2011-02-18,19:45,Gloucester,23,London Irish,9,Kingsholm,,32,H,19,Fri,Feb,2011,2010-11,26.0,18.8,3,7,2,8,0,-1,0,1
85,2011-02-18,20:00,Newcastle,13,Exeter,23,Kingston Park,,36,A,20,Fri,Feb,2011,2010-11,17.0,20.6,9,2,2,9,0,-1,0,0
86,2011-02-19,15:00,Bath,38,Northampton,8,Recreation Ground,,46,H,15,Sat,Feb,2011,2010-11,13.8,15.0,0,10,2,11,2,-1,0,1
87,2011-02-19,15:00,Harlequins,21,Sale,9,Twickenham Stoop,,30,H,15,Sat,Feb,2011,2010-11,25.0,12.8,4,11,2,21,2,-1,0,1
88,2011-02-19,17:30,Leicester,21,Wasps,12,Welford Road,,33,H,17,Sat,Feb,2011,2010-11,32.8,16.8,6,13,2,23,2,-1,0,1
89,2011-02-20,15:00,Saracens,39,Leeds,0,Vicarage Road,,39,H,15,Sun,Feb,2011,2010-11,17.2,13.8,12,5,2,22,3,-1,0,1
90,2011-02-25,19:45,Sale,16,Leicester,18,Edgeley Park,,34,A,19,Fri,Feb,2011,2010-11,18.0,20.4,11,6,2,4,0,-1,0,0
93,2011-02-26,15:00,Northampton,16,Gloucester,18,Franklin's Gardens,,34,A,15,Sat,Feb,2011,2010-11,24.8,20.4,10,3,2,5,2,-1,0,0
91,2011-02-26,15:00,Exeter,9,Bath,12,Sandy Park,,21,A,15,Sat,Feb,2011,2010-11,16.6,13.6,2,0,2,16,2,-1,0,0
