,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
63,2010-12-26,15:00,Saracens,13,Wasps,6,Wembley Stadium,,19,H,15,Sun,Dec,2010,2010-11,22.6,17.4,10,11,1,15,3,-1,0,1
65,2010-12-27,16:15,Harlequins,28,London Irish,18,Twickenham Stadium,,46,H,16,Mon,Dec,2010,2010-11,27.2,13.8,3,6,1,11,1,-1,0,1
64,2010-12-27,15:00,Leicester,54,Sale,21,Welford Road,,75,H,15,Mon,Dec,2010,2010-11,33.6,16.0,5,9,1,14,1,-1,0,1
67,2011-01-01,15:00,London Irish,24,Bath,25,Madejski Stadium,,49,A,15,Sat,Jan,2011,2010-11,29.8,21.0,6,0,3,6,2,-1,0,0
68,2011-01-01,15:00,Northampton,13,Harlequins,16,Franklin's Gardens,,29,A,15,Sat,Jan,2011,2010-11,30.8,17.2,8,3,3,2,2,-1,0,0
71,2011-01-02,16:15,Exeter,15,Leicester,22,Sandy Park,,37,A,16,Sun,Jan,2011,2010-11,18.4,13.4,1,5,3,9,3,-1,0,0
69,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,,49,H,14,Sun,Jan,2011,2010-11,26.6,26.6,11,7,3,0,3,-1,0,1
73,2011-01-08,14:15,Bath,16,Leeds,13,Recreation Ground,,29,H,14,Sat,Jan,2011,2010-11,14.6,15.0,0,4,3,7,2,-1,0,1
75,2011-01-08,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,,27,H,15,Sat,Jan,2011,2010-11,29.6,13.4,3,11,3,12,2,-1,0,1
74,2011-01-08,15:00,Gloucester,37,Exeter,23,Kingsholm,,60,H,15,Sat,Jan,2011,2010-11,23.0,18.4,2,1,3,4,2,-1,0,1
76,2011-01-08,15:00,Leicester,27,Northampton,16,Welford Road,,43,H,15,Sat,Jan,2011,2010-11,37.0,14.8,5,8,3,14,2,-1,0,1
77,2011-01-09,15:00,Saracens,12,London Irish,6,Vicarage Road,,18,H,15,Sun,Jan,2011,2010-11,19.6,16.0,10,6,3,13,3,-1,0,1
78,2011-02-11,19:45,Sale,7,Bath,19,Edgeley Park,,26,A,19,Fri,Feb,2011,2010-11,23.6,20.2,9,0,2,1,0,-1,0,0
79,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,,37,H,12,Sat,Feb,2011,2010-11,28.0,22.8,6,7,2,6,2,-1,0,1
80,2011-02-12,15:00,Exeter,20,Harlequins,6,Sandy Park,,26,H,15,Sat,Feb,2011,2010-11,17.0,15.8,1,3,2,9,2,-1,0,1
81,2011-02-12,15:00,Northampton,15,Saracens,29,Franklin's Gardens,,44,A,15,Sat,Feb,2011,2010-11,28.0,16.6,8,10,2,2,2,-1,0,0
83,2011-02-13,17:00,Wasps,9,Gloucester,10,Adams Park,,19,A,17,Sun,Feb,2011,2010-11,27.4,24.0,11,2,2,0,3,-1,0,0
82,2011-02-13,15:00,Leeds,9,Leicester,15,Headingley,,24,A,15,Sun,Feb,2011,2010-11,11.2,18.8,4,5,2,3,3,-1,0,0
85,2011-02-18,20:00,Newcastle,13,Exeter,23,Kingston Park,,36,A,20,Fri,Feb,2011,2010-11,17.0,20.6,7,1,2,5,0,-1,0,0
84,2011-02-18,19:45,Gloucester,23,London Irish,9,Kingsholm,,32,H,19,Fri,Feb,2011,2010-11,26.0,18.8,2,6,2,4,0,-1,0,1
87,2011-02-19,15:00,Harlequins,21,Sale,9,Twickenham Stoop,,30,H,15,Sat,Feb,2011,2010-11,25.0,12.8,3,9,2,12,2,-1,0,1
88,2011-02-19,17:30,Leicester,21,Wasps,12,Welford Road,,33,H,17,Sat,Feb,2011,2010-11,32.8,16.8,5,11,2,14,2,-1,0,1
