date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
13/Sep/2014,15:00,Bath,53,1,London Welsh,26,1,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,London Welsh,26,1,Bath,53,1,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,Gloucester,34,0,Sale,27,2,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:00,Sale,27,2,Gloucester,34,0,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:15,Exeter,20,1,Leicester,24,0,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15
13/Sep/2014,15:15,Leicester,24,0,Exeter,20,1,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15
14/Sep/2014,14:00,Wasps,20,0,Northampton,16,1,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15
14/Sep/2014,14:00,Northampton,16,1,Wasps,20,0,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15
14/Sep/2014,15:00,Newcastle,18,1,London Irish,20,0,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15
14/Sep/2014,15:00,London Irish,20,0,Newcastle,18,1,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15
19/Sep/2014,19:45,Gloucester,22,1,Exeter,25,0,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15
19/Sep/2014,19:45,Exeter,25,0,Gloucester,22,1,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15
20/Sep/2014,14:00,Sale,46,1,London Welsh,8,0,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15
20/Sep/2014,14:00,London Welsh,8,0,Sale,46,1,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Harlequins,26,0,Wasps,23,1,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Wasps,23,1,Harlequins,26,0,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,London Irish,32,2,Saracens,36,0,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:00,Saracens,36,0,London Irish,32,2,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:15,Bath,45,1,Leicester,0,0,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15
20/Sep/2014,15:15,Leicester,0,0,Bath,45,1,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15
21/Sep/2014,14:00,Newcastle,10,0,Northampton,35,1,Kingston Park,Greg Garner,45,A,N,14,Sun,Sep,2014,2014-15
21/Sep/2014,14:00,Northampton,35,1,Newcastle,10,0,Kingston Park,Greg Garner,45,A,N,14,Sun,Sep,2014,2014-15
26/Sep/2014,19:45,London Welsh,10,0,Gloucester,46,1,Kassam Stadium,Luke Pearce,56,A,N,19,Fri,Sep,2014,2014-15
26/Sep/2014,19:45,Gloucester,46,1,London Welsh,10,0,Kassam Stadium,Luke Pearce,56,A,N,19,Fri,Sep,2014,2014-15
27/Sep/2014,15:00,Leicester,19,1,London Irish,22,0,Welford Road,Greg Garner,41,A,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,London Irish,22,0,Leicester,19,1,Welford Road,Greg Garner,41,A,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,Saracens,40,1,Sale,19,0,Allianz Park,JP Doyle,59,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:00,Sale,19,0,Saracens,40,1,Allianz Park,JP Doyle,59,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:15,Northampton,31,1,Bath,24,1,Franklin's Gardens,Tim Wigglesworth,55,H,N,15,Sat,Sep,2014,2014-15
27/Sep/2014,15:15,Bath,24,1,Northampton,31,1,Franklin's Gardens,Tim Wigglesworth,55,H,N,15,Sat,Sep,2014,2014-15
28/Sep/2014,14:00,Exeter,36,0,Harlequins,13,0,Sandy Park,Andrew Small,49,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Harlequins,13,0,Exeter,36,0,Sandy Park,Andrew Small,49,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Wasps,35,1,Newcastle,18,0,Adams Park,Dean Richards,53,H,N,14,Sun,Sep,2014,2014-15
28/Sep/2014,14:00,Newcastle,18,0,Wasps,35,1,Adams Park,Dean Richards,53,H,N,14,Sun,Sep,2014,2014-15
03/Oct/2014,19:45,Bath,21,0,Saracens,11,0,The Recreation Ground,Greg Garner,32,H,N,19,Fri,Oct,2014,2014-15
03/Oct/2014,19:45,Saracens,11,0,Bath,21,0,The Recreation Ground,Greg Garner,32,H,N,19,Fri,Oct,2014,2014-15
04/Oct/2014,15:00,Harlequins,52,1,London Welsh,0,0,Twickenham Stoop,Dean Richards,52,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,London Welsh,0,0,Harlequins,52,1,Twickenham Stoop,Dean Richards,52,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,London Irish,12,1,Northampton,19,0,Madejski Stadium,Matthew Carley,31,A,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:00,Northampton,19,0,London Irish,12,1,Madejski Stadium,Matthew Carley,31,A,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:15,Gloucester,33,0,Leicester,16,0,Kingsholm,Andrew Small,49,H,N,15,Sat,Oct,2014,2014-15
04/Oct/2014,15:15,Leicester,16,0,Gloucester,33,0,Kingsholm,Andrew Small,49,H,N,15,Sat,Oct,2014,2014-15
05/Oct/2014,14:00,Sale,25,0,Wasps,14,0,AJ Bell Stadium,Luke Pearce,39,H,N,14,Sun,Oct,2014,2014-15
05/Oct/2014,14:00,Wasps,14,0,Sale,25,0,AJ Bell Stadium,Luke Pearce,39,H,N,14,Sun,Oct,2014,2014-15
05/Oct/2014,15:00,Newcastle,29,0,Exeter,24,1,Kingston Park,Tim Wigglesworth,53,H,N,15,Sun,Oct,2014,2014-15
05/Oct/2014,15:00,Exeter,24,1,Newcastle,29,0,Kingston Park,Tim Wigglesworth,53,H,N,15,Sun,Oct,2014,2014-15
10/Oct/2014,19:45,Leicester,22,0,Harlequins,16,1,Welford Road,Tim Wigglesworth,38,H,N,19,Fri,Oct,2014,2014-15
10/Oct/2014,19:45,Harlequins,16,1,Leicester,22,0,Welford Road,Tim Wigglesworth,38,H,N,19,Fri,Oct,2014,2014-15
11/Oct/2014,14:30,London Welsh,3,0,Newcastle,23,0,Kassam Stadium,Wayne Barnes,26,A,N,14,Sat,Oct,2014,2014-15
11/Oct/2014,14:30,Newcastle,23,0,London Welsh,3,0,Kassam Stadium,Wayne Barnes,26,A,N,14,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Exeter,44,1,London Irish,24,0,Sandy Park,Ian Tempest,68,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,London Irish,24,0,Exeter,44,1,Sandy Park,Ian Tempest,68,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Saracens,28,0,Gloucester,21,1,Allianz Park,Dean Richards,49,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:00,Gloucester,21,1,Saracens,28,0,Allianz Park,Dean Richards,49,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:15,Northampton,43,1,Sale,10,0,Franklin's Gardens,Andrew Small,53,H,N,15,Sat,Oct,2014,2014-15
11/Oct/2014,15:15,Sale,10,0,Northampton,43,1,Franklin's Gardens,Andrew Small,53,H,N,15,Sat,Oct,2014,2014-15
12/Oct/2014,14:00,Wasps,29,0,Bath,22,1,Adams Park,JP Doyle,51,H,N,14,Sun,Oct,2014,2014-15
