date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
13-Sep-14,15:00,Sale,27,2,Gloucester,34,0,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15,4,2,1,0,3,2,5,0
13-Sep-14,15:15,Exeter,20,1,Leicester,24,0,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15,2,2,2,0,2,1,4,0
13-Sep-14,15:15,Leicester,24,0,Exeter,20,1,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15,2,1,4,0,2,2,2,0
14-Sep-14,14:00,Wasps,20,0,Northampton,16,1,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15,2,2,2,0,1,1,3,0
14-Sep-14,14:00,Northampton,16,1,Wasps,20,0,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15,1,1,3,0,2,2,2,0
14-Sep-14,15:00,Newcastle,18,1,London Irish,20,0,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15,3,0,1,0,2,2,2,0
14-Sep-14,15:00,London Irish,20,0,Newcastle,18,1,Kingston Park,Andrew Small,38,A,N,15,Sun,Sep,2014,2014-15,2,2,2,0,3,0,1,0
19-Sep-14,19:45,Gloucester,22,1,Exeter,25,0,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15,3,2,1,0,1,1,6,0
19-Sep-14,19:45,Exeter,25,0,Gloucester,22,1,Kingsholm,Matthew Carley,47,A,N,19,Fri,Sep,2014,2014-15,1,1,6,0,3,2,1,0
20-Sep-14,14:00,Sale,46,1,London Welsh,8,0,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15,6,5,2,0,1,0,1,0
20-Sep-14,14:00,London Welsh,8,0,Sale,46,1,AJ Bell Stadium,Andrew Small,54,H,N,14,Sat,Sep,2014,2014-15,1,0,1,0,6,5,2,0
20-Sep-14,15:00,Harlequins,26,0,Wasps,23,1,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15,2,2,3,1,3,1,2,0
20-Sep-14,15:00,Wasps,23,1,Harlequins,26,0,Twickenham Stoop,JP Doyle,49,H,N,15,Sat,Sep,2014,2014-15,3,1,2,0,2,2,3,1
20-Sep-14,15:00,London Irish,32,2,Saracens,36,0,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15,4,3,2,0,3,3,5,0
20-Sep-14,15:00,Saracens,36,0,London Irish,32,2,Madejski Stadium,Luke Pearce,68,A,N,15,Sat,Sep,2014,2014-15,3,3,5,0,4,3,2,0
20-Sep-14,15:15,Bath,45,1,Leicester,0,0,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15,5,4,3,1,0,0,0,0
20-Sep-14,15:15,Leicester,0,0,Bath,45,1,The Recreation Ground,Wayne Barnes,45,H,N,15,Sat,Sep,2014,2014-15,0,0,0,0,5,4,3,1
