date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
03/Sep/2010,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,N,19,Fri,Sep,2010,2010-11
04/Sep/2010,14:00,London Irish,33,Saracens,16,Twickenham Stadium,Andrew Small,49,H,N,14,Sat,Sep,2010,2010-11
04/Sep/2010,15:00,Exeter,22,Gloucester,10,Sandy Park,Rob Debney,32,H,N,15,Sat,Sep,2010,2010-11
04/Sep/2010,16:30,Wasps,29,Harlequins,29,Twickenham Stadium,Chris White,58,D,N,16,Sat,Sep,2010,2010-11
05/Sep/2010,15:00,Leeds,16,Bath,32,Headingley,N/A,48,A,N,15,Sun,Sep,2010,2010-11
05/Sep/2010,15:00,Northampton,27,Leicester,19,Franklin's Gardens,Dave Pearson,46,H,N,15,Sun,Sep,2010,2010-11
10/Sep/2010,20:00,Newcastle,29,Wasps,17,Kingston Park,N/A,46,H,N,20,Fri,Sep,2010,2010-11
11/Sep/2010,13:30,Harlequins,16,Northampton,20,Twickenham Stoop,Andrew Small,36,A,N,13,Sat,Sep,2010,2010-11
11/Sep/2010,14:15,Bath,20,London Irish,13,Recreation Ground,Dave Pearson,33,H,N,14,Sat,Sep,2010,2010-11
11/Sep/2010,15:00,Gloucester,22,Leeds,21,Kingsholm,N/A,43,H,N,15,Sat,Sep,2010,2010-11
11/Sep/2010,17:30,Leicester,37,Exeter,27,Welford Road,Dean Richards,64,H,N,17,Sat,Sep,2010,2010-11
12/Sep/2010,14:15,Saracens,28,Sale,13,Vicarage Road,Wayne Barnes,41,H,N,14,Sun,Sep,2010,2010-11
17/Sep/2010,19:45,Northampton,31,Bath,10,Franklin's Gardens,Chris White,41,H,N,19,Fri,Sep,2010,2010-11
17/Sep/2010,19:45,Sale,21,Harlequins,17,Edgeley Park,Dave Pearson,38,H,N,19,Fri,Sep,2010,2010-11
18/Sep/2010,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,N,15,Sat,Sep,2010,2010-11
18/Sep/2010,15:05,Wasps,37,Leicester,30,Adams Park,Wayne Barnes,67,H,N,15,Sat,Sep,2010,2010-11
19/Sep/2010,15:00,London Irish,23,Gloucester,16,Madejski Stadium,Dean Richards,39,H,N,15,Sun,Sep,2010,2010-11
19/Sep/2010,15:00,Leeds,14,Saracens,26,Headingley,Sean Davey,40,A,N,15,Sun,Sep,2010,2010-11
25/Sep/2010,14:15,Bath,31,Sale,16,Recreation Ground,N/A,47,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,14:30,Gloucester,22,Wasps,20,Kingsholm,N/A,42,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Harlequins,40,Exeter,13,Twickenham Stoop,N/A,53,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Leicester,48,Leeds,6,Welford Road,N/A,54,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,17:15,Newcastle,12,London Irish,46,Kingston Park,N/A,58,A,N,17,Sat,Sep,2010,2010-11
26/Sep/2010,15:00,Saracens,24,Northampton,17,Vicarage Road,N/A,41,H,N,15,Sun,Sep,2010,2010-11
01/Oct/2010,19:45,Sale,24,Wasps,25,Edgeley Park,N/A,49,A,N,19,Fri,Oct,2010,2010-11
01/Oct/2010,20:05,Bath,3,Gloucester,18,Recreation Ground,N/A,21,A,N,20,Fri,Oct,2010,2010-11
02/Oct/2010,15:00,Harlequins,23,Newcastle,12,Twickenham Stoop,N/A,35,H,N,15,Sat,Oct,2010,2010-11
02/Oct/2010,15:00,London Irish,40,Leeds,24,Madejski Stadium,N/A,64,H,N,15,Sat,Oct,2010,2010-11
02/Oct/2010,15:00,Northampton,27,Exeter,21,Franklin's Gardens,N/A,48,H,N,15,Sat,Oct,2010,2010-11
03/Oct/2010,16:30,Saracens,26,Leicester,20,Vicarage Road,N/A,46,H,N,16,Sun,Oct,2010,2010-11
22/Oct/2010,19:45,Leeds,3,Sale,6,Headingley,N/A,9,A,N,19,Fri,Oct,2010,2010-11
22/Oct/2010,20:00,Newcastle,13,Saracens,15,Kingston Park,N/A,28,A,N,20,Fri,Oct,2010,2010-11
23/Oct/2010,14:30,Leicester,21,Bath,15,Welford Road,N/A,36,H,N,14,Sat,Oct,2010,2010-11
23/Oct/2010,15:00,Gloucester,33,Harlequins,26,Kingsholm,N/A,59,H,N,15,Sat,Oct,2010,2010-11
23/Oct/2010,17:15,Exeter,9,London Irish,12,Sandy Park,N/A,21,A,N,17,Sat,Oct,2010,2010-11
24/Oct/2010,14:45,Wasps,10,Northampton,37,Adams Park,N/A,47,A,N,14,Sun,Oct,2010,2010-11
30/Oct/2010,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,N,14,Sat,Oct,2010,2010-11
