,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent
320,2017-04-28,19:45,Harlequins,32,Wasps,13,Twickenham Stoop,Wayne Barnes,45,H,Apr,2017,2016-17,25.53,20.79,46.32,26.81,27.61,26.22,25.92,26.66,23.7,21.88,21.22,21.85,22.14,50.51,49.49,47.44,47.76,27.62,33.36,27.36,26.45,23.69,25.64,25.64,23.36,25.6,27.8,33.33,34.0
321,2018-02-11,13:00,Harlequins,22,Wasps,44,Twickenham Stoop,Wayne Barnes,66,A,Feb,2018,2017-18,25.53,20.79,46.32,24.06,26.3,26.46,25.92,26.66,19.15,22.3,22.11,21.85,22.14,43.21,48.6,48.57,47.76,23.43,22.27,25.73,26.45,24.65,24.5,27.42,23.36,25.6,27.8,33.33,34.0
322,2018-12-29,16:00,Harlequins,20,Wasps,13,Twickenham Stadium,Craig Maxwell-Keys,33,H,Dec,2018,2018-19,25.53,20.79,46.32,24.03,26.3,26.84,27.67,26.66,19.75,22.3,21.13,23.38,22.14,43.78,48.6,47.97,51.05,27.19,22.27,27.55,28.5,22.36,24.5,19.18,21.4,25.6,27.8,33.33,34.0
323,2020-09-28,19:45,Harlequins,23,Wasps,32,Twickenham Stoop,Luke Pearce,55,A,Sep,2020,2019-20,25.53,20.79,46.32,27.03,26.97,26.4,25.92,26.66,22.25,21.69,20.47,21.85,22.14,49.28,48.65,46.87,47.76,26.19,23.11,25.0,26.45,23.09,25.9,22.08,23.36,25.6,27.8,33.33,34.0
324,2021-05-09,15:00,Harlequins,48,Wasps,46,Twickenham Stoop,Wayne Barnes,94,H,May,2021,2020-21,25.53,20.79,46.32,29.94,27.48,26.85,25.92,26.66,22.83,23.14,22.77,21.85,22.14,52.77,50.62,49.62,47.76,26.58,38.67,36.55,26.45,25.75,25.15,26.36,23.36,25.6,27.8,33.33,34.0
325,2022-02-19,15:00,Harlequins,29,Wasps,24,Twickenham Stoop,Craig Maxwell-Keys,53,H,Feb,2022,2021-22,25.53,20.79,46.32,24.06,28.22,27.83,25.92,26.66,19.15,24.39,23.63,21.85,22.14,43.21,52.61,51.46,47.76,23.43,23.91,27.92,26.45,24.65,24.9,23.0,23.36,25.6,27.8,33.33,34.0
326,2010-11-27,17:30,Bath,6,Wasps,11,Recreation Ground,Dean Richards,17,A,Nov,2010,2010-11,25.53,20.79,46.32,22.73,23.75,23.46,23.49,24.21,18.47,18.05,18.07,21.09,22.14,41.2,41.8,41.53,44.58,19.0,14.6,20.0,23.49,18.67,16.0,12.82,26.67,21.4,27.8,30.67,39.33
327,2012-04-21,14:15,Bath,17,Wasps,12,Recreation Ground,Dave Pearson,29,H,Apr,2012,2011-12,25.53,20.79,46.32,26.81,22.83,22.71,23.49,24.21,23.7,18.33,18.7,21.09,22.14,50.51,41.17,41.41,44.58,26.71,20.75,21.0,23.49,23.69,20.09,15.55,26.67,21.4,27.8,30.67,39.33
328,2012-09-08,14:15,Bath,30,Wasps,23,The Recreation Ground,N/A,53,H,Sep,2012,2012-13,25.53,20.79,46.32,27.03,22.83,24.81,25.84,24.21,22.25,18.33,19.37,17.8,22.14,49.28,41.17,44.19,43.64,30.64,20.75,26.27,25.84,23.09,20.09,20.64,24.5,21.4,27.8,30.67,39.33
329,2014-02-22,14:00,Bath,32,Wasps,25,The Recreation Ground,Matthew Carley,57,H,Feb,2014,2013-14,25.53,20.79,46.32,24.06,25.03,22.18,25.84,24.21,19.15,20.78,19.22,17.8,22.14,43.21,45.81,41.4,43.64,23.9,27.17,21.64,25.84,24.65,18.36,18.55,24.5,21.4,27.8,30.67,39.33
330,2015-01-10,15:00,Bath,39,Wasps,26,The Recreation Ground,Andrew Small,65,H,Jan,2015,2014-15,25.53,20.79,46.32,23.57,25.84,27.21,25.84,24.21,19.12,20.54,20.83,17.8,22.14,42.69,46.38,48.04,43.64,26.43,27.18,32.15,25.84,22.5,28.62,25.91,24.5,21.4,27.8,30.67,39.33
331,2016-02-20,15:15,Bath,18,Wasps,24,The Recreation Ground,Thomas Foley,42,A,Feb,2016,2015-16,25.53,20.79,46.32,24.06,24.56,23.9,25.84,24.21,19.15,19.5,19.54,17.8,22.14,43.21,44.06,43.44,43.64,23.9,24.69,21.27,25.84,24.65,26.07,26.25,24.5,21.4,27.8,30.67,39.33
332,2017-03-04,15:00,Bath,3,Wasps,24,Recreation Ground,JP Doyle,27,A,Mar,2017,2016-17,25.53,20.79,46.32,25.91,27.61,26.22,23.49,24.21,20.79,21.88,21.22,21.09,22.14,46.7,49.49,47.44,44.58,21.39,27.73,26.73,23.49,19.53,25.64,25.64,26.67,21.4,27.8,30.67,39.33
333,2017-12-29,19:45,Bath,26,Wasps,31,Recreation Ground,Luke Pearce,57,A,Dec,2017,2017-18,25.53,20.79,46.32,24.03,27.61,26.46,23.49,24.21,19.75,21.88,22.11,21.09,22.14,43.78,49.49,48.57,44.58,15.71,27.73,31.09,23.49,22.36,25.64,27.42,26.67,21.4,27.8,30.67,39.33
334,2019-05-05,15:00,Bath,29,Wasps,17,Recreation Ground,Luke Pearce,46,H,May,2019,2018-19,25.53,20.79,46.32,29.94,25.38,26.84,23.49,24.21,22.83,20.14,21.13,21.09,22.14,52.77,45.52,47.97,44.58,33.73,21.67,23.82,23.49,25.75,17.33,19.18,26.67,21.4,27.8,30.67,39.33
335,2020-08-31,15:00,Bath,23,Wasps,27,Recreation Ground,Wayne Barnes,50,A,Aug,2020,2019-20,25.53,20.79,46.32,24.16,26.97,26.4,23.49,24.21,21.72,21.69,20.47,21.09,22.14,45.88,48.65,46.87,44.58,28.5,23.12,21.45,23.49,30.5,25.9,22.08,26.67,21.4,27.8,30.67,39.33
336,2021-01-08,19:45,Bath,44,Wasps,52,Recreation Ground,Matthew Carley,96,A,Jan,2021,2020-21,25.53,20.79,46.32,23.57,27.48,26.85,23.49,24.21,19.12,23.14,22.77,21.09,22.14,42.69,50.62,49.62,44.58,26.43,22.29,24.1,23.49,22.5,25.15,26.36,26.67,21.4,27.8,30.67,39.33
337,2021-10-30,15:00,Bath,17,Wasps,27,Recreation Ground,Ian Tempest,44,A,Oct,2021,2021-22,25.53,20.79,46.32,24.99,27.48,27.83,23.49,24.21,20.42,23.14,23.63,21.09,22.14,45.42,50.62,51.46,44.58,20.62,22.29,21.42,23.49,17.47,25.15,23.0,26.67,21.4,27.8,30.67,39.33
338,2022-09-23,19:45,Bath,31,Wasps,39,Recreation Ground,Wayne Barnes,70,A,Sep,2022,2022-23,25.53,20.79,46.32,27.03,28.22,28.32,23.49,24.21,22.25,24.39,25.77,21.09,22.14,49.28,52.61,54.09,44.58,30.64,23.15,21.17,23.49,23.09,24.9,30.0,26.67,21.4,27.8,30.67,39.33
339,2011-02-19,17:30,Leicester,21,Wasps,12,Welford Road,N/A,33,H,Feb,2011,2010-11,25.53,20.79,46.32,24.06,23.01,23.46,26.99,26.91,19.15,18.59,18.07,19.49,22.14,43.21,41.59,41.53,46.47,28.84,24.08,29.69,26.99,24.65,11.55,12.82,14.67,25.4,27.8,21.67,9.0
340,2012-01-07,17:00,Leicester,19,Wasps,11,Welford Road,Tim Wigglesworth,30,H,Jan,2012,2011-12,25.53,20.79,46.32,23.57,22.83,22.71,26.99,26.91,19.12,18.33,18.7,19.49,22.14,42.69,41.17,41.41,46.47,25.08,26.38,28.75,26.99,22.5,20.09,15.55,14.67,25.4,27.8,21.67,9.0
341,2013-04-14,15:45,Leicester,35,Wasps,16,Welford Road,JP Doyle,51,H,Apr,2013,2012-13,25.53,20.79,46.32,26.81,23.78,24.81,26.99,26.91,23.7,18.95,19.37,19.49,22.14,50.51,42.72,44.19,46.47,31.14,29.85,27.92,26.99,23.69,20.27,20.64,14.67,25.4,27.8,21.67,9.0
342,2014-04-12,15:00,Leicester,27,Wasps,15,Welford Road,Andrew Small,42,H,Apr,2014,2013-14,25.53,20.79,46.32,26.81,25.03,22.18,26.99,26.91,23.7,20.78,19.22,19.49,22.14,50.51,45.81,41.4,46.47,31.14,25.7,26.27,26.99,23.69,18.36,18.55,14.67,25.4,27.8,21.67,9.0
343,2014-11-29,15:00,Leicester,18,Wasps,16,Welford Road,Luke Pearce,34,H,Nov,2014,2014-15,25.53,20.79,46.32,22.73,25.03,27.21,26.99,26.91,18.47,20.78,20.83,19.49,22.14,41.2,45.81,48.04,46.47,25.44,25.7,24.0,26.99,18.67,18.36,25.91,14.67,25.4,27.8,21.67,9.0
344,2015-11-01,15:15,Leicester,24,Wasps,16,Welford Road,Tim Wigglesworth,40,H,Nov,2015,2015-16,25.53,20.79,46.32,22.73,25.84,23.9,26.99,26.91,18.47,20.54,19.54,19.49,22.14,41.2,46.38,43.44,46.47,25.44,23.7,26.09,26.99,18.67,28.62,26.25,14.67,25.4,27.8,21.67,9.0
345,2016-09-10,15:00,Leicester,22,Wasps,34,Welford Road,Greg Garner,56,A,Sep,2016,2016-17,25.53,20.79,46.32,27.03,24.56,26.22,26.99,26.91,22.25,19.5,21.22,19.49,22.14,49.28,44.06,47.44,46.47,29.83,27.67,28.73,26.99,23.09,26.07,25.64,14.67,25.4,27.8,21.67,9.0
346,2018-03-25,15:00,Leicester,16,Wasps,15,Welford Road,Luke Pearce,31,H,Mar,2018,2017-18,25.53,20.79,46.32,25.91,26.3,26.46,26.99,26.91,20.79,22.3,22.11,19.49,22.14,46.7,48.6,48.57,46.47,28.93,27.4,23.45,26.99,19.53,24.5,27.42,14.67,25.4,27.8,21.67,9.0
347,2019-03-02,15:00,Leicester,19,Wasps,14,Welford Road,JP Doyle,33,H,Mar,2019,2018-19,25.53,20.79,46.32,25.91,25.38,26.84,26.99,26.91,20.79,20.14,21.13,19.49,22.14,46.7,45.52,47.97,46.47,28.93,20.78,27.36,26.99,19.53,17.33,19.18,14.67,25.4,27.8,21.67,9.0
348,2020-02-15,15:00,Leicester,18,Wasps,9,Welford Road,Karl Dickson,27,H,Feb,2020,2019-20,25.53,20.79,46.32,24.06,26.97,26.4,26.99,26.91,19.15,21.69,20.47,19.49,22.14,43.21,48.65,46.87,46.47,28.84,22.8,20.45,26.99,24.65,25.9,22.08,14.67,25.4,27.8,21.67,9.0
349,2021-02-20,15:00,Leicester,27,Wasps,8,Welford Road,Craig Maxwell-Keys,35,H,Feb,2021,2020-21,25.53,20.79,46.32,24.06,27.48,26.85,26.99,26.91,19.15,23.14,22.77,19.49,22.14,43.21,50.62,49.62,46.47,28.84,26.86,27.73,26.99,24.65,25.15,26.36,14.67,25.4,27.8,21.67,9.0
350,2022-06-04,15:00,Leicester,20,Wasps,10,Welford Road,Craig Maxwell-Keys,30,H,Jun,2022,2021-22,25.53,20.79,46.32,35.62,28.22,27.83,26.99,26.91,24.0,24.39,23.63,19.49,22.14,59.62,52.61,51.46,46.47,21.25,32.25,30.29,26.99,24.5,24.9,23.0,14.67,25.4,27.8,21.67,9.0
351,2010-09-25,14:30,Gloucester,22,Wasps,20,Kingsholm,N/A,42,H,Sep,2010,2010-11,25.53,20.79,46.32,27.03,23.75,23.46,26.32,26.32,22.25,18.05,18.07,20.47,22.14,49.28,41.8,41.53,46.79,25.19,23.0,30.73,26.32,23.09,16.0,12.82,20.15,30.2,27.8,29.33,24.0
352,2011-12-26,15:00,Gloucester,39,Wasps,10,Kingsholm,Greg Garner,49,H,Dec,2011,2011-12,25.53,20.79,46.32,24.03,23.01,22.71,26.32,26.32,19.75,18.59,18.7,20.47,22.14,43.78,41.59,41.41,46.79,25.87,31.5,25.18,26.32,22.36,11.55,15.55,20.15,30.2,27.8,29.33,24.0
353,2012-09-22,15:15,Gloucester,29,Wasps,22,Kingsholm,N/A,51,H,Sep,2012,2012-13,25.53,20.79,46.32,27.03,22.83,24.81,26.32,26.32,22.25,18.33,19.37,20.47,22.14,49.28,41.17,44.19,46.79,25.19,23.64,21.73,26.32,23.09,20.09,20.64,20.15,30.2,27.8,29.33,24.0
354,2013-11-02,17:00,Gloucester,30,Wasps,32,Kingsholm,JP Doyle,62,A,Nov,2013,2013-14,25.53,20.79,46.32,22.73,23.78,22.18,26.32,26.32,18.47,18.95,19.22,20.47,22.14,41.2,42.72,41.4,46.79,24.33,19.45,21.91,26.32,18.67,20.27,18.55,20.15,30.2,27.8,29.33,24.0
355,2014-12-28,14:30,Gloucester,23,Wasps,30,Kingsholm,Dean Richards,53,A,Dec,2014,2014-15,25.53,20.79,46.32,24.03,25.03,27.21,26.32,26.32,19.75,20.78,20.83,20.47,22.14,43.78,45.81,48.04,46.79,25.87,24.64,29.55,26.32,22.36,18.36,25.91,20.15,30.2,27.8,29.33,24.0
356,2016-03-05,15:00,Gloucester,13,Wasps,10,Kingsholm,Luke Pearce,23,H,Mar,2016,2015-16,25.53,20.79,46.32,25.91,24.56,23.9,26.32,26.32,20.79,19.5,19.54,20.47,22.14,46.7,44.06,43.44,46.79,24.86,21.38,20.73,26.32,19.53,26.07,26.25,20.15,30.2,27.8,29.33,24.0
357,2016-11-19,15:00,Gloucester,36,Wasps,18,Kingsholm,Dean Richards,54,H,Nov,2016,2016-17,25.53,20.79,46.32,22.73,24.56,26.22,26.32,26.32,18.47,19.5,21.22,20.47,22.14,41.2,44.06,47.44,46.79,24.33,21.38,26.91,26.32,18.67,26.07,25.64,20.15,30.2,27.8,29.33,24.0
358,2018-02-24,14:30,Gloucester,25,Wasps,25,Kingsholm,Karl Dickson,50,D,Feb,2018,2017-18,25.53,20.79,46.32,24.06,26.3,26.46,26.32,26.32,19.15,22.3,22.11,20.47,22.14,43.21,48.6,48.57,46.79,26.11,27.27,26.27,26.32,24.65,24.5,27.42,20.15,30.2,27.8,29.33,24.0
359,2019-03-23,15:00,Gloucester,27,Wasps,14,Kingsholm,Ian Tempest,41,H,Mar,2019,2018-19,25.53,20.79,46.32,25.91,25.38,26.84,26.32,26.32,20.79,20.14,21.13,20.47,22.14,46.7,45.52,47.97,46.79,24.86,26.12,28.18,26.32,19.53,17.33,19.18,20.15,30.2,27.8,29.33,24.0
360,2019-10-26,15:00,Gloucester,25,Wasps,9,Kingsholm,Christophe Ridley,34,H,Oct,2019,2019-20,25.53,20.79,46.32,24.99,25.38,26.4,26.32,26.32,20.42,20.14,20.47,20.47,22.14,45.42,45.52,46.87,46.79,24.06,26.12,25.5,26.32,17.47,17.33,22.08,20.15,30.2,27.8,29.33,24.0
361,2020-11-28,15:00,Gloucester,40,Wasps,24,Kingsholm,Hamish Smales,64,H,Nov,2020,2020-21,25.53,20.79,46.32,22.73,26.97,26.85,26.32,26.32,18.47,21.69,22.77,20.47,22.14,41.2,48.65,49.62,46.79,24.33,27.33,26.1,26.32,18.67,25.9,26.36,20.15,30.2,27.8,29.33,24.0
362,2022-04-02,15:00,Gloucester,21,Wasps,27,Kingsholm,Matthew Carley,48,A,Apr,2022,2021-22,25.53,20.79,46.32,26.81,28.22,27.83,26.32,26.32,23.7,24.39,23.63,20.47,22.14,50.51,52.61,51.46,46.79,29.73,33.27,31.18,26.32,23.69,24.9,23.0,20.15,30.2,27.8,29.33,24.0
363,2022-09-11,15:00,Gloucester,27,Wasps,21,Kingsholm,Anthony Woodthorpe,48,H,Sep,2022,2022-23,25.53,20.79,46.32,27.03,28.22,28.32,26.32,26.32,22.25,24.39,25.77,20.47,22.14,49.28,52.61,54.09,46.79,25.19,33.27,30.2,26.32,23.09,24.9,30.0,20.15,30.2,27.8,29.33,24.0
364,2010-12-26,15:00,Saracens,13,Wasps,6,Wembley Stadium,N/A,19,H,Dec,2010,2010-11,25.53,20.79,46.32,24.03,23.75,23.46,26.29,31.18,19.75,18.05,18.07,14.43,22.14,43.78,41.8,41.53,40.71,35.0,21.0,22.33,26.29,22.36,16.0,12.82,6.0,41.4,27.8,34.33,16.33
365,2011-09-03,16:30,Saracens,15,Wasps,20,Twickenham Stadium,N/A,35,A,Sep,2011,2011-12,25.53,20.79,46.32,27.03,23.01,22.71,27.67,31.18,22.25,18.59,18.7,23.38,22.14,49.28,41.59,41.41,51.05,33.6,21.64,21.18,36.43,23.09,11.55,15.55,21.4,41.4,27.8,34.33,16.33
366,2012-11-04,14:15,Saracens,29,Wasps,24,Vicarage Road,N/A,53,H,Nov,2012,2012-13,25.53,20.79,46.32,22.73,22.83,24.81,23.61,31.18,18.47,18.33,19.37,13.57,22.14,41.2,41.17,44.19,37.17,29.31,23.64,27.58,23.61,18.67,20.09,20.64,24.0,41.4,27.8,34.33,16.33
367,2013-10-05,15:00,Saracens,19,Wasps,12,Allianz Park,Luke Pearce,31,H,Oct,2013,2013-14,25.53,20.79,46.32,24.99,23.78,22.18,32.22,31.18,20.42,18.95,19.22,16.42,22.14,45.42,42.72,41.4,48.64,31.33,31.92,32.08,32.22,17.47,20.27,18.55,25.14,41.4,27.8,34.33,16.33
368,2014-09-06,14:00,Saracens,34,Wasps,28,Twickenham Stadium,Andrew Small,62,H,Sep,2014,2014-15,25.53,20.79,46.32,27.03,25.03,27.21,27.67,31.18,22.25,20.78,20.83,23.38,22.14,49.28,45.81,48.04,51.05,33.6,34.73,33.27,36.43,23.09,18.36,25.91,21.4,41.4,27.8,34.33,16.33
369,2016-02-14,16:00,Saracens,23,Wasps,64,Allianz Park,Ian Tempest,87,A,Feb,2016,2015-16,25.53,20.79,46.32,24.06,24.56,23.9,32.22,31.18,19.15,19.5,19.54,16.42,22.14,43.21,44.06,43.44,48.64,26.94,26.38,28.77,32.22,24.65,26.07,26.25,25.14,41.4,27.8,34.33,16.33
370,2016-10-09,15:00,Saracens,30,Wasps,14,Allianz Park,Matthew Carley,44,H,Oct,2016,2016-17,25.53,20.79,46.32,24.99,24.56,26.22,32.22,31.18,20.42,19.5,21.22,16.42,22.14,45.42,44.06,47.44,48.64,31.33,26.38,29.36,32.22,17.47,26.07,25.64,25.14,41.4,27.8,34.33,16.33
371,2017-10-08,15:00,Saracens,38,Wasps,19,Allianz Park,Ian Tempest,57,H,Oct,2017,2017-18,25.53,20.79,46.32,24.99,27.61,26.46,32.22,31.18,20.42,21.88,22.11,16.42,22.14,45.42,49.49,48.57,48.64,31.33,36.73,39.25,32.22,17.47,25.64,27.42,25.14,41.4,27.8,34.33,16.33
372,2018-05-19,12:30,Saracens,57,Wasps,33,Allianz Park,JP Doyle,90,H,May,2018,2017-18,25.53,20.79,46.32,29.94,26.3,26.46,32.22,31.18,22.83,22.3,22.11,16.42,22.14,52.77,48.6,48.57,48.64,34.73,37.17,39.25,32.22,25.75,24.5,27.42,25.14,41.4,27.8,34.33,16.33
373,2018-12-01,15:00,Saracens,29,Wasps,6,Allianz Park,JP Doyle,35,H,Dec,2018,2018-19,25.53,20.79,46.32,24.03,26.3,26.84,32.22,31.18,19.75,22.3,21.13,16.42,22.14,43.78,48.6,47.97,48.64,35.0,37.17,35.08,32.22,22.36,24.5,19.18,25.14,41.4,27.8,34.33,16.33
374,2020-09-05,12:30,Saracens,18,Wasps,28,Allianz Park,Christophe Ridley,46,A,Sep,2020,2019-20,25.53,20.79,46.32,27.03,26.97,26.4,32.22,31.18,22.25,21.69,20.47,16.42,22.14,49.28,48.65,46.87,48.64,33.6,33.88,32.64,32.22,23.09,25.9,22.08,25.14,41.4,27.8,34.33,16.33
375,2021-10-24,15:00,Saracens,56,Wasps,15,StoneX Stadium,Matthew Carley,71,H,Oct,2021,2021-22,25.53,20.79,46.32,24.99,27.48,27.83,38.29,31.18,20.42,23.14,23.63,23.88,22.14,45.42,50.62,51.46,62.18,31.33,42.6,36.23,38.29,17.47,25.15,23.0,15.0,41.4,27.8,34.33,16.33
376,2011-10-28,19:45,Worcester,12,Wasps,14,Sixways,Greg Garner,26,A,Oct,2011,2011-12,25.53,20.79,46.32,24.99,23.01,22.71,20.93,20.93,20.42,18.59,18.7,23.23,22.14,45.42,41.59,41.41,44.15,19.9,14.17,16.64,20.93,17.47,11.55,15.55,25.3,25.8,27.8,23.67,26.0
377,2013-03-01,20:00,Worcester,29,Wasps,23,Sixways,Greg Garner,52,H,Mar,2013,2012-13,25.53,20.79,46.32,25.91,23.78,24.81,20.93,20.93,20.79,18.95,19.37,23.23,22.14,46.7,42.72,44.19,44.15,21.15,15.55,20.64,20.93,19.53,20.27,20.64,25.3,25.8,27.8,23.67,26.0
378,2014-03-21,19:45,Worcester,11,Wasps,13,Sixways,Andrew Small,24,A,Mar,2014,2013-14,25.53,20.79,46.32,25.91,25.03,22.18,20.93,20.93,20.79,20.78,19.22,23.23,22.14,46.7,45.81,41.4,44.15,21.15,21.2,15.64,20.93,19.53,18.36,18.55,25.3,25.8,27.8,23.67,26.0
379,2016-04-16,15:00,Worcester,35,Wasps,54,Sixways,JP Doyle,89,A,Apr,2016,2015-16,25.53,20.79,46.32,26.81,24.56,23.9,20.93,20.93,23.7,19.5,19.54,23.23,22.14,50.51,44.06,43.44,44.15,27.38,20.85,21.36,20.93,23.69,26.07,26.25,25.3,25.8,27.8,23.67,26.0
380,2016-12-04,15:00,Worcester,12,Wasps,26,Sixways,Craig Maxwell-Keys,38,A,Dec,2016,2016-17,25.53,20.79,46.32,24.03,24.56,26.22,20.93,20.93,19.75,19.5,21.22,23.23,22.14,43.78,44.06,47.44,44.15,16.18,20.85,24.18,20.93,22.36,26.07,25.64,25.3,25.8,27.8,23.67,26.0
381,2017-09-10,15:00,Worcester,10,Wasps,24,Sixways,Tom Foley,34,A,Sep,2017,2017-18,25.53,20.79,46.32,27.03,27.61,26.46,20.93,20.93,22.25,21.88,22.11,23.23,22.14,49.28,49.49,48.57,44.15,20.9,21.58,19.64,20.93,23.09,25.64,27.42,25.3,25.8,27.8,23.67,26.0
382,2018-09-01,15:00,Worcester,20,Wasps,21,Sixways,Karl Dickson,41,A,Sep,2018,2018-19,25.53,20.79,46.32,27.03,26.3,26.84,20.93,20.93,22.25,22.3,21.13,23.23,22.14,49.28,48.6,47.97,44.15,20.9,24.4,25.73,20.93,23.09,24.5,19.18,25.3,25.8,27.8,23.67,26.0
383,2020-01-25,15:00,Worcester,26,Wasps,30,Sixways,Craig Maxwell-Keys,56,A,Jan,2020,2019-20,25.53,20.79,46.32,23.57,26.97,26.4,20.93,20.93,19.12,21.69,20.47,23.23,22.14,42.69,48.65,46.87,44.15,19.6,20.22,21.64,20.93,22.5,25.9,22.08,25.3,25.8,27.8,23.67,26.0
384,2021-02-14,13:00,Worcester,13,Wasps,17,Sixways,Ian Tempest,30,A,Feb,2021,2020-21,25.53,20.79,46.32,24.06,27.48,26.85,20.93,20.93,19.15,23.14,22.77,23.23,22.14,43.21,50.62,49.62,44.15,20.36,21.55,18.0,20.93,24.65,25.15,26.36,25.3,25.8,27.8,23.67,26.0
385,2021-12-04,15:00,Worcester,32,Wasps,31,Sixways,Tom Foley,63,H,Dec,2021,2021-22,25.53,20.79,46.32,24.03,27.48,27.83,20.93,20.93,19.75,23.14,23.63,23.23,22.14,43.78,50.62,51.46,44.15,16.18,21.55,23.17,20.93,22.36,25.15,23.0,25.3,25.8,27.8,23.67,26.0
386,2012-12-29,15:00,London Welsh,15,Wasps,34,Kassam Stadium,N/A,49,A,Dec,2012,2012-13,25.53,20.79,46.32,24.03,22.83,24.81,15.59,15.59,19.75,18.33,19.37,33.45,22.14,43.78,41.17,44.19,49.05,15.0,18.86,20.91,15.59,22.36,20.09,20.64,37.0,13.6,27.8,14.0,37.0
387,2015-04-12,14:30,London Welsh,13,Wasps,40,Kassam Stadium,Greg Garner,53,A,Apr,2015,2014-15,25.53,20.79,46.32,26.81,25.84,27.21,15.59,15.59,23.7,20.54,20.83,33.45,22.14,50.51,46.38,48.04,49.05,13.5,13.5,10.27,15.59,23.69,28.62,25.91,37.0,13.6,27.8,14.0,37.0
388,2017-04-16,15:00,Bristol,21,Wasps,36,Ashton Gate,Greg Garner,57,A,Apr,2017,2016-17,25.53,20.79,46.32,26.81,27.61,26.22,25.15,25.15,23.7,21.88,21.22,23.48,22.14,50.51,49.49,47.44,48.63,21.25,16.4,15.09,25.15,23.69,25.64,25.64,26.0,24.2,27.8,29.67,21.67
389,2019-02-15,19:45,Bristol,22,Wasps,29,Ashton Gate,Wayne Barnes,51,A,Feb,2019,2018-19,25.53,20.79,46.32,24.06,25.38,26.84,25.15,25.15,19.15,20.14,21.13,23.48,22.14,43.21,45.52,47.97,48.63,20.56,25.0,27.27,25.15,24.65,17.33,19.18,26.0,24.2,27.8,29.67,21.67
390,2019-12-27,19:45,Bristol,21,Wasps,26,Ashton Gate,Luke Pearce,47,A,Dec,2019,2019-20,25.53,20.79,46.32,24.03,25.38,26.4,25.15,25.15,19.75,20.14,20.47,23.48,22.14,43.78,45.52,46.87,48.63,27.75,25.0,27.91,25.15,22.36,17.33,22.08,26.0,24.2,27.8,29.67,21.67
391,2021-03-12,19:45,Bristol,37,Wasps,20,Ashton Gate,Karl Dickson,57,H,Mar,2021,2020-21,25.53,20.79,46.32,25.91,27.48,26.85,25.15,25.15,20.79,23.14,22.77,23.48,22.14,46.7,50.62,49.62,48.63,28.0,25.92,27.8,25.15,19.53,25.15,26.36,26.0,24.2,27.8,29.67,21.67
392,2022-02-25,19:45,Bristol,31,Wasps,19,Ashton Gate,Matthew Carley,50,H,Feb,2022,2021-22,25.53,20.79,46.32,24.06,28.22,27.83,25.15,25.15,19.15,24.39,23.63,23.48,22.14,43.21,52.61,51.46,48.63,20.56,29.25,28.08,25.15,24.65,24.9,23.0,26.0,24.2,27.8,29.67,21.67
393,2010-11-19,19:45,Sale,10,Northampton,19,Edgeley Park,N/A,29,A,Nov,2010,2010-11,25.53,20.79,46.32,22.73,23.75,23.46,21.29,24.15,18.47,18.05,18.07,22.81,22.09,41.2,41.8,41.53,44.1,22.0,22.5,21.45,21.29,22.17,23.25,17.92,20.0,26.0,28.2,30.33,17.0
394,2011-09-23,19:45,Sale,29,Northampton,21,Edgeley Park,Tim Wigglesworth,50,H,Sep,2011,2011-12,25.53,20.79,46.32,27.03,23.01,22.71,21.29,24.15,22.25,18.59,18.7,22.81,22.09,49.28,41.59,41.41,44.1,24.86,21.62,21.0,21.29,21.36,17.14,20.92,20.0,26.0,28.2,30.33,17.0
395,2012-11-30,20:00,Sale,16,Northampton,27,Salford City Stadium,N/A,43,A,Nov,2012,2012-13,25.53,20.79,46.32,22.73,22.83,24.81,19.32,24.15,18.47,18.33,19.37,18.77,22.09,41.2,41.17,44.19,38.09,22.0,19.0,20.18,19.32,22.17,20.58,22.38,16.5,26.0,28.2,30.33,17.0
396,2014-03-22,14:00,Sale,19,Northampton,6,Salford City Stadium,Luke Pearce,25,H,Mar,2014,2013-14,25.53,20.79,46.32,25.91,25.03,22.18,19.32,24.15,20.79,20.78,19.22,18.77,22.09,46.7,45.81,41.4,38.09,25.93,23.82,18.45,19.32,24.22,23.82,19.36,16.5,26.0,28.2,30.33,17.0
