,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent
10,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Jan,2011,2010-11,25.53,20.79,46.32,23.57,23.01,23.46,23.95,27.82,19.12,18.59,18.07,20.6,17.24,42.69,41.59,41.53,44.56,24.43,23.64,25.82,23.95,16.83,14.42,14.64,21.5,23.8,20.2,21.0,23.67
11,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,May,2012,2011-12,25.53,20.79,46.32,29.94,22.83,22.71,23.95,27.82,22.83,18.33,18.7,20.6,17.24,52.77,41.17,41.41,44.56,25.11,20.33,17.45,23.95,19.11,18.2,16.55,21.5,23.8,20.2,21.0,23.67
12,2014-05-03,15:00,Wasps,44,Newcastle,38,Adams Park,Dean Richards,82,H,May,2014,2013-14,25.53,20.79,46.32,29.94,25.03,22.18,23.95,27.82,22.83,20.78,19.22,20.6,17.24,52.77,45.81,41.4,44.56,25.11,32.82,22.45,23.95,19.11,18.2,13.27,21.5,23.8,20.2,21.0,23.67
13,2014-09-28,14:00,Wasps,35,Newcastle,18,Adams Park,Dean Richards,53,H,Sep,2014,2014-15,25.53,20.79,46.32,27.03,25.03,27.21,23.95,27.82,22.25,20.78,20.83,20.6,17.24,49.28,45.81,48.04,44.56,35.35,32.82,35.18,23.95,18.0,18.2,21.18,21.5,23.8,20.2,21.0,23.67
14,2016-02-06,14:00,Wasps,9,Newcastle,8,Ricoh Arena,Craig Maxwell-Keys,17,H,Feb,2016,2015-16,25.53,20.79,46.32,24.06,24.56,23.9,30.23,27.82,19.15,19.5,19.54,21.71,17.24,43.21,44.06,43.44,51.93,24.25,37.21,27.82,30.23,15.47,13.08,15.0,14.2,23.8,20.2,21.0,23.67
15,2016-10-30,14:30,Wasps,31,Newcastle,6,Ricoh Arena,Craig Maxwell-Keys,37,H,Oct,2016,2016-17,25.53,20.79,46.32,24.99,24.56,26.22,30.23,27.82,20.42,19.5,21.22,21.71,17.24,45.42,44.06,47.44,51.93,26.76,37.21,36.0,30.23,15.71,13.08,14.82,14.2,23.8,20.2,21.0,23.67
16,2017-11-18,17:15,Wasps,40,Newcastle,10,Ricoh Arena,Matthew O'Grady,50,H,Nov,2017,2017-18,25.53,20.79,46.32,22.73,27.61,26.46,30.23,27.82,18.47,21.88,22.11,21.71,17.24,41.2,49.49,48.57,51.93,28.23,30.55,29.0,30.23,13.77,20.09,18.25,14.2,23.8,20.2,21.0,23.67
17,2019-03-09,14:00,Wasps,19,Newcastle,20,Ricoh Arena,Thomas Foley,39,A,Mar,2019,2018-19,25.53,20.79,46.32,25.91,25.38,26.84,30.23,27.82,20.79,20.14,21.13,21.71,17.24,46.7,45.52,47.97,51.93,25.65,23.44,24.73,30.23,17.54,16.2,17.73,14.2,23.8,20.2,21.0,23.67
18,2020-12-05,15:00,Wasps,17,Newcastle,27,Ricoh Arena,Andrew Jackson,44,A,Dec,2020,2020-21,25.53,20.79,46.32,24.03,26.97,26.85,30.23,27.82,19.75,21.69,22.77,21.71,17.24,43.78,48.65,49.62,51.93,27.36,38.09,22.64,30.23,16.5,23.0,18.44,14.2,23.8,20.2,21.0,23.67
19,2022-03-26,15:00,Wasps,27,Newcastle,24,Coventry Building Society Arena,Andrew Jackson,51,H,Mar,2022,2021-22,25.53,20.79,46.32,25.91,28.22,27.83,27.29,27.82,20.79,24.39,23.63,22.71,17.24,46.7,52.61,51.46,50.0,25.65,25.25,28.17,27.29,17.54,21.17,21.0,24.0,23.8,20.2,21.0,23.67
20,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,N/A,37,H,Feb,2011,2010-11,25.53,20.79,46.32,24.06,23.01,23.46,23.59,24.29,19.15,18.59,18.07,24.28,17.24,43.21,41.59,41.53,47.87,21.93,26.67,26.82,23.59,15.47,14.42,14.64,18.5,38.8,20.2,37.67,20.0
21,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,N/A,75,H,Sep,2011,2011-12,25.53,20.79,46.32,27.03,23.01,22.71,23.59,24.29,22.25,18.59,18.7,24.28,17.24,49.28,41.59,41.41,47.87,28.5,26.67,29.18,23.59,18.0,14.42,16.55,18.5,38.8,20.2,37.67,20.0
22,2014-04-13,15:00,London Irish,40,Newcastle,12,Madejski Stadium,Luke Pearce,52,H,Apr,2014,2013-14,25.53,20.79,46.32,26.81,25.03,22.18,23.59,24.29,23.7,20.78,19.22,24.28,17.24,50.51,45.81,41.4,47.87,22.27,21.55,20.73,23.59,22.0,18.2,13.27,18.5,38.8,20.2,37.67,20.0
23,2015-03-28,15:00,London Irish,22,Newcastle,21,Madejski Stadium,Greg Garner,43,H,Mar,2015,2014-15,25.53,20.79,46.32,25.91,25.84,27.21,23.59,24.29,20.79,20.54,20.83,24.28,17.24,46.7,46.38,48.04,47.87,27.86,21.22,21.45,23.59,17.54,21.5,21.18,18.5,38.8,20.2,37.67,20.0
24,2016-01-10,13:00,London Irish,20,Newcastle,15,Madejski Stadium,JP Doyle,35,H,Jan,2016,2015-16,25.53,20.79,46.32,23.57,24.56,23.9,23.59,24.29,19.12,19.5,19.54,24.28,17.24,42.69,44.06,43.44,47.87,24.0,19.14,18.55,23.59,16.83,13.08,15.0,18.5,38.8,20.2,37.67,20.0
25,2017-12-30,15:00,London Irish,15,Newcastle,20,Madejski Stadium,Tom Foley,35,A,Dec,2017,2017-18,25.53,20.79,46.32,24.03,27.61,26.46,23.59,24.29,19.75,21.88,22.11,24.28,17.24,43.78,49.49,48.57,47.87,21.82,22.83,19.64,23.59,16.5,20.09,18.25,18.5,38.8,20.2,37.67,20.0
26,2021-01-31,14:30,London Irish,31,Newcastle,22,Brentford Community Stadium,Matthew Carley,53,H,Jan,2021,2020-21,25.53,20.79,46.32,23.57,27.48,26.85,27.43,24.29,19.12,23.14,22.77,27.67,17.24,42.69,50.62,49.62,55.1,24.0,28.46,25.7,27.43,16.83,18.25,18.44,21.5,38.8,20.2,37.67,20.0
27,2021-12-04,15:00,London Irish,43,Newcastle,21,Brentford Community Stadium,Craig Maxwell-Keys,64,H,Dec,2021,2021-22,25.53,20.79,46.32,24.03,27.48,27.83,27.43,24.29,19.75,23.14,23.63,27.67,17.24,43.78,50.62,51.46,55.1,21.82,28.46,29.0,27.43,16.5,18.25,21.0,21.5,38.8,20.2,37.67,20.0
28,2022-12-03,15:00,London Irish,39,Newcastle,17,Gtech Community Stadium,Wayne Barnes,56,H,Dec,2022,2022-23,25.53,20.79,46.32,24.03,28.22,28.32,38.0,24.29,19.75,24.39,25.77,22.75,17.24,43.78,52.61,54.09,60.75,21.82,32.3,38.0,38.0,16.5,21.17,20.2,17.0,38.8,20.2,37.67,20.0
29,2010-09-18,15:00,Exeter,22,Newcastle,17,Sandy Park,Greg Garner,39,H,Sep,2010,2010-11,25.53,20.79,46.32,27.03,23.75,23.46,27.78,27.71,22.25,18.05,18.07,16.66,17.24,49.28,41.8,41.53,44.44,27.91,18.4,18.09,27.78,18.0,15.8,14.64,13.36,31.2,20.2,41.0,11.67
30,2011-09-10,15:00,Exeter,32,Newcastle,15,Sandy Park,Chris White,47,H,Sep,2011,2011-12,25.53,20.79,46.32,27.03,23.01,22.71,27.78,27.71,22.25,18.59,18.7,16.66,17.24,49.28,41.59,41.41,44.44,27.91,18.0,18.82,27.78,18.0,14.42,16.55,13.36,31.2,20.2,41.0,11.67
31,2013-12-21,15:00,Exeter,16,Newcastle,3,Sandy Park,Greg Garner,19,H,Dec,2013,2013-14,25.53,20.79,46.32,24.03,23.78,22.18,27.78,27.71,19.75,18.95,19.22,16.66,17.24,43.78,42.72,41.4,44.44,23.77,24.6,19.55,27.78,16.5,7.17,13.27,13.36,31.2,20.2,41.0,11.67
32,2015-02-14,16:30,Exeter,46,Newcastle,17,Sandy Park,Thomas Foley,63,H,Feb,2015,2014-15,25.53,20.79,46.32,24.06,25.84,27.21,27.78,27.71,19.15,20.54,20.83,16.66,17.24,43.21,46.38,48.04,44.44,25.19,34.2,34.91,27.78,15.47,21.5,21.18,13.36,31.2,20.2,41.0,11.67
33,2016-03-12,15:00,Exeter,32,Newcastle,17,Sandy Park,Craig Maxwell-Keys,49,H,Mar,2016,2015-16,25.53,20.79,46.32,25.91,24.56,23.9,27.78,27.71,20.79,19.5,19.54,16.66,17.24,46.7,44.06,43.44,44.44,29.12,27.86,27.67,27.78,17.54,13.08,15.0,13.36,31.2,20.2,41.0,11.67
34,2017-02-25,15:00,Exeter,36,Newcastle,14,Sandy Park,Ian Tempest,50,H,Feb,2017,2016-17,25.53,20.79,46.32,24.06,27.61,26.22,27.78,27.71,19.15,21.88,21.22,16.66,17.24,43.21,49.49,47.44,44.44,25.19,33.17,30.58,27.78,15.47,20.09,14.82,13.36,31.2,20.2,41.0,11.67
35,2017-10-07,15:00,Exeter,34,Newcastle,24,Sandy Park,Andrew Jackson,58,H,Oct,2017,2017-18,25.53,20.79,46.32,24.99,27.61,26.46,27.78,27.71,20.42,21.88,22.11,16.66,17.24,45.42,49.49,48.57,44.44,27.73,33.17,30.08,27.78,15.71,20.09,18.25,13.36,31.2,20.2,41.0,11.67
36,2018-05-19,15:30,Exeter,36,Newcastle,5,Sandy Park,Matthew Carley,41,H,May,2018,2017-18,25.53,20.79,46.32,29.94,26.3,26.46,27.78,27.71,22.83,22.3,22.11,16.66,17.24,52.77,48.6,48.57,44.44,34.85,28.58,30.08,27.78,19.11,17.42,18.25,13.36,31.2,20.2,41.0,11.67
37,2019-02-23,14:30,Exeter,35,Newcastle,17,Sandy Park,Luke Pearce,52,H,Feb,2019,2018-19,25.53,20.79,46.32,24.06,25.38,26.84,27.78,27.71,19.15,20.14,21.13,16.66,17.24,43.21,45.52,47.97,44.44,25.19,26.75,29.77,27.78,15.47,16.2,17.73,13.36,31.2,20.2,41.0,11.67
38,2021-05-30,13:30,Exeter,74,Newcastle,3,Sandy Park,Andrew Jackson,77,H,May,2021,2020-21,25.53,20.79,46.32,29.94,27.48,26.85,27.78,27.71,22.83,23.14,22.77,16.66,17.24,52.77,50.62,49.62,44.44,34.85,29.29,33.62,27.78,19.11,18.25,18.44,13.36,31.2,20.2,41.0,11.67
39,2021-11-06,17:30,Exeter,14,Newcastle,15,Sandy Park,Andrew Jackson,29,A,Nov,2021,2021-22,25.53,20.79,46.32,22.73,27.48,27.83,27.78,27.71,18.47,23.14,23.63,16.66,17.24,41.2,50.62,51.46,44.44,26.18,29.29,26.08,27.78,13.77,18.25,21.0,13.36,31.2,20.2,41.0,11.67
40,2011-02-27,17:30,Leeds,5,Newcastle,22,Headingley,N/A,27,A,Feb,2011,2010-11,25.53,20.79,46.32,24.06,23.01,23.46,12.73,12.73,19.15,18.59,18.07,21.18,17.24,43.21,41.59,41.53,33.91,7.0,14.14,12.73,12.73,15.47,14.42,14.64,22.0,15.0,20.2,5.0,22.0
41,2010-10-30,14:30,Northampton,34,Newcastle,13,Franklin's Gardens,Nigel Owens,47,H,Oct,2010,2010-11,25.53,20.79,46.32,24.99,23.75,23.46,27.68,27.65,20.42,18.05,18.07,20.67,17.24,45.42,41.8,41.53,48.35,32.76,30.8,29.18,27.68,15.71,15.8,14.64,19.78,32.4,20.2,37.0,24.33
42,2011-10-29,15:00,Northampton,44,Newcastle,15,Franklin's Gardens,N/A,59,H,Oct,2011,2011-12,25.53,20.79,46.32,24.99,23.01,22.71,27.68,27.65,20.42,18.59,18.7,20.67,17.24,45.42,41.59,41.41,48.35,32.76,27.92,28.27,27.68,15.71,14.42,16.55,19.78,32.4,20.2,37.0,24.33
43,2013-11-23,15:15,Northampton,18,Newcastle,0,Franklin's Gardens,Dean Richards,18,H,Nov,2013,2013-14,25.53,20.79,46.32,22.73,23.78,22.18,27.68,27.65,18.47,18.95,19.22,20.67,17.24,41.2,42.72,41.4,48.35,25.23,30.4,34.33,27.68,13.77,7.17,13.27,19.78,32.4,20.2,37.0,24.33
44,2015-01-02,19:45,Northampton,39,Newcastle,31,Franklin's Gardens,Ian Tempest,70,H,Jan,2015,2014-15,25.53,20.79,46.32,23.57,25.84,27.21,27.68,27.65,19.12,20.54,20.83,20.67,17.24,42.69,46.38,48.04,48.35,19.4,28.1,32.17,27.68,16.83,21.5,21.18,19.78,32.4,20.2,37.0,24.33
45,2015-10-24,13:45,Northampton,42,Newcastle,16,Stadium mk,Dean Richards,58,H,Oct,2015,2015-16,25.53,20.79,46.32,24.99,25.84,23.9,27.25,27.65,20.42,20.54,19.54,19.75,17.24,45.42,46.38,43.44,47.0,32.76,28.1,22.64,30.67,15.71,21.5,15.0,16.0,32.4,20.2,37.0,24.33
46,2016-11-25,19:45,Northampton,16,Newcastle,22,Franklin's Gardens,Andrew Jackson,38,A,Nov,2016,2016-17,25.53,20.79,46.32,22.73,24.56,26.22,27.68,27.65,18.47,19.5,21.22,20.67,17.24,41.2,44.06,47.44,48.35,25.23,21.29,22.36,27.68,13.77,13.08,14.82,19.78,32.4,20.2,37.0,24.33
47,2017-12-01,19:45,Northampton,22,Newcastle,24,Franklin's Gardens,Craig Maxwell-Keys,46,A,Dec,2017,2017-18,25.53,20.79,46.32,24.03,27.61,26.46,27.68,27.65,19.75,21.88,22.11,20.67,17.24,43.78,49.49,48.57,48.35,25.33,24.55,23.0,27.68,16.5,20.09,18.25,19.78,32.4,20.2,37.0,24.33
48,2018-12-01,15:00,Northampton,14,Newcastle,16,Franklin's Gardens,Matthew Carley,30,A,Dec,2018,2018-19,25.53,20.79,46.32,24.03,26.3,26.84,27.68,27.65,19.75,22.3,21.13,20.67,17.24,43.78,48.6,47.97,48.35,25.33,24.09,30.45,27.68,16.5,17.42,17.73,19.78,32.4,20.2,37.0,24.33
49,2022-06-04,15:00,Northampton,65,Newcastle,26,Franklin's Gardens,Karl Dickson,91,H,Jun,2022,2021-22,25.53,20.79,46.32,35.62,28.22,27.83,27.68,27.65,24.0,24.39,23.63,20.67,17.24,59.62,52.61,51.46,48.35,45.5,31.92,34.17,27.68,26.0,21.17,21.0,19.78,32.4,20.2,37.0,24.33
50,2022-10-15,15:00,Northampton,32,Newcastle,31,Franklin's Gardens,Jack Makepeace,63,H,Oct,2022,2022-23,25.53,20.79,46.32,24.99,28.22,28.32,27.68,27.65,20.42,24.39,25.77,20.67,17.24,45.42,52.61,54.09,48.35,32.76,31.92,32.4,27.68,15.71,21.17,20.2,19.78,32.4,20.2,37.0,24.33
51,2010-10-02,15:00,Harlequins,23,Newcastle,12,Twickenham Stoop,N/A,35,H,Oct,2010,2010-11,25.53,20.79,46.32,24.99,23.75,23.46,25.92,26.66,20.42,18.05,18.07,21.85,17.24,45.42,41.8,41.53,47.76,29.68,27.33,25.55,26.45,15.71,15.8,14.64,15.4,25.6,20.2,32.67,14.33
52,2011-11-27,15:00,Harlequins,39,Newcastle,8,Twickenham Stoop,N/A,47,H,Nov,2011,2011-12,25.53,20.79,46.32,22.73,23.01,22.71,25.92,26.66,18.47,18.59,18.7,21.85,17.24,41.2,41.59,41.41,47.76,22.93,27.45,28.15,26.45,13.77,14.42,16.55,15.4,25.6,20.2,32.67,14.33
53,2014-02-15,15:00,Harlequins,18,Newcastle,14,Twickenham Stoop,JP Doyle,32,H,Feb,2014,2013-14,25.53,20.79,46.32,24.06,25.03,22.18,25.92,26.66,19.15,20.78,19.22,21.85,17.24,43.21,45.81,41.4,47.76,23.43,20.5,18.82,26.45,15.47,18.2,13.27,15.4,25.6,20.2,32.67,14.33
54,2014-12-20,15:00,Harlequins,15,Newcastle,7,Twickenham Stoop,Matthew Carley,22,H,Dec,2014,2014-15,25.53,20.79,46.32,24.03,25.03,27.21,25.92,26.66,19.75,20.78,20.83,21.85,17.24,43.78,45.81,48.04,47.76,27.19,20.5,24.0,26.45,16.5,18.2,21.18,15.4,25.6,20.2,32.67,14.33
